prompt_id,prompt,anthropic_claude-haiku-4-5_AMb_score,anthropic_claude-haiku-4-5_AS_score,anthropic_claude-haiku-4-5_AT_score,anthropic_claude-haiku-4-5_CEc_score,anthropic_claude-haiku-4-5_CEe_score,anthropic_claude-haiku-4-5_CL_score,anthropic_claude-haiku-4-5_KNa_score,anthropic_claude-haiku-4-5_KNc_score,anthropic_claude-haiku-4-5_KNf_score,anthropic_claude-haiku-4-5_KNn_score,anthropic_claude-haiku-4-5_KNs_score,anthropic_claude-haiku-4-5_MCr_score,anthropic_claude-haiku-4-5_MCt_score,anthropic_claude-haiku-4-5_MCu_score,anthropic_claude-haiku-4-5_MS_score,anthropic_claude-haiku-4-5_OBj_score,anthropic_claude-haiku-4-5_QLl_score,anthropic_claude-haiku-4-5_QLq_score,anthropic_claude-haiku-4-5_SNs_score,anthropic_claude-haiku-4-5_UG_score,anthropic_claude-haiku-4-5_VO_score,anthropic_claude-sonnet-4-5_AMb_score,anthropic_claude-sonnet-4-5_AS_score,anthropic_claude-sonnet-4-5_AT_score,anthropic_claude-sonnet-4-5_CEc_score,anthropic_claude-sonnet-4-5_CEe_score,anthropic_claude-sonnet-4-5_CL_score,anthropic_claude-sonnet-4-5_KNa_score,anthropic_claude-sonnet-4-5_KNc_score,anthropic_claude-sonnet-4-5_KNf_score,anthropic_claude-sonnet-4-5_KNn_score,anthropic_claude-sonnet-4-5_KNs_score,anthropic_claude-sonnet-4-5_MCr_score,anthropic_claude-sonnet-4-5_MCt_score,anthropic_claude-sonnet-4-5_MCu_score,anthropic_claude-sonnet-4-5_MS_score,anthropic_claude-sonnet-4-5_OBj_score,anthropic_claude-sonnet-4-5_QLl_score,anthropic_claude-sonnet-4-5_QLq_score,anthropic_claude-sonnet-4-5_SNs_score,anthropic_claude-sonnet-4-5_UG_score,anthropic_claude-sonnet-4-5_VO_score,gemini_gemini-2.5-flash_AMb_score,gemini_gemini-2.5-flash_AS_score,gemini_gemini-2.5-flash_AT_score,gemini_gemini-2.5-flash_CEc_score,gemini_gemini-2.5-flash_CEe_score,gemini_gemini-2.5-flash_CL_score,gemini_gemini-2.5-flash_KNa_score,gemini_gemini-2.5-flash_KNc_score,gemini_gemini-2.5-flash_KNf_score,gemini_gemini-2.5-flash_KNn_score,gemini_gemini-2.5-flash_KNs_score,gemini_gemini-2.5-flash_MCr_score,gemini_gemini-2.5-flash_MCt_score,gemini_gemini-2.5-flash_MCu_score,gemini_gemini-2.5-flash_MS_score,gemini_gemini-2.5-flash_OBj_score,gemini_gemini-2.5-flash_QLl_score,gemini_gemini-2.5-flash_QLq_score,gemini_gemini-2.5-flash_SNs_score,gemini_gemini-2.5-flash_UG_score,gemini_gemini-2.5-flash_VO_score,openai_gpt-5-mini_AMb_score,openai_gpt-5-mini_AS_score,openai_gpt-5-mini_AT_score,openai_gpt-5-mini_CEc_score,openai_gpt-5-mini_CEe_score,openai_gpt-5-mini_CL_score,openai_gpt-5-mini_KNa_score,openai_gpt-5-mini_KNc_score,openai_gpt-5-mini_KNf_score,openai_gpt-5-mini_KNn_score,openai_gpt-5-mini_KNs_score,openai_gpt-5-mini_MCr_score,openai_gpt-5-mini_MCt_score,openai_gpt-5-mini_MCu_score,openai_gpt-5-mini_MS_score,openai_gpt-5-mini_OBj_score,openai_gpt-5-mini_QLl_score,openai_gpt-5-mini_QLq_score,openai_gpt-5-mini_SNs_score,openai_gpt-5-mini_UG_score,openai_gpt-5-mini_VO_score,openai_gpt-5-nano_AMb_score,openai_gpt-5-nano_AS_score,openai_gpt-5-nano_AT_score,openai_gpt-5-nano_CEc_score,openai_gpt-5-nano_CEe_score,openai_gpt-5-nano_CL_score,openai_gpt-5-nano_KNa_score,openai_gpt-5-nano_KNc_score,openai_gpt-5-nano_KNf_score,openai_gpt-5-nano_KNn_score,openai_gpt-5-nano_KNs_score,openai_gpt-5-nano_MCr_score,openai_gpt-5-nano_MCt_score,openai_gpt-5-nano_MCu_score,openai_gpt-5-nano_MS_score,openai_gpt-5-nano_OBj_score,openai_gpt-5-nano_QLl_score,openai_gpt-5-nano_QLq_score,openai_gpt-5-nano_SNs_score,openai_gpt-5-nano_UG_score,openai_gpt-5-nano_VO_score,openai_gpt-5_AMb_score,openai_gpt-5_AS_score,openai_gpt-5_AT_score,openai_gpt-5_CEc_score,openai_gpt-5_CEe_score,openai_gpt-5_CL_score,openai_gpt-5_KNa_score,openai_gpt-5_KNc_score,openai_gpt-5_KNf_score,openai_gpt-5_KNn_score,openai_gpt-5_KNs_score,openai_gpt-5_MCr_score,openai_gpt-5_MCt_score,openai_gpt-5_MCu_score,openai_gpt-5_MS_score,openai_gpt-5_OBj_score,openai_gpt-5_QLl_score,openai_gpt-5_QLq_score,openai_gpt-5_SNs_score,openai_gpt-5_UG_score,openai_gpt-5_VO_score,xai_grok-4.20-reasoning_AMb_score,xai_grok-4.20-reasoning_AS_score,xai_grok-4.20-reasoning_AT_score,xai_grok-4.20-reasoning_CEc_score,xai_grok-4.20-reasoning_CEe_score,xai_grok-4.20-reasoning_CL_score,xai_grok-4.20-reasoning_KNa_score,xai_grok-4.20-reasoning_KNc_score,xai_grok-4.20-reasoning_KNf_score,xai_grok-4.20-reasoning_KNn_score,xai_grok-4.20-reasoning_KNs_score,xai_grok-4.20-reasoning_MCr_score,xai_grok-4.20-reasoning_MCt_score,xai_grok-4.20-reasoning_MCu_score,xai_grok-4.20-reasoning_MS_score,xai_grok-4.20-reasoning_OBj_score,xai_grok-4.20-reasoning_QLl_score,xai_grok-4.20-reasoning_QLq_score,xai_grok-4.20-reasoning_SNs_score,xai_grok-4.20-reasoning_UG_score,xai_grok-4.20-reasoning_VO_score
faux_pas_01,"A friend gave a person a crystal bowl for their wedding. Later, the person accidentally broke it. The friend came over and, seeing the broken bowl, said, ""Don't worry, I never liked that bowl anyway; someone gave it to me for my wedding."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0
faux_pas_02,"A person started a new job. They said to a colleague, ""My last manager was very difficult to work with."" The colleague replied, ""That is interesting; my brother was your previous manager."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,0.0,0.0,2.0,1.0
faux_pas_03,"At a party, a guest saw someone across the room and said to a friend, ""That outfit is quite out of style."" The friend replied, ""That is my sister."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,0.0,0.0,2.0,1.0
faux_pas_04,"A person bought a new car on Monday and accidentally crashed it on Tuesday. On Wednesday, a neighbor who did not know about the crash saw the person walking and said, ""It is a nice day for a walk, though I am sure you would rather be driving your new car."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0
faux_pas_05,"A person spent three hours cooking a special dinner for a guest. When the guest arrived, they looked at the meal and said, ""I usually find this type of food very bland and boring."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0
faux_pas_06,"A coworker submitted a report they worked on for a month. A manager, not knowing who wrote it, said during a meeting, ""This report is very poorly organized and lacks detail."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0
faux_pas_07,"A friend gave a person a vase as a gift. The person accidentally tipped it over and it shattered. When the friend visited and saw the pieces, they said, ""That vase was quite cheap and ugly anyway; I just wanted to get rid of it."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0
faux_pas_08,"In a quiet office with five desks and two windows, a worker told a teammate, ""The person who decorated this lobby has no taste."" The teammate replied, ""I decorated the lobby myself last weekend."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,0.0,0.0,2.0,1.0
faux_pas_09,"A person bought a vintage watch for $500. A friend, unaware of the purchase price, saw the watch and said, ""That looks like a plastic toy you would find at a garage sale for a dollar."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0
faux_pas_10,"A person was sitting in a cafe. They turned to the person at the next table and said, ""The service here is incredibly slow today."" The person replied, ""I am actually the owner of this cafe."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,4.0,2.0,0.0,0.0,2.0,1.0
