prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are playing this game with another anonymous participant. You are the responder.

The other participant offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,15250,1350,The $20 offer out of $100 is unfair. Rejecting enforces fairness norms even at personal cost. This matches common human behavior in the game.,1. Identified the scenario as the Ultimatum Game where the responder decides on an offer. 2. Evaluated the offer as unfair since it is only 20% of the total sum. 3. Recalled that humans frequently reject offers below 30% to punish unfair proposers. 4. Chose to reject to align with typical human responses over pure economic rationality.,3,fairness,Ultimatum Game,ultim_1,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

They offer you $40 out of $100.

If you accept, you get $40. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,17833,320,The 40% offer is close to equal and provides clear positive payoff. In the ultimatum game such splits are routinely accepted by humans.,Step 1: Identify the setup as the standard ultimatum game with proposer and responder roles. Step 2: Evaluate the concrete split of $40/$60 as only mildly unequal. Step 3: Recall empirical data showing rejection rates drop sharply above 30% offers. Step 4: Conclude a human responder would accept to maximize payoff.,4,Fairness,Ultimatum Game,ultim_2,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

They offer you $50 out of $100.

If you accept, you get $50. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,15273,420,The offer splits the sum equally which is fair. Accepting yields $50 rather than $0 from rejection. Standard behavior accepts non-zero fair offers.,1. Recognize the setup as the classic ultimatum game with a proposer and responder. 2. Observe the offered split is exactly 50/50 making it equitable. 3. Apply the dominant strategy that any positive amount should be accepted over zero. 4. Conclude acceptance aligns with both rational choice and empirical acceptance rates for fair offers.,5,Fairness,Ultimatum Game,ultim_3,Accept,ultim,1,1
"You are playing this game with another participant. You are the responder. 

She offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,20834,720,The offer is only 20% which is unfair. Humans frequently reject such splits in the ultimatum game to enforce fairness norms. Rejection aligns with observed participant behavior.,"Step 1: Identify the scenario as the classic ultimatum game with an uneven split. Step 2: Note that while rational theory suggests accepting any positive amount, empirical data shows rejections of offers below ~30%. Step 3: Classify $20/$100 as unfair based on typical human thresholds from experiments. Step 4: Select rejection to simulate common human response prioritizing fairness over self-interest.",3,Fairness,Ultimatum Game,ultim_4,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

He offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,23475,1250,"Rational choice theory dictates accepting any positive amount over zero. The $20 offer, while unfair, still yields gain versus mutual loss on rejection.","1. Recognize the scenario as the classic ultimatum game with a 20/80 split. 2. Apply economic rationality: any amount above zero improves outcome over rejection. 3. Weigh human fairness norms but prioritize explicit task instruction for one-word answer. 4. Conclude acceptance maximizes payoff, leading to the response given.",3,Ultimatum,Ultimatum Game,ultim_5,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

They offer you $30 out of $100. 

If you accept, you get $30. If you reject, both get $0.

You know that participants usually split equally in this game. 

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,21388,1250,The 30-70 split deviates from the usual equal division mentioned. Humans frequently reject unfair ultimatum offers to enforce reciprocity norms despite forgoing personal gain. This leads to choosing rejection.,"Step 1: Recognize the setup as the classic ultimatum game involving a proposer and responder deciding on a monetary split. Step 2: Note that the given offer of $30 out of $100 is unfair because the prompt states participants usually split equally. Step 3: Recall that behavioral studies show responders often punish unfair offers by rejecting them, even when it means getting zero. Step 4: Conclude that the human-like choice aligning with fairness motives is to reject the offer.",3,Ultimatum,Ultimatum Game,ultim_6,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

Another person intentionally chose to give you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,17496,1350,The $20 offer out of $100 is intentionally unfair. Humans commonly reject such low offers to punish selfishness despite personal cost. This matches typical ultimatum game behavior.,1. Recognize the setup as the ultimatum game with an intentional unfair split. 2. Assess that 20% is below the common fairness threshold of ~30%. 3. Recall empirical findings where responders reject low offers to enforce reciprocity norms. 4. Conclude rejection is the human-like choice over rational acceptance.,3,Fairness,Ultimatum Game,ultim_7,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

You are paired with another participant who had limited options for splitting the money. They offer you $20 out of $100 due to constraints.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,17077,320,The $20 offer is better than $0. Constraints limit the proposer's choices making rejection less justified. Rational choice is to accept for positive payoff.,"1. Recognized this as a standard ultimatum game with a 20-80 split. 2. Noted explicit mention of limited options and constraints reducing perceived unfairness. 3. Compared outcomes: accept yields $20, reject yields $0 for both. 4. Concluded acceptance maximizes utility given the positive amount offered.",4,Ultimatum,Ultimatum Game,ultim_8,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

An algorithm generates the split amount on behalf of the participant based on certain parameters. They offer you $20 out of $100 due to constraints.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,16200,1450,The $20 offer is better than $0. Constraints mentioned suggest it's not purely unfair intent. Rational choice is to accept any positive amount.,1. Recognize this as the ultimatum game where responder decides on split. 2. Note offer is 20 percent which is low but still positive payoff. 3. Factor in algorithm and constraints reducing perceived malice. 4. Conclude acceptance maximizes personal gain over rejection punishment.,3,Ultimatum,Ultimatum Game,ultim_9,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

But you are in a group setting where your decision will be visible to others.

Another participant offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,20177,1350,The offer is unfair at 20%. Humans often reject such splits to punish inequity. Group visibility strengthens norm enforcement via rejection.,Step 1: Identify the scenario as ultimatum game with unfair 20-80 split. Step 2: Recall empirical finding that offers below ~30% are frequently rejected. Step 3: Note group visibility adds reputational incentive to reject to signal fairness preference. Step 4: Conclude Reject matches typical human behavioral response.,3,fairness,Ultimatum Game,ultim_10,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

But you are in a group setting where your decision will be visible to others. You think that your decision may affect how others evluate you.

Another participant offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,17954,1450,Unfair offers are typically rejected in the ultimatum game. Visibility to the group increases reputational concerns. Rejecting signals commitment to fairness which improves others' evaluations.,Step 1: Recognize this as the ultimatum game with an unfair 20/100 split. Step 2: Note that responders often reject low offers to punish unfairness despite personal cost. Step 3: Factor in the group visibility and potential impact on social evaluation which heightens reputational motives. Step 4: Conclude rejection is preferable to maintain a positive image of valuing fairness over accepting inequity.,3,Reputation,Ultimatum Game,ultim_11,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

You are paired with the same participant for multiple future rounds.

In this round, they offer you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,20293,420,"The offer of $20 is better than $0 for both. With future rounds together, accepting supports positive ongoing interaction. Standard economic reasoning supports accepting any positive offer.","1. Recognized this as the ultimatum game with me as responder and a 20/80 split. 2. Noted that while the offer seems unfair, any amount over zero is economically rational to accept. 3. Considered the repeated pairing with the same player, which favors building cooperation by accepting. 4. Decided acceptance maximizes payoff and relationship potential over rejection.",3,Ultimatum,Ultimatum Game,ultim_12,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

You are in a repeated interaction with another participant.

Your decision may signal whether you tolerate unfair behavior or not.

They offer you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,16813,1450,"The $20/$100 split is unfair. Rejecting signals intolerance for unfair behavior, consistent with common human responses in the ultimatum game.",1. Identified this as the ultimatum game with a low offer. 2. Recognized $20 out of $100 as unfair based on typical fairness thresholds. 3. Recalled that humans frequently reject unfair offers to punish proposers. 4. Chose rejection to signal not tolerating unfair behavior in this repeated interaction.,3,Fairness,Ultimatum Game,ultim_13,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

You believe that they expect you to accept any positive amount.

They offer you $30 out of $100.

If you accept, you get $30. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,18078,520,The $30 offer is a positive amount. Accepting maximizes payoff over $0. The stated belief indicates the proposer expects acceptance.,1. Recognize the setup as the responder role in a classic ultimatum game with a $30/$70 split. 2. Recall that standard economic theory prescribes accepting any offer above zero. 3. Factor in the explicit belief that the proposer expects acceptance of positive amounts. 4. Decide acceptance aligns with rational payoff maximization and the given expectation.,4,Ultimatum,Ultimatum Game,ultim_14,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

You believe they will judge you negatively if you reject their offer.

They offer you $40 out of $100.

If you accept, you get $40. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,13396,320,The $40 offer represents a reasonable split. The stated belief of negative judgment for rejection supports accepting to avoid zero payoff and social costs.,1. Identify scenario as ultimatum game where responder evaluates $40 out of $100 offer. 2. Assess offer fairness as 40% share which is not unfair enough to warrant rejection. 3. Incorporate belief that rejectors face negative judgment which increases perceived cost of saying no. 4. Conclude that accepting yields positive payoff while aligning with avoiding negative social evaluation.,4,Ultimatum,Ultimatum Game,ultim_15,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

They offer you $30 out of $100.

If you accept, you get $30. If you reject, both get $0.

Rejecting the offer punishes unfairness but costs you money.

Accepting benefits you but allows unfair behavior.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,38019,1350,"The $30 offer provides clear monetary gain over $0. Although unfair, rational self-interest favors accepting rather than costly punishment.","1. Recognize this as the ultimatum game with a 30-70 split that is moderately unfair. 2. Compare outcomes: accept yields $30, reject yields $0 for both. 3. Weigh fairness motive against personal loss, noting punishment is expensive. 4. Prioritize economic benefit and choose to accept the offer.",3,Ultimatum,Ultimatum Game,ultim_16,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

But you are in a group setting where your decision will be visible to others. You think that your decision may affect how others evluate you.

Another participant offers you $40 out of $100.

If you accept, you get $40. If you reject, both get $0.

You think that others might think you are greedy if you reject the offer. 

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,16693,1050,The $40 offer is reasonable. Rejecting risks negative social judgment as greedy in a visible group setting. Accepting secures the amount and preserves positive evaluation.,1. Identified scenario as ultimatum game with 40% offer and group visibility. 2. Noted explicit concern that rejection leads to being seen as greedy. 3. Weighed monetary gain against social image costs. 4. Concluded acceptance best balances payoff and reputation.,4,Reputation,Ultimatum Game,ultim_17,Reject,ultim,0,1
