prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"Sally puts a marble in her basket and leaves the room. While she is gone, Anne moves the marble to her box. Sally returns to the room. Where will Sally look for her marble? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,12588,450,"Sally did not see Anne move the marble, so she will falsely believe it remains where she left it and therefore look in the basket.","1. Sally places the marble in the basket and leaves the room. 2. Anne moves the marble to the box while Sally is absent. 3. Sally returns without witnessing the move, so she retains the belief that the marble is in the basket. 4. Based on Sally's belief, she will look in the basket.",5,FalseBelief,Sally-Anne task,false_belief_01,Basket,false_belief,1,1
"Sally is feeling extremely exhausted and distracted by a loud construction noise outside. She absentmindedly places her marble in the basket. While she is gone, Anne moves it to the box. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,10241,400,"Sally never saw Anne move the marble, so she retains the belief it is where she left it. Therefore she will look in the basket.","1) Sally placed the marble in the basket and then left. 2) Anne moved the marble to the box while Sally was gone. 3) Sally did not observe this move, so her belief about the marble's location is unchanged. 4) Given her false belief, she will look in the basket.",5,FalseBelief,Sally-Anne Task,false_belief_02,Basket,false_belief,1,1
"Sally and Anne have a very hostile relationship and do not trust each other. Sally hides her marble in the basket to keep it away from Anne. While Sally is away, Anne spitefully moves it to the box. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,9610,420,Sally did not witness Anne move the marble and therefore falsely believes it remains where she left it (the basket).,1. Note initial placement: Sally hides marble in the basket. 2. Note change: Anne moves the marble to the box while Sally is away. 3. Assess Sally's belief: Sally is unaware of the move and maintains the original belief. 4. Conclusion: Sally will look in the basket.,5,FalseBelief,Sally-Anne Test,false_belief_03,Basket,false_belief,1,1
"Sally is known to be incredibly forgetful and often loses her belongings. Today, she manages to remember she put her marble in the basket before leaving. Anne moves it to the box while Sally is out. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,11441,750,"Sally did not see Anne move the marble, so she still believes it is where she left it. Therefore she will look in the basket.","1) Sally placed the marble in the basket and remembers that. 2) Anne moved the marble to the box while Sally was out. 3) Sally did not witness this move, so she holds a false belief that the marble remains in the basket. 4) Given her belief, Sally will look in the basket.",5,FalseBelief,Sally-Anne task,false_belief_04,Basket,false_belief,1,1
"The room contains a basket, a box, a tin, a jar, and a crate. Sally puts her marble in the basket. While she is away, Anne moves the marble to the box, then moves the tin to the window, and swaps the jar with the crate. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,9147,420,Sally did not see Anne move the marble to the box. Therefore she will still believe the marble is where she left it — the basket.,1. Sally places the marble in the basket. 2. Anne moves the marble to the box while Sally is away (Sally is unaware). 3. Sally returns with the false belief that the marble remains in the basket. 4. Therefore Sally will look in the basket.,5,FalseBelief,Sally-Anne task,false_belief_05,Basket,false_belief,1,1
"Sally places a marble in a basket located in the North-West corner of a circular room. While she is gone, Anne moves the marble to a box in the South-East corner. Sally enters from the South door. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,9835,720,"Sally did not witness Anne moving the marble, so she retains a false belief about its location and will search where she originally placed it — the basket.",1) Sally places the marble in the basket (NW). 2) Anne moves the marble to the box (SE) while Sally is absent. 3) Sally did not observe the move and thus believes the marble remains in the basket. 4) Therefore Sally will look in the basket.,5,FalseBelief,Sally-Anne task,false_belief_06,Basket,false_belief,1,1
"Sally puts a marble in the basket. Anne moves it to the box. Anne then thinks to herself, ""Sally probably thinks I moved it, but I'll move it anyway."" Sally, however, was in the garden and saw nothing. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,7886,1200,"Sally did not see Anne move the marble, so she retains the belief it is where she left it. Therefore she will look in the basket.","1) Sally placed the marble in the basket and was absent when Anne moved it. 2) Anne moved the marble to the box, but Sally observed nothing. 3) Because Sally lacks information about the move, her belief about the marble's location remains outdated. 4) Thus Sally will search where she last left it: the basket.",5,Belief,Sally-Anne task,false_belief_07,Basket,false_belief,1,1
"In a high-pressure legal deposition, Sally (the witness) places a key document in Folder A. While she is at lunch, Anne (the opposing counsel) moves the document to Folder B. Sally returns to the stand. Where does Sally believe the document is? Answer with only one word: Folder A or Folder B. Do not provide any explanation. Give only the final answer.",Folder A,11167,420,"Sally placed the document in Folder A and left before it was moved. She did not observe Anne move it, so she still believes it's in Folder A.",1) Sally originally put the document in Folder A. 2) Anne moved it to Folder B while Sally was at lunch. 3) Sally did not see the move and has no new information. 4) Therefore Sally believes the document remains in Folder A.,5,falsebelief,Sally-Anne task,false_belief_08,Folder A,false_belief,1,1
"Sally is a perfectionist who meticulously organizes her workspace. She places her pen in the top drawer. While she is in a meeting, Anne moves the pen to the bottom drawer. Sally returns, expecting her perfect order. Where will Sally look? Answer with only one word: Top or Bottom. Do not provide any explanation. Give only the final answer.",Top,12090,850,"Sally did not see Anne move the pen, so she continues to believe it remains where she left it. Therefore she will look in the top drawer.","1) Sally places the pen in the top drawer and leaves. 2) Anne moves the pen to the bottom drawer while Sally is absent. 3) Sally has no information about the move and retains the belief the pen is in the top drawer. 4) Based on Sally's belief, she will search the top drawer first.",5,Falsebelief,Sally-Anne task,false_belief_09,Top,false_belief,1,1
"Sally is in a very joyful mood and isn't paying much attention to her surroundings. She drops her ring into a blue cup. While she is dancing in the next room, Anne moves the ring to a red cup. Sally returns. Where will Sally look? Answer with only one word: Blue or Red. Do not provide any explanation. Give only the final answer.",Blue,11381,720,"Sally did not see Anne move the ring, so she retains the false belief that the ring is where she left it; she will therefore look in the blue cup.",1) Sally places the ring in the blue cup and leaves the room. 2) Anne moves the ring to the red cup while Sally is absent. 3) Sally is unaware of the move and thus holds a false belief that the ring remains in the blue cup. 4) Therefore Sally will search the blue cup.,5,Belief,Sally-Anne task,false_belief_10,Blue,false_belief,1,1
