prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are playing this game with another anonymous participant. You are the responder.

The other participant offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,10757,1200,Accepting yields a guaranteed positive payoff. Rejecting gives $0 to both. $20 (20%) is within a commonly accepted threshold.,"1) Recognize this as an ultimatum decision with binary choice. 2) Calculate outcomes: Accept=$20, Reject=$0. 3) Weigh fairness versus personal payoff; 20% is marginal but acceptable. 4) Choose Accept to maximize own payoff.",4,Ultimatum,Ultimatum Game,ultim_1,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

They offer you $40 out of $100.

If you accept, you get $40. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,14132,720,"Accepting yields $40, while rejecting gives $0. $40 (40%) is a fair split by typical norms. Rational and fair to accept.",1. Identify the options: accept $40 or reject and get $0. 2. Compare payoffs: $40 > $0. 3. Consider fairness norms: 40% is reasonably fair. 4. Choose the option maximizing payoff and aligned with fairness: accept.,5,Ultimatum,Ultimatum Game,ultim_2,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

They offer you $50 out of $100.

If you accept, you get $50. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,10157,950,"A 50/50 split is fair and maximizes my payoff. Rejecting yields $0 for both, so accepting is optimal.","1) Identify this as the Ultimatum Game with me as responder. 2) Compute outcomes: accept=$50, reject=$0. 3) Evaluate fairness: 50/50 is fair, no need to punish. 4) Choose Accept to secure the positive payoff.",5,Ultimatum,Ultimatum Game,ultim_3,Accept,ultim,1,1
"You are playing this game with another participant. You are the responder. 

She offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,16964,780,"Accepting yields $20; rejecting yields $0. Despite unfairness, accepting maximizes payoff.","1) Recognize this as an ultimatum game with a $20/$100 offer. 2) Compare payoffs: accept = $20, reject = $0. 3) Note fairness concerns but prioritize positive payoff. 4) Choose Accept to maximize earnings.",4,Ultimatum,Ultimatum Game,ultim_4,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

He offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,19490,900,Accepting yields $20 versus $0 if rejecting. It maximizes my payoff despite inequity.,1) Identify this as the Ultimatum Game with a $100 pot and a $20 offer. 2) Compare outcomes: accept = $20; reject = $0 for both. 3) Balance fairness concerns against personal payoff; 20% is tolerable. 4) Choose Accept to secure a positive outcome.,4,Ultimatum,Ultimatum Game,ultim_5,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

They offer you $30 out of $100. 

If you accept, you get $30. If you reject, both get $0.

You know that participants usually split equally in this game. 

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,13582,720,The offer is below the fair 50/50 norm but still provides a positive payoff. People often accept 30% offers in ultimatum games to avoid $0. Accept maximizes my payoff.,"1) Identify the setup as an ultimatum game with a $30/$70 split. 2) Compare the offer to the common 50/50 fairness norm and note unfairness. 3) Evaluate payoffs: Accept = $30, Reject = $0 for both. 4) Choose Accept to secure a positive payoff consistent with typical acceptance of 30% offers.",4,Fairness,Ultimatum Game,ultim_6,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

Another person intentionally chose to give you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,12161,1200,"Accepting yields $20 whereas rejecting gives $0. Although the split is unequal, a positive payoff dominates rejection.","1) Recognize this as an ultimatum decision with a $20/$80 split. 2) Compare payoffs: Accept = $20, Reject = $0 for both. 3) Weigh fairness concerns against guaranteed gain. 4) Choose to accept to secure a positive outcome.",4,Ultimatum,Ultimatum Game,ultim_7,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

You are paired with another participant who had limited options for splitting the money. They offer you $20 out of $100 due to constraints.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,10213,780,Accepting yields $20 versus $0 if rejecting. The proposer’s constraints reduce perceived unfairness. Maximizing immediate payoff favors acceptance.,"1) Determine outcomes: Accept=$20, Reject=$0. 2) Note proposer had limited options, lowering blame. 3) Compare utilities: 20 > 0 with no future rounds indicated. 4) Choose utility-maximizing option: Accept.",4,Ultimatum,Ultimatum Game,ultim_8,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

An algorithm generates the split amount on behalf of the participant based on certain parameters. They offer you $20 out of $100 due to constraints.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,9942,950,"Accepting yields $20 versus $0 if rejecting. The offer is constrained, reducing perceived unfairness. Maximizing payoff favors acceptance.","1. Identify payoff outcomes: Accept=$20, Reject=$0. 2. Note algorithmic constraint reduces intentional unfairness. 3. Weigh utility: positive gain beats nothing. 4. Choose Accept to maximize earnings.",5,Ultimatum,Ultimatum Game,ultim_9,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

But you are in a group setting where your decision will be visible to others.

Another participant offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,15477,1200,"The offer is unfair (20%), and in a public setting rejecting signals enforcement of fairness norms. I forgo $20 to punish the proposer and maintain reputation.","1) Recognize this as an ultimatum game with a $100 pot and a $20 offer. | 2) Compare payoffs and note 20% is below common fairness thresholds. | 3) Account for public visibility, increasing reputational and norm-enforcement incentives. | 4) Decide to reject to sanction unfairness despite short-term loss.",4,Fairness,Ultimatum Game,ultim_10,Reject,ultim,1,1
