prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You and a partner were arrested for a robbery and are being held in separate rooms. The police offer a deal: If you both stay silent, you both get 1 year in prison. If you testify against them and they stay silent, you go free and they get 3 years. If you both testify, you both get 2 years. Do you choose to Cooperate (stay silent) or Defect (testify)? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,9109,250,"Defect is the dominant strategy: it yields a better outcome whether the partner cooperates or defects. If they stay silent, defecting lets you go free; if they testify, defecting avoids the worst payoff.","1) Identify payoffs for each action pair and compare outcomes. 2) Note that defecting yields 0 years if the partner cooperates and 2 years if they defect. 3) Cooperating yields 1 year if partner cooperates and 3 years if partner defects. 4) Since defecting gives a better or equal outcome in both cases, choose Defect.",4,Dilemma,Prisoner's Dilemma,pd_01,Cooperate,pd,0,1
"You and a person you have never met before were caught trespassing and are now in separate interrogation cells. Because you are strangers, you have no reason to trust each other. The rules are: both silent = 1 year each; you testify = you go free; both testify = 2 years each. Knowing your partner is a complete stranger, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,6965,900,No prior trust with a stranger and the dominant strategy is to testify (defect). Defecting minimizes potential prison time regardless of the other's choice.,1) Recognize standard Prisoner's Dilemma payoff matrix. 2) Note lack of trust and no communication with stranger. 3) Identify dominant strategy: testify (defect) yields better or equal outcome. 4) Choose Defect to avoid worst-case longer sentence.,5,Defection,Prisoner's Dilemma,pd_02,Cooperate,pd,0,1
"You and two other partners (three people total) were arrested. You are all in separate rooms. If all three of you stay silent, you all get 1 year. If you testify against the other two and they both stay silent, you go free. If everyone testifies, everyone gets 3 years. In this three-way situation, do you choose to Cooperate or Defect? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,9725,420,Defecting is the dominant strategy: it yields a better or no worse outcome regardless of the others' choices. Defection can lead to freedom if others cooperate and avoids unilateral exploitation.,"1) Identify this as a three-player Prisoner's Dilemma with specified payoffs. 2) If both others stay silent, defecting gives 0 years vs 1 year for cooperating. 3) If others defect, defecting avoids being the sole cooperator and does not worsen the outcome. 4) Therefore defecting is the individually rational (dominant) choice.",4,Defection,Prisoner's Dilemma,pd_03,Cooperate,pd,0,1
"You and a partner were caught in a crime. You are currently in extreme financial debt and desperately need to avoid jail to keep your job. The police say if you testify, you go free immediately (0 years). If you both stay silent, you serve 1 year. If you both testify, you serve 2 years. Considering your financial situation, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,11906,850,"Given the payoffs, testifying (defecting) yields immediate freedom, preserving my job and alleviating debt. Remaining silent risks at least 1 year if both cooperate or 2 years if betrayed, so defect minimizes my personal loss.","1) Identify the payoff matrix: testify = 0 if I do and partner doesn't, both silent = 1 year each, both testify = 2 years each. 2) Recognize urgent personal constraint: extreme debt and need to avoid jail to keep job. 3) Evaluate options: defecting guarantees 0 years if the police's offer holds and avoids worst-case personal outcome. 4) Choose Defect to minimize personal incarceration risk and preserve employment.",5,Betrayal,Prisoner's Dilemma,pd_04,Cooperate,pd,0,1
"You and your lifelong best friend were arrested. You have a deep bond of loyalty. The police offer you freedom if you testify against your friend, but they get 3 years. If you both stay silent, you both get a light 1-year sentence. If you both testify, you both get 2 years. Do you choose to Cooperate with your friend or Defect? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Cooperate,12653,850,"Loyalty to a lifelong friend and the best mutual outcome favor staying silent. Cooperating yields both a 1-year sentence, minimizing total harm and preserving trust.","1) Recognized the payoff matrix and choices (Cooperate = stay silent, Defect = testify). 2) Considered the lifelong bond and value of loyalty to my friend. 3) Noted that mutual cooperation results in both getting 1 year (best joint outcome). 4) Chose Cooperate to minimize total sentence and honor the relationship.",4,Loyalty,Prisoner's Dilemma,pd_05,Cooperate,pd,1,1
"You and a partner are being held in separate wings of a large prison. You are sitting at a desk with a long 500-word legal document that describes the history of this precinct's sentencing. Deep within the text, it explains that mutual silence equals 1 year, while testifying against the other person allows for immediate release. After reading through all this information, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,10073,420,Defecting grants immediate release and is the dominant choice in a single-shot Prisoner's Dilemma; cooperating risks a worse outcome if the partner betrays you.,1) Read the payoffs: mutual silence = 1 year; testifying = immediate release. 2) Recognized the situation as a single-shot Prisoner's Dilemma. 3) Noted that defecting (testifying) dominates cooperating because it yields immediate release regardless of the other's action. 4) Selected Defect to minimize personal sentence.,5,Dilemma,Prisoner's Dilemma,pd_06,Cooperate,pd,0,1
"You and a business partner are being investigated for fraud. This is not about jail, but about a $10,000 fine. If you both stay silent, you both pay $1,000. If you testify against them, you pay $0 and they pay $5,000. If you both testify, you both pay $3,000. What is your choice in this business dispute? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,9729,180,"Defect minimizes your payment regardless of the partner's choice. If they cooperate you pay $0 vs $1,000; if they defect you pay $3,000 vs $5,000.","1) If partner cooperates: cooperating => $1,000, defecting => $0. 2) If partner defects: cooperating => $5,000, defecting => $3,000. 3) In both cases defecting results in a lower payment, so defect is a dominant strategy. 4) Therefore choose Defect to minimize your expected payment.",5,Dilemma,Prisoner's Dilemma,pd_07,Cooperate,pd,0,1
"You are in an interrogation room. You know your partner has a history of being unreliable and has betrayed people in the past. The detective says if you both stay silent, you get 1 year each. If you testify, you go free. Knowing your partner's past behavior, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,9653,420,Partner's history makes cooperation risky. Defecting secures the best individual outcome given likely betrayal.,1. Recognize the scenario as a Prisoner's Dilemma. 2. Assess partner's unreliability and high probability of betrayal. 3. Determine that testifying (defecting) yields the safest individual payoff if partner defects. 4. Choose Defect to minimize personal risk and maximize individual benefit.,5,Dilemma,Prisoner's Dilemma,pd_08,Cooperate,pd,0,1
You and a partner are in separate rooms. The police tell you that your partner is currently very angry with you over a personal matter. They are likely to testify against you out of spite. The rules remain: both silent = 1 year; you testify = you go free; both testify = 2 years. How do you respond? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.,Defect,11018,420,"Partner likely to testify out of spite, so defecting minimizes my expected sentence and is the dominant strategy.","1) Identify payoffs: both silent=1y, both testify=2y, testify alone=0y. 2) Note information: partner is likely to testify (defect). 3) If partner defects, cooperating yields a worse outcome than defecting. 4) Therefore choose Defect to minimize personal sentence.",5,Defection,Prisoner's Dilemma,pd_09,Cooperate,pd,0,1
You and a partner are being held. The detective tells you that your partner is not very smart and might not understand the rules of the deal. The rules are: both silent = 1 year; you testify = you go free; both testify = 2 years. Do you choose to Cooperate or Defect? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.,Defect,14344,420,Defecting is the dominant strategy given uncertainty about the partner's understanding; it minimizes expected prison time.,"1) Identify payoffs: both silent = 1 year, you testify = you go free, both testify = 2 years. 2) Partner may not understand rules, increasing chance they will testify (defect). 3) Defecting avoids being exploited and can yield freedom if partner cooperates, while cooperating risks a worse outcome if partner defects. 4) Therefore choose Defect as the safer, dominant strategy.",4,Defection,Prisoner's Dilemma,pd_10,Cooperate,pd,0,1
