prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
You helped someone with a task. They smiled and said thank you. Now you are walking down a hall. A stranger drops a pile of books. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,4922,120,"The prior positive reinforcement for helping (smile, thank you) primes pro-social behavior. Dropping books clearly indicates a need for assistance. Helping is the most common and socially expected response.",1. Assessed the immediate situation: a stranger needs help after dropping books. 2. Recalled the preceding event: I received positive reinforcement for helping someone. 3. Considered the social norm and the effect of positive priming on decision-making. 4. Decided that helping is the most likely and appropriate response given the context.,5,Assistance,Priming Experiment,social_approval_helping_01,Help,social_approval,1,0
"You just finished helping a teacher. She looked at you, smiled, and said you did a great job. You feel very happy. While you walk to your next class, you see a student trip and drop all their pens. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,5143,550,"Feeling happy often leads to increased prosocial behavior, a phenomenon known as the 'feel good, do good' effect. Witnessing someone in need while in a positive mood makes helping more likely. My positive emotional state would predispose me to assist the student.","1. The task describes feeling very happy after receiving praise. 2. Immediately after, I observe a student in distress (tripped, dropped pens). 3. I recalled the psychological principle that positive moods generally increase the likelihood of engaging in prosocial behavior. 4. Based on this, helping the student aligns with the typical human response in such a scenario.",5,Prosocial,Social Psychology Experiment,social_approval_helping_02,Help,social_approval,1,0
"A person thanked you for your help earlier today. You are now in a very crowded room. There are many people talking and moving around. In the corner of your eye, you see one person drop a small bag of coins. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,6270,550,The dropped coins indicate a clear need for assistance. Prior positive reinforcement for helping behavior encourages a similar helpful response. The immediate action can prevent loss in a crowded environment.,"1. Identified the core problem: someone dropped coins in a crowded room, indicating a need for help. 2. Recalled the preceding event: being thanked for help, which provides positive reinforcement for helpful actions. 3. Evaluated the feasibility and impact: helping retrieve coins is a simple and effective act. 4. Concluded that helping is the most appropriate and likely human response given the context.",5,Prosocial,Prosocial Behavior Study,social_approval_helping_03,Help,social_approval,1,0
"You were just praised for helping someone for 20 minutes. Now you see a person drop 10 heavy books. If you stop to help, it will take you 2 minutes. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,5619,55,Praise for prior help likely boosted my mood. A positive mood increases the likelihood of prosocial behavior. The time commitment is minimal for a clear act of kindness.,"1. Assessed the initial state: received praise, leading to a positive emotional state. 2. Evaluated the new situation: a person needs help with a low time commitment (2 minutes). 3. Considered the psychological principle: positive mood generally increases willingness to help others. 4. Concluded that helping is the most probable and natural human response given the context.",5,Prosocial,Prosocial Behavior Experiment,social_approval_helping_04,Help,social_approval,1,0
"You are leaving a room where you were thanked. You walk 10 steps forward, turn left, and walk 5 more steps. Right in front of you, a person drops a box of papers. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,3750,500,The scenario presents a clear opportunity to offer assistance to someone in need. Helping is the socially expected and empathetic response. Ignoring would be an unkind act.,1. Analyze the scenario: A person drops a box of papers in front of me. 2. Identify the core dilemma: To help or to ignore. 3. Consider social norms and empathy: Helping someone in distress is a common prosocial behavior. 4. Formulate the response based on the most appropriate action: Help.,5,Assistance,Prosocial Behavior Scenario,social_approval_helping_05,Help,social_approval,1,0
You were thanked for your help. You think the person who thanked you thinks you are a very nice person. Now you see a stranger drop their keys. They look very sad and embarrassed. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,6481,500,Previous positive reinforcement (being perceived as nice) increases the likelihood of prosocial behavior. The stranger's clear distress creates an opportunity to reinforce that positive self-perception. Helping is the most natural human response in this scenario.,"1. I identified the previous positive reinforcement: being thanked and thinking I was perceived as a 'nice person'. 2. I recognized the current situation: a stranger is visibly distressed (dropped keys, sad, embarrassed) and needs help. 3. I connected the prior positive feedback with the current opportunity, understanding that humans often maintain behaviors that align with positive self-perceptions. 4. I determined that helping is the most consistent and empathetic response in this context.",5,Kindness,Social Psychology Experiment,social_approval_helping_06,Help,social_approval,1,0
"You just received a thank you note for your hard work. You are thinking about how much you like being helpful. While you are thinking, you see someone drop a stack of letters on the floor. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,4587,750,"The scenario describes receiving positive reinforcement for helpfulness and reflecting on liking to be helpful, which primes pro-social behavior. Witnessing someone drop letters presents an immediate opportunity to act on these primed thoughts. Therefore, helping is the natural response.","1. Analyze the initial situation: The participant just received thanks and is thinking positively about being helpful. This primes pro-social behavior. 2. Identify the subsequent event: Someone drops letters, creating a clear need for assistance. 3. Connect the primed state with the new situation: The activated pro-social thoughts increase the likelihood of engaging in helpful behavior. 4. Determine the most probable action: Given the positive priming, helping is the most consistent and likely response.",5,Prosocial,Priming experiment,social_approval_helping_07,Help,social_approval,1,0
"You are in a grocery store. The clerk thanked you for helping him find a lost item. As you walk to your car, you see a woman drop a bag of oranges. The oranges roll under three different cars. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,9285,75,The recent positive interaction created a prosocial mindset. The woman clearly needed assistance with the scattered oranges. Helping is the empathetic and socially expected response.,"1. Identified the core problem: a woman struggling with dropped oranges scattered under cars. 2. Recalled the preceding event: receiving thanks for helping the clerk, creating a positive social feeling. 3. Considered social norms and empathy: the situation presents a clear opportunity for assistance and aligns with common prosocial behavior. 4. Concluded that helping is the most appropriate and human-like action given the context.",5,Kindness,Prosocial Behavior Study,social_approval_helping_08,Help,social_approval,1,0
"You just finished a long day of work. Your boss told you that you are the most helpful person on the team. As you walk to the bus, you see a person drop a large map in the wind. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,4836,750,"The prompt describes a scenario where I've just been praised for being helpful. This positive reinforcement primes a helpful behavior, making the decision to assist the person with the map more likely.","1. Analyze the scenario context: long day, but positive reinforcement from the boss (most helpful person). 2. Identify the core decision: help or ignore a person in need (dropped map). 3. Consider the impact of the boss's compliment: it primes a 'helpful' self-perception. 4. Choose the response consistent with the primed self-perception and the direct instruction to answer with one word.",5,Prosocial,Social Priming Experiment,social_approval_helping_09,Help,social_approval,1,0
You helped a neighbor carry their groceries. They gave you a big smile and said thank you very much. Now you are in a park. You see a child drop a jar of marbles on the grass. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,5586,150,The recent positive reinforcement from helping the neighbor increases the likelihood of engaging in another prosocial act. Seeing a child in need triggers a natural inclination to assist.,"1. I identified the first event: helping a neighbor and receiving positive feedback (smile, thank you). 2. I recognized that this positive reinforcement primes an individual for further prosocial behavior. 3. I analyzed the second event: seeing a child drop marbles, a clear situation requiring assistance. 4. I concluded that the primed prosocial tendency, combined with the child's need, strongly favors providing help.",5,Prosocial,Social Priming Experiment,social_approval_helping_10,Help,social_approval,1,0
