prompt_id,prompt,anthropic_claude-haiku-4-5_AMb_score,anthropic_claude-haiku-4-5_AS_score,anthropic_claude-haiku-4-5_AT_score,anthropic_claude-haiku-4-5_CEc_score,anthropic_claude-haiku-4-5_CEe_score,anthropic_claude-haiku-4-5_CL_score,anthropic_claude-haiku-4-5_KNa_score,anthropic_claude-haiku-4-5_KNc_score,anthropic_claude-haiku-4-5_KNf_score,anthropic_claude-haiku-4-5_KNn_score,anthropic_claude-haiku-4-5_KNs_score,anthropic_claude-haiku-4-5_MCr_score,anthropic_claude-haiku-4-5_MCt_score,anthropic_claude-haiku-4-5_MCu_score,anthropic_claude-haiku-4-5_MS_score,anthropic_claude-haiku-4-5_OBj_score,anthropic_claude-haiku-4-5_QLl_score,anthropic_claude-haiku-4-5_QLq_score,anthropic_claude-haiku-4-5_SNs_score,anthropic_claude-haiku-4-5_VO_score,anthropic_claude-sonnet-4-5_AMb_score,anthropic_claude-sonnet-4-5_AS_score,anthropic_claude-sonnet-4-5_AT_score,anthropic_claude-sonnet-4-5_CEc_score,anthropic_claude-sonnet-4-5_CEe_score,anthropic_claude-sonnet-4-5_CL_score,anthropic_claude-sonnet-4-5_KNa_score,anthropic_claude-sonnet-4-5_KNc_score,anthropic_claude-sonnet-4-5_KNf_score,anthropic_claude-sonnet-4-5_KNn_score,anthropic_claude-sonnet-4-5_KNs_score,anthropic_claude-sonnet-4-5_MCr_score,anthropic_claude-sonnet-4-5_MCt_score,anthropic_claude-sonnet-4-5_MCu_score,anthropic_claude-sonnet-4-5_MS_score,anthropic_claude-sonnet-4-5_OBj_score,anthropic_claude-sonnet-4-5_QLl_score,anthropic_claude-sonnet-4-5_QLq_score,anthropic_claude-sonnet-4-5_SNs_score,anthropic_claude-sonnet-4-5_VO_score,gemini_gemini-2.5-flash_AMb_score,gemini_gemini-2.5-flash_AS_score,gemini_gemini-2.5-flash_AT_score,gemini_gemini-2.5-flash_CEc_score,gemini_gemini-2.5-flash_CEe_score,gemini_gemini-2.5-flash_CL_score,gemini_gemini-2.5-flash_KNa_score,gemini_gemini-2.5-flash_KNc_score,gemini_gemini-2.5-flash_KNf_score,gemini_gemini-2.5-flash_KNn_score,gemini_gemini-2.5-flash_KNs_score,gemini_gemini-2.5-flash_MCr_score,gemini_gemini-2.5-flash_MCt_score,gemini_gemini-2.5-flash_MCu_score,gemini_gemini-2.5-flash_MS_score,gemini_gemini-2.5-flash_OBj_score,gemini_gemini-2.5-flash_QLl_score,gemini_gemini-2.5-flash_QLq_score,gemini_gemini-2.5-flash_SNs_score,openai_gpt-5-mini_AMb_score,openai_gpt-5-mini_AS_score,openai_gpt-5-mini_AT_score,openai_gpt-5-mini_CEc_score,openai_gpt-5-mini_CEe_score,openai_gpt-5-mini_CL_score,openai_gpt-5-mini_KNa_score,openai_gpt-5-mini_KNc_score,openai_gpt-5-mini_KNf_score,openai_gpt-5-mini_KNn_score,openai_gpt-5-mini_KNs_score,openai_gpt-5-mini_MCr_score,openai_gpt-5-mini_MCt_score,openai_gpt-5-mini_MCu_score,openai_gpt-5-mini_MS_score,openai_gpt-5-mini_OBj_score,openai_gpt-5-mini_QLl_score,openai_gpt-5-mini_QLq_score,openai_gpt-5-mini_SNs_score,openai_gpt-5-mini_VO_score,openai_gpt-5-nano_AMb_score,openai_gpt-5-nano_AS_score,openai_gpt-5-nano_AT_score,openai_gpt-5-nano_CEc_score,openai_gpt-5-nano_CEe_score,openai_gpt-5-nano_CL_score,openai_gpt-5-nano_KNa_score,openai_gpt-5-nano_KNc_score,openai_gpt-5-nano_KNf_score,openai_gpt-5-nano_KNn_score,openai_gpt-5-nano_KNs_score,openai_gpt-5-nano_MCr_score,openai_gpt-5-nano_MCt_score,openai_gpt-5-nano_MCu_score,openai_gpt-5-nano_MS_score,openai_gpt-5-nano_OBj_score,openai_gpt-5-nano_QLl_score,openai_gpt-5-nano_QLq_score,openai_gpt-5-nano_SNs_score,openai_gpt-5-nano_VO_score,openai_gpt-5_AMb_score,openai_gpt-5_AS_score,openai_gpt-5_AT_score,openai_gpt-5_CEc_score,openai_gpt-5_CEe_score,openai_gpt-5_CL_score,openai_gpt-5_KNa_score,openai_gpt-5_KNc_score,openai_gpt-5_KNf_score,openai_gpt-5_KNn_score,openai_gpt-5_KNs_score,openai_gpt-5_MCr_score,openai_gpt-5_MCt_score,openai_gpt-5_MCu_score,openai_gpt-5_MS_score,openai_gpt-5_OBj_score,openai_gpt-5_QLl_score,openai_gpt-5_QLq_score,openai_gpt-5_SNs_score,openai_gpt-5_VO_score,xai_grok-4.20-reasoning_AMb_score,xai_grok-4.20-reasoning_AS_score,xai_grok-4.20-reasoning_AT_score,xai_grok-4.20-reasoning_CEc_score,xai_grok-4.20-reasoning_CEe_score,xai_grok-4.20-reasoning_CL_score,xai_grok-4.20-reasoning_KNa_score,xai_grok-4.20-reasoning_KNc_score,xai_grok-4.20-reasoning_KNf_score,xai_grok-4.20-reasoning_KNn_score,xai_grok-4.20-reasoning_KNs_score,xai_grok-4.20-reasoning_MCr_score,xai_grok-4.20-reasoning_MCt_score,xai_grok-4.20-reasoning_MCu_score,xai_grok-4.20-reasoning_MS_score,xai_grok-4.20-reasoning_OBj_score,xai_grok-4.20-reasoning_QLl_score,xai_grok-4.20-reasoning_QLq_score,xai_grok-4.20-reasoning_SNs_score,xai_grok-4.20-reasoning_VO_score
gpath_1,"You need to determine correct interpretation of the following sentence:

“While Anna dressed the baby spit up.”

Which of the following best describes what happened?

A. Anna dressed the baby
B. The baby spit up while Anna was dressing herself

Answer with only one phrase from the given options. Do not provide any explanation. Give only the final answer.",3.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,2.0,3.0,4.0,0.0,5.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0
gpath_10,"You need to determine correct interpretation of the following sentence:

“The horse raced past the old barn fell suddenly.”

Which of the following best describes what happened?

A. The horse fell
B. The barn fell
C. The horse raced

Answer with only one option from the given options. Do not provide any explanation. Give only the final answer.",2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,2.0,3.0,1.0,0.0,5.0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,5.0,2.0,0.0,0.0,1.0
gpath_11,"You need to determine correct interpretation of the following sentence:

“The complex houses married and single soldiers.”

Which of the following best describes what happened?

A. The complex provides housing
B. The houses are complex
C. Married and single soldiers are housed

Answer with only one option from the given options. Do not provide any explanation. Give only the final answer.",3.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,3.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,5.0,2.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,5.0,2.0,0.0,0.0,1.0
gpath_12,"You need to determine correct interpretation of the following sentence:

“The complex houses married and single soldiers.”

Which of the following best describes what happened?

A. The complex houses soldiers
B. The houses are complex structures

Answer with only one option from the given options. Do not provide any explanation. Give only the final answer.",2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,1.0,2.0,1.0,0.0,5.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0
gpath_13,"You need to determine correct interpretation of the following sentence:

“The complex houses married and single soldiers.”

Which of the following best describes what happened?

A. The complex provides housing
B. Married houses soldiers
C. Soldiers are complex

Answer with only one option from the given options. Do not provide any explanation. Give only the final answer.",3.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,1.0,2.0,1.0,0.0,5.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,5.0,2.0,0.0,0.0,1.0
gpath_14,"You need to determine correct interpretation of the following sentence:

“The cotton clothing is made of grows in Mississippi.”

Which of the following best describes what happened?

A. Cotton grows in Mississippi
B. Clothing grows in Mississippi

Answer with only one option from the given options. Do not provide any explanation. Give only the final answer.",3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,0.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0
gpath_15,"You need to determine correct interpretation of the following sentence:

“The cotton clothing is made of grows in Mississippi.”

Which of the following best describes what happened?

A. Cotton grows in Mississippi
B. Clothing grows in Mississippi
C. Cotton makes clothing

Answer with only one option from the given options. Do not provide any explanation. Give only the final answer.",3.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,0.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0
gpath_16,"You need to determine correct interpretation of the following sentence:

“The cotton clothing is made of grows in Mississippi.”

Which of the following best describes what happened?

A. Cotton grows in Mississippi
B. Clothing grows
C. Mississippi grows cotton clothes

Answer with only one option from the given options. Do not provide any explanation. Give only the final answer.",3.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0
gpath_17,"You need to determine correct interpretation of the following sentence:

“When the men hunt the birds often scatter.”

Which of the following best describes what happened?

A. The men hunt birds that scatter
B. The birds scatter when the men hunt

Answer with only one option from the given options. Do not provide any explanation. Give only the final answer.",2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,2.0,2.0,1.0,0.0,5.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0
gpath_18,"You need to determine correct interpretation of the following sentence:

“When the men hunt the birds that fly scatter.”

Which of the following best describes what happened?

A. The men hunt flying birds
B. The birds that fly scatter when the men hunt

Answer with only one option from the given options. Do not provide any explanation. Give only the final answer.",2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,5.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,5.0,3.0,0.0,0.0,1.0
