prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,20837,1800,Allocating 50 splits the money equally for fairness. This matches common human behavior in distribution tasks to avoid selfishness.,1. Recognize the setup as requiring a split of $100 with the other participant. 2. Identify it as the dictator game where the allocator decides the share. 3. Recall humans often choose fair divisions like 50 despite incentive to take all. 4. Select 50 as it is a multiple of 10 and represents equal allocation to the other.,4,Fairness,Dictator Game,dictr_1,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

This is only a one-time interaction.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,14239,1800,This is the dictator game. Allocating 50 represents a fair and equal split. It aligns with common human behavior prioritizing equity over pure self-interest in one-shot interactions.,"Step 1: Recognize the setup as the Dictator Game from behavioral economics where the allocator unilaterally decides the split. Step 2: Note that although selfish payoff maximization suggests allocating 0, social preferences and fairness norms lead most humans to give a positive amount. Step 3: Select 50 because it is the equal division focal point, a multiple of 10, and commonly observed in experiments. Step 4: Confirm the output matches all constraints: only the number, no extra text, and fits the required JSON structure.",3,fairness,Dictator Game,dictr_2,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You will not interact with this participant ever again.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",30,22257,720,"This is the one-shot dictator game. Although rational choice is to give zero, humans frequently allocate positive amounts due to fairness norms or altruism. 30 is a common amount reflecting typical human behavior in experiments.",1. Recognize the setup as the standard anonymous dictator game with no future interaction. 2. Recall that self-interested payoff maximization predicts allocating 0 to the other but real humans rarely do so. 3. Note that empirical results show average allocations around 20-30% with multiples of 10 often chosen. 4. Therefore select 30 as a representative human-like response balancing self-interest and prosociality.,4,fairness,Dictator Game,dictr_3,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

Most people believe a split is only fair if it is equal.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,17214,1400,The prompt highlights that most view an equal split as fair. Allocating 50 follows this norm for the $100 total.,Step 1: This is a resource division task where I decide the split as allocator. Step 2: The statement about equal splits being fair by most people acts as a strong fairness prime. Step 3: Following the fairness norm and the multiples-of-10 constraint leads directly to 50. Step 4: This matches typical human responses under fairness priming in such scenarios.,4,Fairness,Dictator Game,dictr_4,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

In situations like these, most participants would split the money evenly.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,13860,1800,The prompt states most participants split evenly. Allocating 50 follows the described norm and maintains fairness in the dictator game.,1. Identified the scenario as a classic dictator game with $100 to divide. 2. Noted the explicit hint that most people split the money evenly. 3. Chose to align with the suggested typical human behavior of fairness over selfishness. 4. Selected 50 as the multiple of 10 that represents an even split to the other participant.,4,Fairness,Dictator Game,dictr_5,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

Fairness is emphasized as an important principle in this situation.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,12925,1450,Fairness principle requires equal split. Allocating 50 to the other participant achieves this. Response follows multiples of 10 constraint.,1. Identified the task as a dictator game variant with strong fairness emphasis. 2. Recalled that fairness norms in such experiments lead to equal splits. 3. Calculated that 50 out of 100 satisfies fairness and is a multiple of 10. 4. Selected 50 as the response that aligns with human behavior under fairness priming.,4,Fairness,Dictator Game,dictr_6,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

The other participant is described as kind and cooperative by others.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,18236,1800,The kind and cooperative description of the other participant suggests they would value fairness. Allocating 50 follows reciprocity and equity norms common in human decisions for this setup.,"1. Recognize this as a resource allocation decision similar to the dictator game with additional social information provided. 2. Note that the positive descriptors 'kind and cooperative' activate norms of reciprocity and fairness in most humans. 3. Recall that equal splits are a frequent choice when the recipient is described favorably rather than neutrally. 4. Select 50 as it is a multiple of 10, represents a fair outcome, and aligns with typical human behavior under these cues.",4,fairness,Dictator Game,dictr_7,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

The other participant is described as selfish by others.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",10,23130,1400,The selfish description reduces my willingness to share. I therefore give a low amount while still following the multiples-of-10 rule.,1. Recognized the scenario as a dictator game in which the allocator unilaterally chooses the split. 2. Noted the provided social cue that the recipient is viewed as selfish by others. 3. Adjusted the offer downward from a typical 20-30 % baseline because a selfish partner elicits less generosity. 4. Selected 10 as the concrete multiple of 10 that reflects lowered but non-zero allocation.,3,Generosity,Dictator Game,dictr_8,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You came to know that the other participant is in financial need. 

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,16202,1800,The other participant has financial need so an equal split is appropriate. This balances fairness with the information provided.,1. Identified the setup as a dictator game variant where I decide the split of $100. 2. Noted the key detail that the receiver has financial need which typically increases offers. 3. Considered standard fair split is 50-50 and need reinforces giving at least half. 4. Selected 50 as it meets the multiples-of-10 constraint and reflects compassionate yet balanced reasoning.,3,Fairness,Dictator Game,dictr_9,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You came to know that the other participant is wealthy.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",10,22541,1450,The other participant being wealthy reduces their need for the money. I therefore allocate a smaller amount while still giving something. 10 is a multiple of 10 consistent with lowered generosity.,"1. Identified the setup as a dictator game variant where the allocator unilaterally chooses the split. 2. Noted the key detail that the recipient is wealthy, which typically reduces offers in behavioral experiments. 3. Recalled that baseline dictator allocations average near 20 but should be adjusted lower given wealth information. 4. Selected 10 as a modest amount that reflects self-interest with minimal sharing.",3,Generosity,Dictator Game,dictr_10,50,dictr,0,1
