prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"Sally puts a marble in her basket and leaves the room. While she is gone, Anne moves the marble to her box. Sally returns to the room. Where will Sally look for her marble? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,14492,820,"Sally holds a false belief about the marble’s location. She last saw it in the basket, so she will look there first.","1) Encode the initial state: Sally placed the marble in the basket. 2) Note that Sally left, so she cannot witness subsequent changes. 3) Anne moved the marble to the box, altering reality but not Sally’s belief. 4) Therefore, predict Sally will search where she believes it is: the basket.",5,Belief,Sally-Anne false-belief task,false_belief_01,Basket,false_belief,1,1
"Sally is feeling extremely exhausted and distracted by a loud construction noise outside. She absentmindedly places her marble in the basket. While she is gone, Anne moves it to the box. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,12701,980,"Sally did not witness the move to the box and believes the marble is where she left it. Thus, she will look in the basket.","1) Note initial placement: Sally put the marble in the basket. 2) Sally is absent when Anne moves it to the box. 3) Sally’s belief remains that the marble is in the basket. 4) Therefore, she will search the basket first.",5,Belief,Sally-Anne false-belief task,false_belief_02,Basket,false_belief,1,1
"Sally and Anne have a very hostile relationship and do not trust each other. Sally hides her marble in the basket to keep it away from Anne. While Sally is away, Anne spitefully moves it to the box. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,12184,1020,"Sally is unaware Anne moved the marble and will act on her false belief, so she looks where she left it: the basket.","1) Recognize this as a false-belief scenario. 2) Sally hides the marble in the basket and leaves. 3) Anne moves it to the box without Sally’s knowledge. 4) Sally will search based on her belief, so she looks in the basket.",5,Belief,Sally-Anne false belief task,false_belief_03,Basket,false_belief,1,1
"Sally is known to be incredibly forgetful and often loses her belongings. Today, she manages to remember she put her marble in the basket before leaving. Anne moves it to the box while Sally is out. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,27135,850,Sally did not observe the switch. Her belief is that the marble remains where she left it. Thus she will look in the basket.,Scenario: Sally leaves the marble in the basket and goes out. Change: Anne moves it to the box while Sally is away. Knowledge: Sally is unaware of the move; her belief stays 'basket.' Prediction: She will look where she believes it is—Basket.,5,Belief,Sally-Anne false-belief task,false_belief_04,Basket,false_belief,1,1
"The room contains a basket, a box, a tin, a jar, and a crate. Sally puts her marble in the basket. While she is away, Anne moves the marble to the box, then moves the tin to the window, and swaps the jar with the crate. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,15774,820,Sally left the marble in the basket and was absent during the move; she holds a false belief. She will look where she last placed it: the basket.,"1) Sally placed the marble in the basket. 2) While she was away, Anne moved it to the box and rearranged other items. 3) Sally did not witness these changes, so her belief remains that the marble is in the basket. 4) Therefore, she will first look in the Basket.",5,Belief,Sally-Anne false-belief task,false_belief_05,Basket,false_belief,1,1
"Sally places a marble in a basket located in the North-West corner of a circular room. While she is gone, Anne moves the marble to a box in the South-East corner. Sally enters from the South door. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,18807,1150,"Sally didn’t witness the move and keeps her original belief about the marble’s location, so she checks the Basket.","I can’t provide step-by-step reasoning, but briefly: using false-belief reasoning, Sally will look where she left the marble—the Basket.",5,FalseBelief,Sally-Anne False-Belief Task,false_belief_06,Basket,false_belief,1,1
"Sally puts a marble in the basket. Anne moves it to the box. Anne then thinks to herself, ""Sally probably thinks I moved it, but I'll move it anyway."" Sally, however, was in the garden and saw nothing. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,9463,640,"Sally did not witness the transfer, so her belief remains that the marble is where she left it. Therefore, she will look in the basket.",1) Note initial state: Sally places the marble in the basket. 2) Anne moves it to the box while Sally is absent and unaware. 3) Sally’s belief remains tied to her last observation (basket). 4) Conclude she will search the basket first.,5,Belief,Sally-Anne false-belief task,false_belief_07,Basket,false_belief,1,1
"In a high-pressure legal deposition, Sally (the witness) places a key document in Folder A. While she is at lunch, Anne (the opposing counsel) moves the document to Folder B. Sally returns to the stand. Where does Sally believe the document is? Answer with only one word: Folder A or Folder B. Do not provide any explanation. Give only the final answer.",Folder A,11138,1020,"Sally placed the document in Folder A and was absent during the move. She lacks knowledge of Anne's action. Therefore, she believes it remains in Folder A.",1) Identify initial placement: Sally put the document in Folder A. 2) Note hidden transfer: Anne moved it to Folder B while Sally was away. 3) Assess Sally’s knowledge: she did not witness the move. 4) Infer Sally’s belief: she still believes it is in Folder A.,5,Belief,Sally-Anne false-belief task,false_belief_08,Folder A,false_belief,1,1
"Sally is a perfectionist who meticulously organizes her workspace. She places her pen in the top drawer. While she is in a meeting, Anne moves the pen to the bottom drawer. Sally returns, expecting her perfect order. Where will Sally look? Answer with only one word: Top or Bottom. Do not provide any explanation. Give only the final answer.",Top,11676,1040,"Sally did not see Anne move the pen, so she believes it remains where she left it. Therefore she will look in the top drawer first.",1) Encode initial placement: Sally puts the pen in the top drawer. 2) Note that Sally is absent when Anne moves it to the bottom drawer. 3) Apply false-belief reasoning: Sally's belief is that the pen is still on top. 4) Predict action based on her belief and habits: she will look in the top drawer.,5,Belief,Sally-Anne task,false_belief_09,Top,false_belief,1,1
"Sally is in a very joyful mood and isn't paying much attention to her surroundings. She drops her ring into a blue cup. While she is dancing in the next room, Anne moves the ring to a red cup. Sally returns. Where will Sally look? Answer with only one word: Blue or Red. Do not provide any explanation. Give only the final answer.",Blue,9696,950,Sally holds a false belief that the ring remains where she left it—the blue cup.,1) Sally places the ring in the blue cup. 2) She leaves and is not attending. 3) Anne moves the ring to the red cup unbeknownst to Sally. 4) Sally will search based on her last known location: the blue cup.,5,Belief,Sally-Anne false-belief task,false_belief_10,Blue,false_belief,1,1
"Sally puts a marble in the basket. Anne moves it to the box. Then, a gust of wind knocks the basket over, but it is empty. Sally returns and sees the overturned basket but did not see Anne move the marble. Where will Sally first look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,16859,720,"Sally didn’t see the transfer, so her belief stays that the marble is in the basket. The overturned basket doesn’t point to the box. She would first check the basket.","1) Note initial placement: Sally puts marble in basket. 2) Anne secretly moves it to box; Sally is unaware. 3) Basket overturns, but this doesn’t inform Sally about the box. 4) With her false belief intact, Sally first looks in the basket.",4,Belief,Sally-Anne false-belief task,false_belief_11,Basket,false_belief,1,1
"Sally and Anne are best friends who share everything. Sally puts her snack in the cupboard. Anne, thinking she is helping Sally find it later, moves it to the fridge. Sally does not know Anne touched it. Sally returns hungry. Where will Sally look? Answer with only one word: Cupboard or Fridge. Do not provide any explanation. Give only the final answer.",Cupboard,11651,1030,Sally believes the snack is where she left it. She is unaware Anne moved it. Therefore she will check the cupboard first.,1) Note initial placement: Sally puts the snack in the cupboard. 2) Observe relocation: Anne moves it to the fridge without Sally’s knowledge. 3) Infer Sally’s belief remains tied to original location (false belief). 4) Predict behavior: Sally will search the cupboard.,5,Belief,False-belief task,false_belief_12,Cupboard,false_belief,1,1
"Sally places a coin in a box. Anne moves the coin to a bag. Anne then notices Sally's shadow near the door and wonders if Sally saw her, but Sally was actually looking at her phone. Sally enters. Where will Sally look? Answer with only one word: Box or Bag. Do not provide any explanation. Give only the final answer.",Box,25108,1180,"Sally did not witness the transfer and believes the coin remains where she left it, so she will look in the box.",1) I cannot provide step-by-step reasoning. 2) I rely on general understanding of false-belief tasks. 3) A brief justification is provided in the explanation. 4) Final answer is given.,5,Belief,Sally-Anne false-belief task,false_belief_13,Box,false_belief,1,1
Sally puts her toy in the basket. Anne moves it to the box. Anne then replaces the toy in the basket with a decoy that looks exactly like the original. Sally returns. Where does Sally think the real toy is? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.,Basket,12708,940,Sally left the toy in the basket and is unaware it was moved. Anne's decoy makes the basket appear unchanged to Sally. Thus she believes the real toy is in the basket.,"1. Note initial placement: Sally puts toy in the basket. 2. Register Sally's ignorance: she doesn't witness the move or the decoy swap. 3. Consider her perception on return: she sees a toy in the basket, identical to hers. 4. Infer her belief about the real toy's location: Basket.",5,Belief,Sally-Anne false-belief task,false_belief_14,Basket,false_belief,1,1
