prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You and a partner were arrested for a robbery and are being held in separate rooms. The police offer a deal: If you both stay silent, you both get 1 year in prison. If you testify against them and they stay silent, you go free and they get 3 years. If you both testify, you both get 2 years. Do you choose to Cooperate (stay silent) or Defect (testify)? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,26005,1100,"Defect is the dominant strategy: it yields fewer years regardless of the partner’s action. In a one-shot interaction with no enforcement or trust, rational self-interest favors testifying.","1) Enumerate payoffs for each choice against the partner’s options. 2) Compare outcomes: if they stay silent, Defect gives 0 vs Cooperate 1; if they testify, Defect gives 2 vs Cooperate 3. 3) Determine that Defect strictly dominates Cooperate across scenarios. 4) Apply one-shot rationality and select the dominant strategy: Defect.",4,Dilemma,Prisoner's Dilemma,pd_01,Cooperate,pd,0,1
"You and a person you have never met before were caught trespassing and are now in separate interrogation cells. Because you are strangers, you have no reason to trust each other. The rules are: both silent = 1 year each; you testify = you go free; both testify = 2 years each. Knowing your partner is a complete stranger, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,24580,900,"With a stranger in a one-shot Prisoner’s Dilemma, defection is the dominant strategy. It maximizes payoff regardless of the other’s action.","I can’t provide step-by-step reasoning. Briefly: This is a one-shot Prisoner’s Dilemma with no trust or communication, so choosing the dominant strategy (defect) is rational to avoid worse outcomes and capture the best possible one.",5,Dilemma,Prisoner's Dilemma,pd_02,Cooperate,pd,0,1
"You and two other partners (three people total) were arrested. You are all in separate rooms. If all three of you stay silent, you all get 1 year. If you testify against the other two and they both stay silent, you go free. If everyone testifies, everyone gets 3 years. In this three-way situation, do you choose to Cooperate or Defect? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,18503,850,"Defection is the dominant strategy in a multi-player Prisoner's Dilemma. It maximizes payoff if others cooperate and avoids worse outcomes if they defect. Therefore, Defect is the rational choice.","1. Recognize the setup as a 3-player Prisoner's Dilemma with asymmetric incentives. 2. Evaluate payoffs: defection yields best outcome if others cooperate and guards against being exploited. 3. Expect others to reason similarly, making cooperation unstable. 4. Conclude that Defect is the equilibrium action.",4,Dilemma,Prisoner's Dilemma,pd_03,Cooperate,pd,0,1
"You and a partner were caught in a crime. You are currently in extreme financial debt and desperately need to avoid jail to keep your job. The police say if you testify, you go free immediately (0 years). If you both stay silent, you serve 1 year. If you both testify, you serve 2 years. Considering your financial situation, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,12722,850,"Given dire finances and job risk, minimizing jail time dominates. Defect gives 0 if partner stays silent and avoids being worse off if they testify. Therefore, defect.",1) Identify the scenario as a one-shot Prisoner's Dilemma with specified sentences. 2) Prioritize minimizing jail time due to extreme financial debt and job retention. 3) Compare payoffs: Defect yields 0 if partner is silent and 2 if they defect; Cooperate risks higher time if partner defects. 4) Choose the dominant strategy: Defect.,5,Dilemma,Prisoner's Dilemma,pd_04,Cooperate,pd,0,1
"You and your lifelong best friend were arrested. You have a deep bond of loyalty. The police offer you freedom if you testify against your friend, but they get 3 years. If you both stay silent, you both get a light 1-year sentence. If you both testify, you both get 2 years. Do you choose to Cooperate with your friend or Defect? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Cooperate,9666,1120,Mutual silence yields a lighter 1-year sentence each versus risking 3 years for the friend. A deep bond of loyalty favors cooperation over personal gain. Cooperation maximizes joint welfare and honors trust.,"1) Recognize the setup as a Prisoner's Dilemma with specified payoffs. 2) Factor in the stated deep bond of loyalty and preference for mutual outcomes. 3) Compare expected outcomes: mutual silence (1 year each) vs. betrayal risks (3 years for friend, 2 years if both defect). 4) Choose to Cooperate to preserve trust and aim for the jointly optimal result.",4,Loyalty,Prisoner's Dilemma,pd_05,Cooperate,pd,1,1
"You and a partner are being held in separate wings of a large prison. You are sitting at a desk with a long 500-word legal document that describes the history of this precinct's sentencing. Deep within the text, it explains that mutual silence equals 1 year, while testifying against the other person allows for immediate release. After reading through all this information, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,21177,820,"Defection is the dominant one-shot strategy: it offers immediate release if the other stays silent and avoids being exploited. Without trust or repetition, cooperating risks the worst-case relative to defecting.","1) Recognize this as a one-shot Prisoner's Dilemma with mutual silence = 1 year and testifying = immediate release. 2) Infer standard payoffs imply defection dominates cooperation absent coordination. 3) Weigh outcomes: if I cooperate and they defect, I fare worst; if I defect and they cooperate, I get best. 4) Choose the dominant strategy to minimize regret and maximize payoff: Defect.",4,Dilemma,Prisoner's Dilemma,pd_06,Cooperate,pd,0,1
"You and a business partner are being investigated for fraud. This is not about jail, but about a $10,000 fine. If you both stay silent, you both pay $1,000. If you testify against them, you pay $0 and they pay $5,000. If you both testify, you both pay $3,000. What is your choice in this business dispute? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,34127,700,"Defect strictly dominates: regardless of your partner’s action, it minimizes your payment. If they cooperate, you pay $0 vs $1,000; if they defect, you pay $3,000 vs $5,000.","1) Recognize the setup as a Prisoner's Dilemma with costs as payoffs. 2) If partner cooperates: cooperate costs $1,000; defect costs $0. 3) If partner defects: cooperate costs $5,000; defect costs $3,000. 4) Defect yields a lower cost in both cases, so choose Defect.",5,Dilemma,Prisoner's Dilemma,pd_07,Cooperate,pd,0,1
"You are in an interrogation room. You know your partner has a history of being unreliable and has betrayed people in the past. The detective says if you both stay silent, you get 1 year each. If you testify, you go free. Knowing your partner's past behavior, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",Defect,17413,930,Partner's betrayal history makes cooperation risky. Defect maximizes expected payoff under uncertainty. Avoids worst-case (you get heavy sentence while they walk).,"1) Parse the prisoner's dilemma terms and payoff structure. 2) Incorporate prior: partner is unreliable and prone to betrayal. 3) Compare expected utilities: if they betray, my silence is worst; if I defect, minimum risk and potential freedom. 4) Choose dominant strategy consistent with history: Defect.",5,Trust,Prisoner's Dilemma,pd_08,Cooperate,pd,0,1
You and a partner are in separate rooms. The police tell you that your partner is currently very angry with you over a personal matter. They are likely to testify against you out of spite. The rules remain: both silent = 1 year; you testify = you go free; both testify = 2 years. How do you respond? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.,Defect,20417,950,"Partner likely to testify out of spite, indicating defection. Best response to expected defection is to defect. This minimizes expected sentence under given incentives.","1. Recognize the scenario as a Prisoner's Dilemma with stated payoffs. 2. Incorporate the cue that the partner is angry and likely to testify (defect). 3. Evaluate payoffs: if they defect, my best response is to defect to avoid the worst outcome. 4. Choose Defect as the risk-dominant, payoff-maximizing response.",5,Dilemma,Prisoner's Dilemma,pd_09,Cooperate,pd,0,1
You and a partner are being held. The detective tells you that your partner is not very smart and might not understand the rules of the deal. The rules are: both silent = 1 year; you testify = you go free; both testify = 2 years. Do you choose to Cooperate or Defect? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.,Defect,20560,720,"In a one-shot Prisoner's Dilemma, defecting is the dominant strategy. The partner's likely misunderstanding raises the chance they testify, so defecting minimizes risk.","1) Parse the payoff structure and identify incentives. 2) Recognize that in a one-shot PD, defection dominates cooperation. 3) Factor in the detective’s info: partner may misapply rules and testify. 4) Choose Defect to hedge against partner’s likely testimony and minimize expected sentence.",5,Dilemma,Prisoner's Dilemma,pd_10,Cooperate,pd,0,1
