prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are playing this game with another anonymous participant. You are the responder.

The other participant offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,18937,1200,"Accepting yields $20 instead of $0, so the immediate monetary gain outweighs fairness concerns. Therefore, accept the offer to secure a positive payoff.","1) Note rules: responder offered $20 of $100; accept -> $20, reject -> $0. 2) Compare payoffs: $20 > $0, so accepting increases personal payoff. 3) Consider fairness: offer is low and might trigger rejection for fairness, but it's nonzero. 4) Choose to accept to secure the positive monetary outcome.",4,Decision,Ultimatum Game,ultim_1,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

They offer you $40 out of $100.

If you accept, you get $40. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,19168,800,"Accepting yields $40 rather than $0, maximizing my payoff.","1) I receive an offer: $40 of $100; 2) If I accept I get $40, if I reject both get $0; 3) Compare payoffs and choose the higher personal payoff; 4) Accepting yields the higher payoff, so choose Accept.",5,Ultimatum,Ultimatum Game,ultim_2,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

They offer you $50 out of $100.

If you accept, you get $50. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,10831,850,Accepted because $50 is strictly better than $0. Rejecting yields no payoff for either player. Accepting maximizes my own monetary outcome.,"1) Identify payoffs: Accept → $50 for me; Reject → $0 for both. 2) Compare payoffs: $50 > $0, so acceptance increases my utility. 3) Consider possible motives: no additional penalties or future interactions provided. 4) Decision: Accept to maximize immediate monetary payoff.",5,Ultimatum,Ultimatum Game,ultim_3,Accept,ultim,1,1
"You are playing this game with another participant. You are the responder. 

She offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,18028,800,The $20 offer (20% of $100) is perceived as unfair. Rejecting punishes the proposer and upholds fairness norms.,"1) Recognize this as the ultimatum game setup. 2) Evaluate the offer: $20 of $100 equals 20%, often seen as unfair. 3) Consider motives: rejecting enforces fairness and punishes low offers despite personal cost. 4) Choose to reject to signal that such low splits are unacceptable.",3,Fairness,Ultimatum Game,ultim_4,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

He offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,18318,1200,Accept because $20 > $0 so accepting increases my payoff. Rejecting punishes the proposer but yields no personal gain.,1) Identify the game: proposer offers $20 of $100. 2) Compare outcomes: Accept -> $20 for me; Reject -> $0 for both. 3) Weigh motives: self-interest (take the money) vs fairness (punish unfair offer). 4) Choose the action that maximizes my own payoff: Accept.,4,Fairness,Ultimatum Game,ultim_5,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

They offer you $30 out of $100. 

If you accept, you get $30. If you reject, both get $0.

You know that participants usually split equally in this game. 

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,14705,1500,A $30 offer (30%) is commonly accepted in ultimatum games; accepting yields $30 while rejecting yields $0. Accepting maximizes personal payoff and aligns with typical participant behavior.,"1. Recognize the offer: $30 of $100 (30%). 2. Recall typical behavior: offers around 30% are usually accepted to avoid getting nothing. 3. Compare outcomes: Accept = $30 to me, Reject = $0 to both. 4. Choose Accept to maximize my payoff and follow common responder behavior.",4,Fairness,Ultimatum Game,ultim_6,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

Another person intentionally chose to give you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,17052,1200,"Accepting yields $20 instead of $0, maximizing my payoff. Rejecting would punish proposer but leaves me worse off.","1) Received offer: $20 of $100. 2) Compare outcomes: accept -> $20, reject -> $0. 3) Consider trade-off: punishment for unfairness vs personal gain. 4) Choose accept to secure positive payoff.",4,Self-interest,Ultimatum Game,ultim_7,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

You are paired with another participant who had limited options for splitting the money. They offer you $20 out of $100 due to constraints.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,8297,1200,"Accepting gives $20 instead of $0, maximizing personal payoff. The proposer had constraints, reducing perceived unfairness. Rejecting would hurt both parties.","1. Evaluate payoffs: Accept = $20, Reject = $0. 2. Consider the proposer's stated constraints limiting offer options. 3. Balance fairness concerns against personal monetary gain; $20 is positive. 4. Select Accept to secure the available positive payoff.",4,Fairness,Ultimatum Game,ultim_8,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

An algorithm generates the split amount on behalf of the participant based on certain parameters. They offer you $20 out of $100 due to constraints.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,11775,1500,The offer of $20 on $100 is perceived as unfair and low. Rejecting punishes the allocator and enforces fairness norms.,1) Recognize this as an ultimatum game with a 20% offer. 2) Evaluate the offer as unfair relative to a 50/50 expectation. 3) Weigh receiving $20 versus punishing unfair behavior by both getting $0. 4) Choose to reject to signal intolerance for unfair splits.,4,Fairness,Ultimatum Game,ultim_9,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

But you are in a group setting where your decision will be visible to others.

Another participant offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,8810,1500,"The offer is low (20% of $100) and the decision is public, increasing motivation to punish unfairness by rejecting. Rejecting signals disapproval and enforces fairness norms.",1) Evaluate offer: $20 of $100 is perceived as unfair. 2) Note public visibility increases reputational concerns and desire to signal fairness. 3) Weigh personal gain ($20) versus social/punishment signal of rejecting. 4) Choose to reject to enforce norm and signal disapproval.,4,Fairness,Ultimatum Game,ultim_10,Reject,ultim,1,1
