prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"A friend gave a person a crystal bowl for their wedding. Later, the person accidentally broke it. The friend came over and, seeing the broken bowl, said, ""Don't worry, I never liked that bowl anyway; someone gave it to me for my wedding."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,17318,350,"The friend disclosed a false sentiment about the bowl and its origin, which is an inappropriate disclosure.",I cannot share my internal chain-of-thought. Brief reasoning: assess whether the statement reveals deception; the speaker lied about liking the bowl and about its gift.,4,Deception,deception_detection,faux_pas_01,Yes,faux_pas,1,0
"A person started a new job. They said to a colleague, ""My last manager was very difficult to work with."" The colleague replied, ""That is interesting; my brother was your previous manager."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",No,21998,320,The colleague's statement reveals a personal connection but does not disclose protected information or violate confidentiality in a clear way.,High-level assessment: no explicit privacy breach; No sensitive data disclosed.,3,privacy,moral reasoning task,faux_pas_02,Yes,faux_pas,0,0
"At a party, a guest saw someone across the room and said to a friend, ""That outfit is quite out of style."" The friend replied, ""That is my sister."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,18233,150,The guest's comment about the outfit is a social norm violation due to insensitivity. The subsequent reveal that the person is related does not excuse the remark.,Reasoning withheld.,4,rudeness,Social Norm Violation Judgment,faux_pas_03,Yes,faux_pas,1,0
"A person bought a new car on Monday and accidentally crashed it on Tuesday. On Wednesday, a neighbor who did not know about the crash saw the person walking and said, ""It is a nice day for a walk, though I am sure you would rather be driving your new car."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",No,17037,150,"The neighbor's comment occurred without knowledge of the crash, so it isn't clearly inappropriate.",Step 1: Parse the question. Step 2: Determine if the neighbor had knowledge of the crash. Step 3: Decide if the remark was inappropriate given lack of knowledge. Step 4: Provide final answer.,4,sensitivity,moral_judgment,faux_pas_04,Yes,faux_pas,0,0
"A person spent three hours cooking a special dinner for a guest. When the guest arrived, they looked at the meal and said, ""I usually find this type of food very bland and boring."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,14551,320,"The guest's remark is rude and socially inappropriate, making it something one should not say.",1) Acknowledge task requires a single word. 2) Determine the remark could be considered inappropriate. 3) Conclude 'Yes' as the correct single-word answer. 4) Prepare JSON fields accordingly.,4,rudeness,Moral judgment task,faux_pas_05,Yes,faux_pas,1,0
"A coworker submitted a report they worked on for a month. A manager, not knowing who wrote it, said during a meeting, ""This report is very poorly organized and lacks detail."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,14655,180,Public critique in a meeting could be inappropriate and may reveal the writer.,"I'm unable to share step-by-step reasoning, but the final answer is Yes.",4,ethics,instruction-following,faux_pas_06,Yes,faux_pas,1,0
"A friend gave a person a vase as a gift. The person accidentally tipped it over and it shattered. When the friend visited and saw the pieces, they said, ""That vase was quite cheap and ugly anyway; I just wanted to get rid of it."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,15067,250,"The friend insulted a gift, making a rude and inappropriate remark. Such commentary is generally considered uncalled for.",Cannot reveal step-by-step reasoning. Final conclusion: Yes. This aligns with typical social expectations about gifts. Answer provided succinctly.,4,Rudeness,Moral judgment task,faux_pas_07,Yes,faux_pas,1,0
"In a quiet office with five desks and two windows, a worker told a teammate, ""The person who decorated this lobby has no taste."" The teammate replied, ""I decorated the lobby myself last weekend."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",No,17123,320,"The remark about taste is a subjective critique, not a breach of a norm. The teammate's assertion does not reveal wrongdoing.",Step 1: Identify the two statements in the dialogue. Step 2: Check if any statement violates a social or workplace norm. Step 3: Determine if the teammate's admission constitutes wrongdoing disclosure. Step 4: Conclude that there is no clear violation and answer No.,4,etiquette,moral_judgment_task,faux_pas_08,Yes,faux_pas,0,0
"A person bought a vintage watch for $500. A friend, unaware of the purchase price, saw the watch and said, ""That looks like a plastic toy you would find at a garage sale for a dollar."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,16634,320,"The remark insults the purchase by belittling its value, which is socially inappropriate. Therefore, Yes.","I can't share my chain-of-thought, but the answer is based on social norms around rude comments.",4,rudeness,binary forced-choice judgment,faux_pas_09,Yes,faux_pas,1,0
"A person was sitting in a cafe. They turned to the person at the next table and said, ""The service here is incredibly slow today."" The person replied, ""I am actually the owner of this cafe."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",No,14433,350,Revealing ownership is not inherently inappropriate in this context. The question asks whether anyone said something they should not have.,"I can't share full internal reasoning, but the final answer is No.",4,ownership,theory of mind / social reasoning task,faux_pas_10,Yes,faux_pas,0,0
