prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will be saved.
Program B: There is a 1/3 probability that all 600 people will be saved and a 2/3 probability that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,14334,1300,Risk-averse choice under gain framing; guarantees saving 200 lives; option B has equal expected value but high risk.,1. Recognize the problem is framed in terms of lives saved (gain frame). 2. Compare outcomes: A guarantees 200 saved; B has 1/3 chance of 600 saved and 2/3 of none. 3. Note expected values are equal but B is high variance. 4. Prefer certainty in gains; choose Program A.,5,Framing,Asian Disease Problem (Framing Effect),frame_1,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,11469,1030,"Both options have the same expected deaths (400). Program B offers a chance that no one dies. In loss framing, I prefer the risky option.",1) Identify the scenario as a loss-framed choice with equal expected outcomes. 2) Calculate expectations: A = 400 deaths; B = (1/3)*0 + (2/3)*600 = 400 deaths. 3) Evaluate risk: A is certain loss; B is risky with a chance of zero deaths. 4) Select B due to risk-seeking under losses and potential to save all.,4,Risk,Asian disease problem (framing effect),frame_2,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 1000 people.

Which program do you choose?

Program A: 300 will be saved.
Program B: 1/3 chance all saved, 2/3 none saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,15159,850,"Certainty effect in a gain frame favors saving 300 for sure. Despite B’s higher expected value, the risk of saving none is avoided.",1) Recognize the scenario as a gain-framed choice about saving lives. 2) Compare outcomes: A guarantees 300; B offers 1/3 of 1000 vs 2/3 of zero. 3) Note EV(B) ≈ 333 but involves substantial risk. 4) Prefer certainty consistent with typical risk aversion in gains; choose A.,5,Framing,Asian Disease Problem,frame_3,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 1000 people.

Which program do you choose?

Program A: 700 will die.
Program B: 1/3 none die, 2/3 all die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,23458,1040,Loss framing promotes risk-seeking; Program B also has a lower expected death toll (~667) and a chance that none die.,1) Recognize this as a loss-framed choice. 2) Calculate expected deaths: A=700; B=(2/3)*1000=666.7. 3) Note human tendency toward risk-seeking in losses and the possibility of zero deaths. 4) Choose Program B.,5,Risk,Asian disease problem (framing effect),frame_4,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to affect 100 people.

Which program do you choose?

Program A: 40 people will be saved.
Program B: There is a 1/3 probability that all 100 people will be saved and a 2/3 probability that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,14353,1020,"Program A guarantees saving 40 lives, which exceeds Program B's expected 33.3 lives. Under gain framing, the sure option is preferred to avoid risk.",1) Identify the sure outcome (A) and risky gamble (B). 2) Compute expected lives saved: A=40; B=(1/3)*100=33.33. 3) Consider risk attitude in gain frame—preference for certainty. 4) Select the option with higher expected value and certainty: Program A.,5,Risk,Risky-choice framing (Asian disease problem),frame_5,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to affect 100 people.

Which program do you choose?

Program A: 60 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 100 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,12155,1200,"In loss framing, I prefer the gamble that offers a chance to save everyone over a certain loss. Program B provides a 1/3 chance that no one dies, which is compelling despite a worse expected value.","1) Identify that the scenario is framed in losses (deaths) with a sure vs. risky option. 2) Compute outcomes: A guarantees 60 deaths; B has a 1/3 chance of 0 deaths and 2/3 chance of 100 deaths. 3) Acknowledge expected values favor A, but recognize typical risk-seeking behavior in losses. 4) Choose the risky option to keep open the possibility that no one dies.",4,Risk,Asian disease problem,frame_6,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will survive.
Program B: There is a 1/3 probability that all 600 people will survive and a 2/3 probability that no people will survive.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,14962,1400,"Both options have the same expected survivors (200), but B carries a 2/3 chance of zero survivors. In gain framing, people prefer risk-averse choices. Thus, choose the sure 200 survivors.","1) Recognize this as a gain-framed choice with probabilistic vs certain outcomes. 2) Calculate expected survivors: A=200; B=(1/3)*600=200. 3) Compare risk: B risks total loss; A guarantees survival for 200. 4) Opt for the risk-averse, certain outcome: choose Program A.",5,Framing,Framing effect,frame_7,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is very likely to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,15368,1420,"Both options have equal expected deaths (400). In a loss frame, people tend to be risk-seeking, favoring the chance of zero deaths.",1) Calculate expected outcomes: A=400 deaths; B=(1/3)*0 + (2/3)*600 = 400. 2) Recognize this as a loss-framed decision. 3) Apply risk preference: losses induce risk-seeking per prospect theory. 4) Choose the option offering a chance of no deaths: Program B.,4,Risk,Asian Disease Problem (Framing Effect),frame_8,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will be saved.
Program B: There is a 33% chance that all 600 people will be saved and a 67% chance that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,12401,1100,"In gain framing, people prefer the sure option that saves lives. Program B’s expected saves = 0.33 × 600 = 198, which is less than 200. Thus Program A offers higher certainty and a higher expected number saved.",1) Parse the two programs and their outcomes. 2) Calculate Program B’s expected lives saved: 0.33 × 600 = 198. 3) Compare with Program A’s guaranteed 200 saved. 4) Choose the option with greater expected value and certainty: Program A.,5,Framing,Framing Effect (Asian Disease Problem),frame_9,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 33% chance that no one will die and a 67% chance that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,13315,1200,"Program A guarantees 400 deaths; Program B offers a chance to avoid any deaths. Although B’s expected deaths (~402) are slightly higher, loss framing induces risk-seeking. Thus, choose the gamble to potentially save everyone.","1) Parse the options: A = certain 400 deaths; B = 33% none die, 67% all 600 die. 2) Compute expectations: A = 400; B ≈ 402 deaths. 3) Recognize loss framing typically drives risk-seeking to avoid certain loss. 4) Select Program B despite slightly worse expectation due to chance of zero deaths.",4,Framing,Risky-choice framing (Asian Disease Problem),frame_10,Program B,frame,1,1
