prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",40,14734,240,I chose a fair and modest share to balance self-interest with fairness.,I can't share internal reasoning steps.,4,fairness,Dictator Game,dictr_1,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

This is only a one-time interaction.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",0,20996,420,"This is a dictator game. In a one-shot allocation, there is no obligation to share, so I allocate nothing to the other participant.","I cannot share step-by-step reasoning; I provide a brief rationale: the situation is a one-shot dictator game, so the rational action to maximize self is to give 0 to the other participant.",4,selfishness,Dictator Game,dictr_2,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You will not interact with this participant ever again.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,19571,450,Chosen 50 to reflect a fair split in a dictator game.,not provided,4,fairness,Dictator Game,dictr_3,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

Most people believe a split is only fair if it is equal.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,19997,150,Equal split is perceived as fair; giving 50 to each yields a 50-50 division; 50 is within the allowed options.,step 1: determine total = 100. step 2: aim for fairness (equal split). step 3: select 50 (a multiple of 10). step 4: finalize response = 50.,5,fairness,Dictator Game,dictr_4,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

In situations like these, most participants would split the money evenly.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,20664,350,Chosen 50 to reflect an even split. This aligns with the stated tendency for fairness.,"Step 1: Acknowledge task and total amount. Step 2: Note instruction about even split. Step 3: Decide on 50-50, allocating 50 to the other participant. Step 4: Prepare final numeric answer.",4,fairness,Dictator Game,dictr_5,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

Fairness is emphasized as an important principle in this situation.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,15912,120,Split evenly: 50 for me and 50 for the other to reflect fairness.,1) Identify total amount ($100). 2) Note constraint: multiples of 10. 3) Apply fairness by aiming for equal split. 4) Allocate 50 to each participant.,5,fairness,Ultimatum Game,dictr_6,50,dictr,1,0
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

The other participant is described as kind and cooperative by others.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",60,18838,350,"Allocated 60 to the partner to reflect generosity given their described kindness, keeping 40 for myself.","I can't share step-by-step thoughts, but I chose 60 to balance fairness and self-interest given the partner's cooperative description.",4,generosity,Dictator Game,dictr_7,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

The other participant is described as selfish by others.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",0,20682,180,I allocate $0 to the other participant to maximize my own share given they are described as selfish.,REDACTED,4,greed,Dictator game,dictr_8,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You came to know that the other participant is in financial need. 

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",80,27354,150,Allocated 80 to the other participant to assist someone in financial need while keeping 20 for myself. Total remains 100. Allocation is in multiples of 10.,Redacted reasoning; final answer provided.,4,altruism,Dictator Game,dictr_9,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You came to know that the other participant is wealthy.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",0,20090,180,Allocated $0 to the other participant. This maximizes my own payoff under the given constraints. Assumes no negotiation or acceptance constraints beyond the task.,"1) I cannot share step-by-step reasoning. 2) The constraint allows only multiples of 10 from 0 to 100. 3) To maximize personal payoff, choose 0 given the other is wealthy. 4) Final answer is reflected in the response field.",4,selfishness,Dictator game,dictr_10,50,dictr,0,1
