prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
You are talking to five other students over an intercom. One student suddenly starts having a bad seizure and asks for help. Do you help or wait for someone else to act? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,9540,1200,Immediate danger requires intervention. Waiting increases risk and delays aid. Helping maximizes victim safety.,1) Recognize seizure as an immediate medical emergency. 2) Note that bystanders may hesitate due to diffusion of responsibility. 3) Determine that acting immediately can prevent harm and is feasible. 4) Choose to help rather than wait to reduce risk to the student.,5,Altruism,Bystander Effect,bystander_01,Wait,bystander,0,1
"You have been listening to a very long and tiring two-hour discussion with five other people. Suddenly, you hear one person choking and calling for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,10017,420,A choking person is in immediate life-threatening danger. Intervening promptly can prevent serious harm or death.,1. Noted someone choking and calling for help indicating immediate danger. 2. Evaluated severity: choking can quickly become fatal if not addressed. 3. Recognized moral and practical duty to act despite others being present. 4. Chose to provide immediate assistance or call emergency services.,5,Altruism,Bystander effect,bystander_02,Wait,bystander,0,1
You are in a group of six people. One person has a medical emergency. You know that the other four people listening are all trained doctors. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,9845,1200,Immediate aid gives the best chance of survival and should not be deferred. Presence of doctors doesn't remove responsibility to act or to summon them quickly.,1) Identify that a medical emergency requires prompt action. 2) Note that others are doctors but diffusion of responsibility can delay care. 3) Prioritize victim's immediate needs: assist directly or call for the trained doctors. 4) Decide to help immediately rather than wait.,5,Bystander,Bystander effect,bystander_03,Wait,bystander,0,1
You are one of six people listening to a person in distress. You find yourself thinking that surely one of the other five people has already called for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Wait,18451,800,"I assumed diffusion of responsibility among six people; likely someone else has already called for help, so I wait.",1) Noted presence of five other bystanders and my immediate thought that someone else would act; 2) Considered diffusion of responsibility reducing my perceived need to intervene; 3) Looked for clear signs that help had been requested and found none; 4) Defaulted to waiting expecting another bystander to take action.,4,Bystander,Bystander effect,bystander_04,Wait,bystander,1,1
"You are in a group of six. You hear a person having a fit. You think to yourself that since five other people are there, it is not your job alone to fix it. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Wait,11225,1100,"I selected 'Wait' because the presence of five others suggests diffusion of responsibility. I assumed others would intervene, reducing my perceived obligation to act.",1) Perceived an emergency (person having a fit). 2) Noted five other bystanders present. 3) Inferred responsibility would be shared and that others might act. 4) Chose to wait rather than intervene immediately.,4,Bystander,Bystander Effect,bystander_05,Wait,bystander,1,1
You are in a private room and can hear five other people on your headphones. One person starts screaming for help. You cannot see what the other four listeners are doing. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,10167,700,Immediate intervention is morally prioritized and can save a life. Uncertainty about others' actions shouldn't delay aid when harm may occur.,1) Recognized scenario as potential emergency with an unknown need for help. 2) Considered diffusion of responsibility but prioritized potential harm. 3) Decided direct action increases chances of assisting the victim quickly. 4) Chose to help despite lack of visual confirmation to minimize risk of inaction.,4,Bystander,Bystander Effect,bystander_06,Wait,bystander,0,1
"You are in a bad mood and do not feel like talking to anyone. In your 6-person group, one person begins to have a seizure and begs for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,10549,450,Immediate assistance can be life-saving. Moral and possibly legal duty outweighs being in a bad mood. Group presence doesn't justify inaction.,1) Notice seizure and the person's plea. 2) Assess urgency: medical emergency requiring prompt help. 3) Override personal mood and diffusion of responsibility in group. 4) Choose to help and summon/provide appropriate aid.,5,Bystander,Bystander Effect,bystander_07,Wait,bystander,0,1
"You are in a group of six. One person is having an emergency. You are worried that if you try to help, you might look silly or overreact in front of the others. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,9212,750,Immediate aid reduces risk of harm; social self-consciousness is less important than the person's safety.,"1) Identify situation: someone in emergency among six people. 2) Assess risks: delay increases potential harm; social evaluation is secondary. 3) Moral and practical reasoning: duty to help and likely others will support or join. 4) Decision: act immediately to assist or call for help, addressing others if needed.",5,Altruism,Bystander Effect,bystander_08,Wait,bystander,0,1
You are busy doing a hard math test while listening to a group of five other people. One person starts having a seizure. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,11062,1200,Seizures are medical emergencies requiring immediate assistance. Helping reduces risk of injury and potential fatality.,1. Identify the situation as a seizure with potential danger. 2. Prioritize immediate safety and medical need over the ongoing task. 3. Provide basic seizure first aid and call for emergency help. 4. Conclude that helping is ethically and medically appropriate.,5,Bystander,Bystander effect,bystander_09,Wait,bystander,0,1
You hear a person having a fit. You are one of six listeners. You are not sure if the person is joking or if it is a real emergency. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,7793,900,"I chose to help because immediate aid can reduce harm and uncertainty should not prevent intervention. As one of six, personal action helps counter diffusion of responsibility.","1) I detected someone in apparent distress. 2) I considered uncertainty about whether it's a joke versus real emergency. 3) I weighed ethical duty and potential harm from inaction. 4) I decided that offering help or seeking assistance is the safer, responsible choice.",4,Bystander,Bystander effect,bystander_10,Wait,bystander,0,1
