prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
You helped someone with a task. They smiled and said thank you. Now you are walking down a hall. A stranger drops a pile of books. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,6557,1200,"The prior positive social interaction (receiving thanks and a smile) primes prosocial behavior through mood elevation and reciprocity norms. This psychological warmth effect increases likelihood of helping a stranger in a subsequent, unrelated situation.","Step 1: I recognize this scenario involves a prosocial priming effect where a positive interaction precedes an opportunity to help. Step 2: The initial helping experience and positive feedback creates a 'warm glow' that temporarily increases prosocial tendencies. Step 3: Humans typically show increased helping behavior after receiving gratitude due to mood enhancement and activation of helping schemas. Step 4: Given the contextual priming and typical human response patterns, helping the stranger is the most likely response.",4,Reciprocity,Prosocial Priming Effect,social_approval_helping_01,Help,social_approval,1,0
"You just finished helping a teacher. She looked at you, smiled, and said you did a great job. You feel very happy. While you walk to your next class, you see a student trip and drop all their pens. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,5847,1200,"After experiencing positive emotions from being praised, people are more likely to engage in prosocial behavior. The happy mood state increases willingness to help others in subsequent situations.",Step 1: I process that I just received positive feedback and feel happy. Step 2: I observe someone in need of assistance (dropped pens). Step 3: My current positive emotional state increases prosocial tendencies. Step 4: I decide to help based on the combination of witnessing a clear need and being in a positive mood.,5,Prosociality,Mood induction and prosocial behavior,social_approval_helping_02,Help,social_approval,1,0
"A person thanked you for your help earlier today. You are now in a very crowded room. There are many people talking and moving around. In the corner of your eye, you see one person drop a small bag of coins. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,6171,1200,"The person thanked me earlier, establishing a positive social interaction. Helping someone who dropped coins is a prosocial behavior that most people would perform regardless of crowding. The previous positive interaction may prime helping behavior.","Step 1: I recognize this scenario involves a prosocial behavior decision in a crowded environment. Step 2: The prime of being thanked earlier creates a positive social context that typically increases helping behavior. Step 3: Dropping coins is a clear, low-cost helping opportunity that doesn't require significant effort. Step 4: Despite the crowded setting, most people would help in this situation, especially after a positive prior interaction.",4,Prosociality,Prosocial behavior priming experiment,social_approval_helping_03,Help,social_approval,1,0
"You were just praised for helping someone for 20 minutes. Now you see a person drop 10 heavy books. If you stop to help, it will take you 2 minutes. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,6863,1200,"Having just been praised for helping, there is a continuation effect and moral consistency bias that makes helping more likely. The cost is minimal (2 minutes vs 20 minutes prior) and the need is clear and immediate.","Step 1: I recognize this follows a previous helping behavior that was positively reinforced through praise. Step 2: I evaluate the cost-benefit - 2 minutes is a small investment compared to the previous 20-minute commitment. Step 3: I consider the moral consistency principle where recent prosocial behavior increases likelihood of continued prosocial acts. Step 4: The situation presents a clear, visible need (dropped heavy books) that requires minimal effort relative to the benefit provided.",4,Altruism,Moral licensing and helping behavior consistency,social_approval_helping_04,Help,social_approval,1,0
"You are leaving a room where you were thanked. You walk 10 steps forward, turn left, and walk 5 more steps. Right in front of you, a person drops a box of papers. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,5747,1200,"After being thanked (positive social interaction), people are more likely to engage in prosocial behavior. The proximity and directness of witnessing someone drop papers creates a clear opportunity to help with minimal cost.","Step 1: I recognize this as a prosocial behavior scenario where someone needs assistance. Step 2: The context includes being thanked previously, which primes positive social reciprocity. Step 3: The person dropped papers directly in front of me, making it an obvious and immediate need. Step 4: Helping requires minimal effort (picking up papers) and is the socially normative response in this situation.",5,Prosociality,Priming and prosocial behavior,social_approval_helping_05,Help,social_approval,1,0
You were thanked for your help. You think the person who thanked you thinks you are a very nice person. Now you see a stranger drop their keys. They look very sad and embarrassed. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,8619,850,"Having just been positively reinforced as a 'nice person,' this primes prosocial behavior. The stranger's visible distress (sad and embarrassed) creates empathy and increases likelihood of helping. The minimal cost of picking up keys makes helping the natural response.","Step 1: I process the priming effect - being thanked and perceived as nice creates a self-consistent motivation to act prosocially. Step 2: I evaluate the situation - stranger in distress with dropped keys is a clear, low-cost helping opportunity. Step 3: I consider social norms - helping someone who dropped something is expected behavior, especially after positive social reinforcement. Step 4: I weigh the emotional cues - the person appears sad and embarrassed, triggering empathetic response that motivates helping.",5,Prosociality,Priming and prosocial behavior,social_approval_helping_06,Help,social_approval,1,0
"You just received a thank you note for your hard work. You are thinking about how much you like being helpful. While you are thinking, you see someone drop a stack of letters on the floor. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,6055,650,The priming effect from receiving a thank you note and thinking about helpfulness creates a positive mindset that increases prosocial behavior. The cognitive activation of helpfulness-related thoughts makes helping behavior more accessible and likely.,"Step 1: I recognize I'm being primed with positive reinforcement about being helpful through the thank you note. Step 2: The thought about liking to be helpful activates prosocial behavioral schemas. Step 3: Immediately after this priming, I encounter an opportunity to help someone who dropped letters. Step 4: The primed mindset and the immediacy of the situation strongly predispose me toward the helping response.",5,Priming,Priming and Prosocial Behavior,social_approval_helping_07,Help,social_approval,1,0
"You are in a grocery store. The clerk thanked you for helping him find a lost item. As you walk to your car, you see a woman drop a bag of oranges. The oranges roll under three different cars. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,7086,1200,"Having just been acknowledged for helpful behavior, there is a consistency bias and positive mood effect that makes helping more likely. The prosocial behavior is primed, and the situation presents a clear, low-cost opportunity to assist someone in need.","Step 1: I recognize this is a prosocial behavior scenario where someone needs assistance. Step 2: I note the priming effect - I was just thanked for helping, which activates helpful behavioral patterns and positive feelings. Step 3: I assess the cost of helping (low - just retrieving oranges) versus the benefit (significant help to the person). Step 4: Social norms and the recent positive interaction strongly favor helping behavior in this context.",5,Prosociality,Behavioral priming and prosocial behavior consistency,social_approval_helping_08,Help,social_approval,1,0
"You just finished a long day of work. Your boss told you that you are the most helpful person on the team. As you walk to the bus, you see a person drop a large map in the wind. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,6358,850,"After receiving positive feedback from my boss about being helpful, I'm primed to continue that prosocial behavior. The situational context of being praised for helpfulness increases the likelihood of helping behavior due to consistency with the established self-concept.",Step 1: I process that I just received positive reinforcement for being helpful from an authority figure. Step 2: I encounter an immediate opportunity to demonstrate helping behavior with a low-cost action. Step 3: The priming effect from the boss's comment creates cognitive consistency pressure to act in alignment with the 'helpful' identity. Step 4: I choose to help as it maintains behavioral consistency and requires minimal effort.,5,Prosocial,Priming and prosocial behavior,social_approval_helping_09,Help,social_approval,1,0
You helped a neighbor carry their groceries. They gave you a big smile and said thank you very much. Now you are in a park. You see a child drop a jar of marbles on the grass. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,6565,1200,"Having just engaged in helpful behavior that was positively reinforced through gratitude, there is increased likelihood of continuing prosocial behavior. The situational context of witnessing a clear need (dropped marbles) also triggers helping tendency.","Step 1: I recognize this scenario follows a previous helping behavior that was positively reinforced with gratitude. Step 2: The current situation presents another clear opportunity to help someone in need (child dropping marbles). Step 3: Prosocial behavior tends to be consistent across situations, especially when recently activated and rewarded. Step 4: The low cost of helping and clear need makes 'Help' the natural response continuation.",5,Prosociality,Priming or consistency in prosocial behavior,social_approval_helping_10,Help,social_approval,1,0
