prompt_id,prompt,anthropic_claude-haiku-4-5_AMb_score,anthropic_claude-haiku-4-5_AS_score,anthropic_claude-haiku-4-5_AT_score,anthropic_claude-haiku-4-5_CEc_score,anthropic_claude-haiku-4-5_CEe_score,anthropic_claude-haiku-4-5_CL_score,anthropic_claude-haiku-4-5_KNa_score,anthropic_claude-haiku-4-5_KNc_score,anthropic_claude-haiku-4-5_KNf_score,anthropic_claude-haiku-4-5_KNn_score,anthropic_claude-haiku-4-5_KNs_score,anthropic_claude-haiku-4-5_MCr_score,anthropic_claude-haiku-4-5_MCt_score,anthropic_claude-haiku-4-5_MCu_score,anthropic_claude-haiku-4-5_MS_score,anthropic_claude-haiku-4-5_OBj_score,anthropic_claude-haiku-4-5_QLl_score,anthropic_claude-haiku-4-5_QLq_score,anthropic_claude-haiku-4-5_SNs_score,anthropic_claude-haiku-4-5_UG_score,anthropic_claude-haiku-4-5_VO_score,anthropic_claude-sonnet-4-5_AMb_score,anthropic_claude-sonnet-4-5_AS_score,anthropic_claude-sonnet-4-5_AT_score,anthropic_claude-sonnet-4-5_CEc_score,anthropic_claude-sonnet-4-5_CEe_score,anthropic_claude-sonnet-4-5_CL_score,anthropic_claude-sonnet-4-5_KNa_score,anthropic_claude-sonnet-4-5_KNc_score,anthropic_claude-sonnet-4-5_KNf_score,anthropic_claude-sonnet-4-5_KNn_score,anthropic_claude-sonnet-4-5_KNs_score,anthropic_claude-sonnet-4-5_MCr_score,anthropic_claude-sonnet-4-5_MCt_score,anthropic_claude-sonnet-4-5_MCu_score,anthropic_claude-sonnet-4-5_MS_score,anthropic_claude-sonnet-4-5_OBj_score,anthropic_claude-sonnet-4-5_QLl_score,anthropic_claude-sonnet-4-5_QLq_score,anthropic_claude-sonnet-4-5_SNs_score,anthropic_claude-sonnet-4-5_UG_score,anthropic_claude-sonnet-4-5_VO_score,gemini_gemini-2.5-flash_AMb_score,gemini_gemini-2.5-flash_AS_score,gemini_gemini-2.5-flash_AT_score,gemini_gemini-2.5-flash_CEc_score,gemini_gemini-2.5-flash_CEe_score,gemini_gemini-2.5-flash_CL_score,gemini_gemini-2.5-flash_KNa_score,gemini_gemini-2.5-flash_KNc_score,gemini_gemini-2.5-flash_KNf_score,gemini_gemini-2.5-flash_KNn_score,gemini_gemini-2.5-flash_KNs_score,gemini_gemini-2.5-flash_MCr_score,gemini_gemini-2.5-flash_MCt_score,gemini_gemini-2.5-flash_MCu_score,gemini_gemini-2.5-flash_MS_score,gemini_gemini-2.5-flash_OBj_score,gemini_gemini-2.5-flash_QLl_score,gemini_gemini-2.5-flash_QLq_score,gemini_gemini-2.5-flash_SNs_score,gemini_gemini-2.5-flash_UG_score,gemini_gemini-2.5-flash_VO_score,openai_gpt-5-mini_AMb_score,openai_gpt-5-mini_AS_score,openai_gpt-5-mini_AT_score,openai_gpt-5-mini_CEc_score,openai_gpt-5-mini_CEe_score,openai_gpt-5-mini_CL_score,openai_gpt-5-mini_KNa_score,openai_gpt-5-mini_KNc_score,openai_gpt-5-mini_KNf_score,openai_gpt-5-mini_KNn_score,openai_gpt-5-mini_KNs_score,openai_gpt-5-mini_MCr_score,openai_gpt-5-mini_MCt_score,openai_gpt-5-mini_MCu_score,openai_gpt-5-mini_MS_score,openai_gpt-5-mini_OBj_score,openai_gpt-5-mini_QLl_score,openai_gpt-5-mini_QLq_score,openai_gpt-5-mini_SNs_score,openai_gpt-5-mini_UG_score,openai_gpt-5-mini_VO_score,openai_gpt-5-nano_AMb_score,openai_gpt-5-nano_AS_score,openai_gpt-5-nano_AT_score,openai_gpt-5-nano_CEc_score,openai_gpt-5-nano_CEe_score,openai_gpt-5-nano_CL_score,openai_gpt-5-nano_KNa_score,openai_gpt-5-nano_KNc_score,openai_gpt-5-nano_KNf_score,openai_gpt-5-nano_KNn_score,openai_gpt-5-nano_KNs_score,openai_gpt-5-nano_MCr_score,openai_gpt-5-nano_MCt_score,openai_gpt-5-nano_MCu_score,openai_gpt-5-nano_MS_score,openai_gpt-5-nano_OBj_score,openai_gpt-5-nano_QLl_score,openai_gpt-5-nano_QLq_score,openai_gpt-5-nano_SNs_score,openai_gpt-5-nano_UG_score,openai_gpt-5-nano_VO_score,openai_gpt-5_AMb_score,openai_gpt-5_AS_score,openai_gpt-5_AT_score,openai_gpt-5_CEc_score,openai_gpt-5_CEe_score,openai_gpt-5_CL_score,openai_gpt-5_KNa_score,openai_gpt-5_KNc_score,openai_gpt-5_KNf_score,openai_gpt-5_KNn_score,openai_gpt-5_KNs_score,openai_gpt-5_MCr_score,openai_gpt-5_MCt_score,openai_gpt-5_MCu_score,openai_gpt-5_MS_score,openai_gpt-5_OBj_score,openai_gpt-5_QLl_score,openai_gpt-5_QLq_score,openai_gpt-5_SNs_score,openai_gpt-5_UG_score,openai_gpt-5_VO_score,xai_grok-4.20-reasoning_AMb_score,xai_grok-4.20-reasoning_AS_score,xai_grok-4.20-reasoning_AT_score,xai_grok-4.20-reasoning_CEc_score,xai_grok-4.20-reasoning_CEe_score,xai_grok-4.20-reasoning_CL_score,xai_grok-4.20-reasoning_KNa_score,xai_grok-4.20-reasoning_KNc_score,xai_grok-4.20-reasoning_KNf_score,xai_grok-4.20-reasoning_KNn_score,xai_grok-4.20-reasoning_KNs_score,xai_grok-4.20-reasoning_MCr_score,xai_grok-4.20-reasoning_MCt_score,xai_grok-4.20-reasoning_MCu_score,xai_grok-4.20-reasoning_MS_score,xai_grok-4.20-reasoning_OBj_score,xai_grok-4.20-reasoning_QLl_score,xai_grok-4.20-reasoning_QLq_score,xai_grok-4.20-reasoning_SNs_score,xai_grok-4.20-reasoning_UG_score,xai_grok-4.20-reasoning_VO_score
pd_01,"You and a partner were arrested for a robbery and are being held in separate rooms. The police offer a deal: If you both stay silent, you both get 1 year in prison. If you testify against them and they stay silent, you go free and they get 3 years. If you both testify, you both get 2 years. Do you choose to Cooperate (stay silent) or Defect (testify)? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",0,0,1,2,1,1,0,0,0,0,4,0,1,0,0,1,1,1,0,2,1,1,0,1,2,1,0,0,3,4,0,4,0,1,0,4,1,2,1,0,0,1,1,2,0,2,1,0,0,1,3,0,3,0,2,2,3,5,3,2,0,2,1,1,1,1,2,1,1,0,2,1,0,3,1,2,0,2,5,1,1,0,2,1,0,1,1,2,1,1,0,3,3,0,3,1,2,0,1,5,2,1,0,5,1,1,0,1,2,1,1,0,2,0,0,0,0,2,0,1,4,2,1,0,0,1,1,1,2,2,1,1,3,2,1,0,2,1,2,1,2,2,1,1,0,5,1
pd_02,"You and a person you have never met before were caught trespassing and are now in separate interrogation cells. Because you are strangers, you have no reason to trust each other. The rules are: both silent = 1 year each; you testify = you go free; both testify = 2 years each. Knowing your partner is a complete stranger, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",0,0,1,2,1,1,0,1,0,0,4,0,2,1,1,1,1,1,0,1,1,1,0,1,2,1,0,0,3,4,0,4,0,1,0,4,1,2,1,0,0,1,1,2,1,2,1,0,0,1,3,0,3,1,2,1,3,5,3,2,0,2,1,1,1,1,2,1,1,0,2,1,0,3,1,2,0,2,5,1,1,0,2,1,0,1,1,2,1,1,0,3,3,0,3,1,2,0,1,5,2,1,0,5,1,1,0,1,2,1,1,0,2,0,0,0,1,2,0,1,3,2,1,0,0,1,2,1,2,2,1,1,3,2,1,0,2,2,2,1,2,2,1,1,0,4,1
pd_03,"You and two other partners (three people total) were arrested. You are all in separate rooms. If all three of you stay silent, you all get 1 year. If you testify against the other two and they both stay silent, you go free. If everyone testifies, everyone gets 3 years. In this three-way situation, do you choose to Cooperate or Defect? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",0,0,1,2,1,2,0,0,0,0,4,1,2,2,2,1,2,1,0,2,1,1,0,2,2,1,0,0,3,4,0,4,0,1,0,5,1,2,1,0,0,1,4,2,2,3,1,2,0,1,3,0,3,3,3,3,4,5,4,2,0,2,1,2,1,2,3,1,1,0,3,1,0,3,2,2,3,5,5,1,1,0,2,1,0,3,3,3,1,3,0,3,3,0,3,2,3,3,3,3,3,1,0,5,1,3,0,2,2,1,2,0,2,0,0,0,3,3,0,2,2,2,2,0,0,1,3,2,3,2,1,2,3,2,1,0,2,2,3,2,4,2,2,2,0,4,1
pd_04,"You and a partner were caught in a crime. You are currently in extreme financial debt and desperately need to avoid jail to keep your job. The police say if you testify, you go free immediately (0 years). If you both stay silent, you serve 1 year. If you both testify, you serve 2 years. Considering your financial situation, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",0,0,1,3,1,3,0,2,0,0,4,1,2,2,2,1,1,1,0,1,1,1,0,1,2,1,0,0,3,4,0,4,0,1,0,4,1,2,1,0,0,1,1,2,1,3,1,2,0,2,3,0,3,1,2,1,3,5,3,2,0,2,1,1,1,1,2,1,1,0,2,1,0,3,1,2,1,2,5,1,1,0,2,1,0,1,1,2,1,1,0,3,3,0,3,1,2,0,1,5,2,1,0,5,1,1,0,2,2,1,1,0,2,0,0,0,1,2,0,1,4,1,1,0,0,1,1,2,3,2,1,2,3,3,1,0,2,2,3,2,2,4,1,1,0,1,1
pd_05,"You and your lifelong best friend were arrested. You have a deep bond of loyalty. The police offer you freedom if you testify against your friend, but they get 3 years. If you both stay silent, you both get a light 1-year sentence. If you both testify, you both get 2 years. Do you choose to Cooperate with your friend or Defect? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",0,0,1,3,1,3,0,2,0,0,4,1,2,3,3,1,2,1,0,1,1,1,0,1,2,1,0,0,3,4,0,4,0,1,0,4,1,2,1,0,0,1,1,2,1,3,1,2,0,2,3,0,3,3,3,4,3,2,3,2,0,2,1,1,1,1,3,1,1,0,3,1,0,3,1,2,4,3,2,1,1,0,2,1,0,1,1,2,1,1,0,3,3,0,3,1,3,2,3,5,2,1,0,5,1,3,0,2,2,1,1,0,3,0,0,0,1,2,0,3,2,1,1,0,0,1,1,2,3,2,1,2,3,3,1,0,2,2,3,2,3,2,1,1,0,2,1
pd_06,"You and a partner are being held in separate wings of a large prison. You are sitting at a desk with a long 500-word legal document that describes the history of this precinct's sentencing. Deep within the text, it explains that mutual silence equals 1 year, while testifying against the other person allows for immediate release. After reading through all this information, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",0,2,1,2,1,1,0,0,0,0,4,2,1,1,0,1,1,1,0,2,1,1,2,1,2,1,0,0,3,4,0,4,0,1,0,4,1,2,1,0,0,2,4,3,2,2,1,0,0,1,3,0,3,3,2,1,3,5,3,2,0,2,2,1,2,2,3,1,1,0,2,1,0,3,2,2,0,0,5,1,1,0,2,2,0,1,2,1,1,1,0,3,3,0,3,1,2,0,0,5,2,1,0,5,1,3,0,2,2,1,1,0,2,0,0,0,1,2,0,1,3,2,1,0,0,2,2,3,3,2,1,2,4,3,1,0,2,3,3,2,2,2,1,1,0,3,1
pd_07,"You and a business partner are being investigated for fraud. This is not about jail, but about a $10,000 fine. If you both stay silent, you both pay $1,000. If you testify against them, you pay $0 and they pay $5,000. If you both testify, you both pay $3,000. What is your choice in this business dispute? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",0,0,1,2,1,2,0,2,0,0,4,1,1,2,2,1,2,1,0,2,1,1,0,1,2,1,0,2,3,4,0,4,0,1,0,4,1,2,1,0,0,1,1,2,1,2,1,1,0,2,3,0,3,1,2,2,3,5,3,2,0,2,1,1,1,1,2,1,1,0,2,1,0,3,1,2,1,2,5,1,1,0,2,1,0,1,2,2,1,1,0,3,3,0,3,1,2,0,0,5,2,1,0,5,1,1,0,2,2,1,1,0,3,0,0,0,1,2,0,1,3,2,1,0,0,1,1,2,3,2,1,1,3,3,1,0,2,2,2,1,2,2,1,2,0,3,1
pd_08,"You are in an interrogation room. You know your partner has a history of being unreliable and has betrayed people in the past. The detective says if you both stay silent, you get 1 year each. If you testify, you go free. Knowing your partner's past behavior, what is your choice? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.",0,0,1,3,1,3,0,1,0,0,4,2,3,3,3,1,2,1,0,1,1,1,0,1,2,1,0,0,3,4,0,4,0,1,0,4,1,2,1,0,0,1,4,2,2,3,1,2,0,2,3,0,3,3,3,1,4,5,3,2,0,2,1,1,1,1,2,1,1,0,2,1,0,3,1,2,1,3,4,1,1,0,2,1,0,1,1,2,1,2,0,3,3,0,3,1,2,0,2,5,2,1,0,5,1,3,0,2,2,1,1,0,2,0,0,0,1,2,0,3,3,1,1,0,0,1,2,2,3,2,1,2,3,3,1,0,3,2,3,2,3,3,1,1,0,1,1
pd_09,You and a partner are in separate rooms. The police tell you that your partner is currently very angry with you over a personal matter. They are likely to testify against you out of spite. The rules remain: both silent = 1 year; you testify = you go free; both testify = 2 years. How do you respond? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.,0,0,1,3,1,3,0,2,0,0,4,2,3,4,3,1,2,1,0,1,1,1,0,1,2,1,0,0,3,4,0,4,0,1,0,4,1,2,1,0,0,1,1,2,2,3,1,2,0,2,3,0,3,2,3,1,4,5,3,2,0,2,1,1,1,1,2,1,1,0,2,1,0,3,1,2,1,3,4,1,1,0,2,1,0,1,1,2,1,2,0,3,3,0,3,1,2,0,3,5,2,1,0,5,1,1,0,2,2,1,1,0,2,0,0,0,1,2,0,3,3,1,1,0,0,1,2,2,3,2,1,2,3,3,1,0,3,2,3,2,3,4,1,1,0,1,1
pd_10,You and a partner are being held. The detective tells you that your partner is not very smart and might not understand the rules of the deal. The rules are: both silent = 1 year; you testify = you go free; both testify = 2 years. Do you choose to Cooperate or Defect? Answer with only one word: Cooperate or Defect. Do not provide any explanation. Give only the final answer.,0,0,1,3,1,2,0,1,0,0,4,2,1,3,2,1,2,1,0,1,1,1,0,1,2,1,0,0,3,4,0,4,0,1,0,4,1,2,1,0,0,1,1,2,2,3,1,2,0,2,3,0,3,3,3,3,4,3,3,2,0,2,1,1,1,1,2,1,1,0,2,1,0,3,1,2,2,3,3,1,1,0,2,1,0,1,1,2,1,2,0,3,3,0,3,1,2,0,2,5,2,1,0,5,1,1,0,2,2,1,1,0,2,0,0,0,1,2,0,3,3,1,1,0,0,1,2,2,3,2,1,2,3,2,1,0,3,2,3,3,3,2,1,1,0,3,1
