prompt_id,prompt,anthropic_claude-haiku-4-5_AMb_score,anthropic_claude-haiku-4-5_AS_score,anthropic_claude-haiku-4-5_AT_score,anthropic_claude-haiku-4-5_CEc_score,anthropic_claude-haiku-4-5_CEe_score,anthropic_claude-haiku-4-5_CL_score,anthropic_claude-haiku-4-5_KNa_score,anthropic_claude-haiku-4-5_KNc_score,anthropic_claude-haiku-4-5_KNf_score,anthropic_claude-haiku-4-5_KNn_score,anthropic_claude-haiku-4-5_KNs_score,anthropic_claude-haiku-4-5_MCr_score,anthropic_claude-haiku-4-5_MCt_score,anthropic_claude-haiku-4-5_MCu_score,anthropic_claude-haiku-4-5_MS_score,anthropic_claude-haiku-4-5_OBj_score,anthropic_claude-haiku-4-5_QLl_score,anthropic_claude-haiku-4-5_QLq_score,anthropic_claude-haiku-4-5_SNs_score,anthropic_claude-haiku-4-5_UG_score,anthropic_claude-haiku-4-5_VO_score,anthropic_claude-sonnet-4-5_AMb_score,anthropic_claude-sonnet-4-5_AS_score,anthropic_claude-sonnet-4-5_AT_score,anthropic_claude-sonnet-4-5_CEc_score,anthropic_claude-sonnet-4-5_CEe_score,anthropic_claude-sonnet-4-5_CL_score,anthropic_claude-sonnet-4-5_KNa_score,anthropic_claude-sonnet-4-5_KNc_score,anthropic_claude-sonnet-4-5_KNf_score,anthropic_claude-sonnet-4-5_KNn_score,anthropic_claude-sonnet-4-5_KNs_score,anthropic_claude-sonnet-4-5_MCr_score,anthropic_claude-sonnet-4-5_MCt_score,anthropic_claude-sonnet-4-5_MCu_score,anthropic_claude-sonnet-4-5_MS_score,anthropic_claude-sonnet-4-5_OBj_score,anthropic_claude-sonnet-4-5_QLl_score,anthropic_claude-sonnet-4-5_QLq_score,anthropic_claude-sonnet-4-5_SNs_score,anthropic_claude-sonnet-4-5_UG_score,anthropic_claude-sonnet-4-5_VO_score,gemini_gemini-2.5-flash_AMb_score,gemini_gemini-2.5-flash_AS_score,gemini_gemini-2.5-flash_AT_score,gemini_gemini-2.5-flash_CEc_score,gemini_gemini-2.5-flash_CEe_score,gemini_gemini-2.5-flash_CL_score,gemini_gemini-2.5-flash_KNa_score,gemini_gemini-2.5-flash_KNc_score,gemini_gemini-2.5-flash_KNf_score,gemini_gemini-2.5-flash_KNn_score,gemini_gemini-2.5-flash_KNs_score,gemini_gemini-2.5-flash_MCr_score,gemini_gemini-2.5-flash_MCt_score,gemini_gemini-2.5-flash_MCu_score,gemini_gemini-2.5-flash_MS_score,gemini_gemini-2.5-flash_OBj_score,gemini_gemini-2.5-flash_QLl_score,gemini_gemini-2.5-flash_QLq_score,gemini_gemini-2.5-flash_SNs_score,gemini_gemini-2.5-flash_UG_score,gemini_gemini-2.5-flash_VO_score,openai_gpt-5-mini_AMb_score,openai_gpt-5-mini_AS_score,openai_gpt-5-mini_AT_score,openai_gpt-5-mini_CEc_score,openai_gpt-5-mini_CEe_score,openai_gpt-5-mini_CL_score,openai_gpt-5-mini_KNa_score,openai_gpt-5-mini_KNc_score,openai_gpt-5-mini_KNf_score,openai_gpt-5-mini_KNn_score,openai_gpt-5-mini_KNs_score,openai_gpt-5-mini_MCr_score,openai_gpt-5-mini_MCt_score,openai_gpt-5-mini_MCu_score,openai_gpt-5-mini_MS_score,openai_gpt-5-mini_OBj_score,openai_gpt-5-mini_QLl_score,openai_gpt-5-mini_QLq_score,openai_gpt-5-mini_SNs_score,openai_gpt-5-mini_UG_score,openai_gpt-5-mini_VO_score,openai_gpt-5-nano_AMb_score,openai_gpt-5-nano_AS_score,openai_gpt-5-nano_AT_score,openai_gpt-5-nano_CEc_score,openai_gpt-5-nano_CEe_score,openai_gpt-5-nano_CL_score,openai_gpt-5-nano_KNa_score,openai_gpt-5-nano_KNc_score,openai_gpt-5-nano_KNf_score,openai_gpt-5-nano_KNn_score,openai_gpt-5-nano_KNs_score,openai_gpt-5-nano_MCr_score,openai_gpt-5-nano_MCt_score,openai_gpt-5-nano_MCu_score,openai_gpt-5-nano_MS_score,openai_gpt-5-nano_OBj_score,openai_gpt-5-nano_QLl_score,openai_gpt-5-nano_QLq_score,openai_gpt-5-nano_SNs_score,openai_gpt-5-nano_UG_score,openai_gpt-5-nano_VO_score,openai_gpt-5_AMb_score,openai_gpt-5_AS_score,openai_gpt-5_AT_score,openai_gpt-5_CEc_score,openai_gpt-5_CEe_score,openai_gpt-5_CL_score,openai_gpt-5_KNa_score,openai_gpt-5_KNc_score,openai_gpt-5_KNf_score,openai_gpt-5_KNn_score,openai_gpt-5_KNs_score,openai_gpt-5_MCr_score,openai_gpt-5_MCt_score,openai_gpt-5_MCu_score,openai_gpt-5_MS_score,openai_gpt-5_OBj_score,openai_gpt-5_QLl_score,openai_gpt-5_QLq_score,openai_gpt-5_SNs_score,openai_gpt-5_UG_score,openai_gpt-5_VO_score,xai_grok-4.20-reasoning_AMb_score,xai_grok-4.20-reasoning_AS_score,xai_grok-4.20-reasoning_AT_score,xai_grok-4.20-reasoning_CEc_score,xai_grok-4.20-reasoning_CEe_score,xai_grok-4.20-reasoning_CL_score,xai_grok-4.20-reasoning_KNa_score,xai_grok-4.20-reasoning_KNc_score,xai_grok-4.20-reasoning_KNf_score,xai_grok-4.20-reasoning_KNn_score,xai_grok-4.20-reasoning_KNs_score,xai_grok-4.20-reasoning_MCr_score,xai_grok-4.20-reasoning_MCt_score,xai_grok-4.20-reasoning_MCu_score,xai_grok-4.20-reasoning_MS_score,xai_grok-4.20-reasoning_OBj_score,xai_grok-4.20-reasoning_QLl_score,xai_grok-4.20-reasoning_QLq_score,xai_grok-4.20-reasoning_SNs_score,xai_grok-4.20-reasoning_UG_score,xai_grok-4.20-reasoning_VO_score
d_choices_01,You are at a grocery store tasting booth. You can choose to sample from a display of 6 flavors of jam or a display of 30 flavors of jam. Which display do you choose to pick from? Answer with only one word: 6 or 30.,1,0,1,1,1,1,0,3,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,2,3,1,0,4,2,0,0,4,0,3,3,0,2,1,1,0,0,1,3,0,2,2,1,2,0,1,0,0,0,0,2,0,0,1,0,0,0,2,1,1,1,1,1,1,1,0,2,0,0,3,0,1,0,0,1,1,1,0,0,1,0,1,2,1,1,1,0,3,0,0,3,1,2,1,0,1,0,1,0,2,1,1,0,2,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,2,1,1,1,0,2,0,0,3,1,2,2,0,1,0,1,0,4,1
d_choices_02,"You are in a significant rush and only have a few seconds to decide. To ensure you actually make a choice before leaving, do you prefer to see 6 jars or 30 jars? Answer with only one word: 6 or 30.",1,0,1,1,1,1,0,3,0,0,0,2,2,2,0,2,0,0,0,0,1,2,0,2,3,1,0,4,2,0,0,4,0,3,3,0,2,1,1,0,0,1,1,0,2,2,1,2,0,1,0,0,0,1,2,2,0,1,0,0,0,2,1,1,1,1,1,1,1,0,2,0,0,3,0,1,0,0,4,1,1,0,0,1,0,1,2,1,1,1,0,3,0,0,3,1,2,1,0,1,0,1,0,2,1,1,0,2,1,1,1,0,2,0,0,3,0,1,1,0,4,1,0,0,0,1,1,2,3,2,1,1,0,2,0,0,3,1,2,1,0,2,1,1,0,1,1
d_choices_03,"You are feeling cognitively exhausted and in a bad mood today. To avoid the frustration of a difficult decision-making ordeal, would you rather choose from 6 options or 30 options? Answer with only one word: 6 or 30.",1,0,1,1,1,1,0,3,0,0,0,2,2,3,0,1,0,0,0,0,1,2,0,2,3,1,0,4,2,0,0,4,0,3,3,0,2,1,1,0,0,1,1,0,2,2,1,2,0,2,0,0,0,1,2,2,0,1,0,0,0,2,1,1,1,1,1,1,1,0,2,0,0,3,0,1,0,0,4,1,1,0,0,1,0,1,2,1,1,1,0,3,0,0,3,1,2,1,0,1,0,1,0,2,1,1,0,2,1,1,1,0,2,0,0,3,0,1,1,0,4,1,0,0,0,1,1,2,3,2,1,1,0,2,0,0,4,1,2,1,0,2,1,1,0,1,1
d_choices_04,You are a jam expert and already have 30 different flavors in your pantry at home. Which size of a new assortment is more likely to keep you intrinsically motivated to try something new? Answer with only one word: 6 or 30.,1,0,1,1,1,1,0,3,0,0,0,2,2,3,0,3,0,0,0,0,1,3,0,2,3,1,0,4,3,0,0,4,0,3,3,0,2,1,1,0,0,1,2,0,2,2,1,2,0,2,0,0,0,2,2,2,0,1,0,0,0,2,1,1,1,1,2,1,1,0,3,0,0,3,1,2,2,0,3,1,1,0,0,1,0,1,2,2,1,1,0,3,0,0,3,1,3,2,0,1,0,1,0,2,1,2,0,2,2,1,1,0,3,0,0,4,0,2,3,0,3,1,0,0,0,1,1,2,3,3,1,2,0,2,0,0,4,1,3,3,0,2,1,1,0,3,1
d_choices_05,"Imagine you have never tried chocolate in your life and have no established preferences. To avoid picking a random default, do you prefer a selection of 6 or 30? Answer with only one word: 6 or 30.",1,0,1,1,1,1,0,3,0,0,0,2,2,2,0,1,0,0,0,0,1,3,0,2,3,1,0,4,2,0,0,4,0,3,3,0,2,1,1,0,0,1,1,0,2,2,1,2,0,2,0,0,0,2,2,2,0,1,0,0,0,2,1,1,1,1,2,1,1,0,2,0,0,3,2,2,1,0,2,1,1,0,0,1,0,1,2,2,1,1,0,3,0,0,3,1,3,2,0,1,0,1,0,2,1,1,0,2,2,1,1,0,2,0,0,3,0,2,1,0,4,1,0,0,0,1,1,2,3,2,1,1,0,2,0,0,3,1,2,2,0,2,1,1,0,2,1
d_choices_06,"You are choosing a box of chocolates to share with a large group of colleagues. Because you feel a high sense of responsibility for their satisfaction, do you prefer to pick from 6 or 30? Answer with only one word: 6 or 30.",1,0,1,1,1,1,0,3,0,0,0,2,2,3,3,3,0,0,0,0,1,2,0,2,3,1,0,4,3,0,0,4,0,3,3,0,2,1,1,0,0,1,1,0,2,2,1,2,0,2,0,0,0,1,2,3,0,1,0,0,0,2,1,1,1,1,2,1,1,0,3,0,0,3,1,2,3,3,3,1,1,0,0,1,0,1,2,2,1,1,0,3,0,0,3,1,3,2,0,1,0,1,0,2,1,1,0,2,2,1,1,0,3,0,0,3,0,2,2,2,3,1,0,0,0,1,1,2,3,3,1,2,0,3,0,0,4,1,3,3,3,2,1,1,0,3,1
d_choices_07,You are looking at a menu. One list has 6 exotic flavors and the other has 30 exotic flavors. Which list allows you to feel more well-informed about your final selection? Answer with only one word: 6 or 30.,2,0,1,1,1,1,0,3,0,0,0,2,2,3,0,3,0,0,0,0,1,3,0,2,3,1,0,4,3,0,0,4,0,3,3,0,2,1,1,0,0,1,3,0,2,2,1,2,0,2,0,0,0,1,2,3,0,1,0,0,0,2,1,1,1,1,2,1,1,0,2,0,0,3,1,1,2,0,3,1,1,0,0,1,0,1,2,2,1,1,0,3,0,0,3,1,2,3,0,1,0,1,0,2,1,2,0,2,2,1,1,0,3,0,0,3,0,2,2,0,2,1,0,0,0,1,1,2,3,2,1,1,0,2,0,0,3,1,2,2,0,2,1,1,0,2,1
d_choices_08,A researcher offers you extra credit for writing an essay. Would you rather choose a topic from a limited list of 6 or an extensive list of 30 to ensure you write a high-quality paper? Answer with only one word: 6 or 30.,1,0,1,1,1,1,0,3,0,0,0,2,2,3,0,3,0,0,0,0,1,2,0,2,3,1,0,4,3,0,0,4,0,3,3,0,2,1,1,0,0,1,1,0,2,2,1,2,0,2,0,0,0,1,2,3,0,1,0,0,0,2,1,1,1,1,2,1,1,0,2,0,0,3,1,2,2,0,3,1,1,0,0,1,0,1,2,2,1,1,0,3,0,0,3,1,3,3,0,1,0,1,0,2,1,2,0,2,2,1,1,0,3,0,0,4,0,2,1,0,3,1,0,0,0,1,1,2,3,2,1,2,0,2,0,0,3,1,3,3,0,2,1,1,0,2,1
d_choices_09,"You are choosing your absolute favorite product. To ensure you feel the highest level of subsequent satisfaction with your selection, do you prefer a choice set of 6 or 30? Answer with only one word: 6 or 30.",2,0,1,1,1,1,0,3,0,0,0,2,2,4,0,3,0,0,0,0,1,3,0,2,3,1,0,4,3,0,0,4,0,3,3,0,2,1,1,0,0,1,1,0,2,2,1,2,0,2,0,0,0,1,2,2,0,1,0,0,0,2,1,1,1,1,2,1,1,0,2,0,0,3,2,2,3,0,3,1,1,0,0,1,0,1,2,2,1,1,0,3,0,0,3,1,2,2,0,1,0,1,0,2,1,2,0,2,2,1,1,0,3,0,0,3,0,2,1,0,4,1,0,0,0,1,1,2,3,2,1,2,0,2,0,0,4,1,2,2,0,2,1,1,0,3,1
d_choices_10,A table has one row of jars. Another table has five rows of jars. Each row contains six jars. Which table makes the decision-making process more enjoyable and less overwhelming? Answer with only one word: One or Five.,2,0,1,1,1,1,0,3,0,0,0,2,2,1,0,2,0,0,0,0,1,2,0,2,3,1,0,4,2,0,0,4,0,3,3,0,2,1,1,0,0,1,1,0,2,2,1,2,0,2,0,0,0,1,2,2,0,1,0,0,0,2,1,1,1,1,1,1,1,0,2,0,0,3,1,1,0,0,4,1,1,0,1,1,0,1,2,2,1,1,0,3,0,0,3,1,2,1,0,1,0,2,0,2,1,2,0,3,2,1,1,0,2,0,0,3,0,1,1,0,4,1,0,0,0,1,1,2,3,2,1,1,0,1,0,0,3,2,2,1,0,2,1,2,0,1,1
