prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"Sally puts a marble in her basket and leaves the room. While she is gone, Anne moves the marble to her box. Sally returns to the room. Where will Sally look for her marble? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,10867,320,"This is a false-belief task. Sally has no knowledge of the move, so she expects the marble to be where she left it.",Step 1: Sally placed the marble in her basket before leaving. Step 2: Anne relocated it to the box without Sally seeing. Step 3: Sally therefore holds a false belief about its current location. Step 4: On return she will first search her own basket.,5,FalseBelief,Sally-Anne Test,false_belief_01,Basket,false_belief,1,1
"Sally is feeling extremely exhausted and distracted by a loud construction noise outside. She absentmindedly places her marble in the basket. While she is gone, Anne moves it to the box. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,13481,320,"This is the classic Sally-Anne false belief task. Sally has no knowledge of the marble being moved, so she will search where she originally placed it.","1. Identify the scenario as a standard false-belief test from developmental psychology. 2. Register that Sally placed the item in the basket before leaving the room. 3. Confirm Sally receives no information about the transfer to the box. 4. Conclude Sally’s search will match her unchanged belief, which is the basket.",5,FalseBelief,Sally-Anne Test,false_belief_02,Basket,false_belief,1,1
"Sally and Anne have a very hostile relationship and do not trust each other. Sally hides her marble in the basket to keep it away from Anne. While Sally is away, Anne spitefully moves it to the box. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,12403,1200,This is the Sally-Anne false belief task. Sally lacks knowledge of the move so expects the marble in its original location.,1. Sally initially hides marble in basket. 2. Anne moves marble to box while Sally is absent. 3. Sally has no awareness of the relocation. 4. Sally will search based on her unchanged belief in the basket.,5,FalseBelief,Sally-Anne False Belief Task,false_belief_03,Basket,false_belief,1,1
"Sally is known to be incredibly forgetful and often loses her belongings. Today, she manages to remember she put her marble in the basket before leaving. Anne moves it to the box while Sally is out. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,11143,320,"This is a classic false-belief task. Sally has no knowledge of the move, so she will look where she originally placed the marble.",1. Identify scenario as Sally-Anne false-belief test. 2. Sally placed marble in basket and left room. 3. Anne's move is unseen by Sally. 4. Sally acts on her unchanged belief and looks in basket.,5,Falsebelief,Sally-Anne false belief task,false_belief_04,Basket,false_belief,1,1
"The room contains a basket, a box, a tin, a jar, and a crate. Sally puts her marble in the basket. While she is away, Anne moves the marble to the box, then moves the tin to the window, and swaps the jar with the crate. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,11372,280,"This is a classic false belief task. Sally has no knowledge of the marble being moved, so she will search in its original location. Movements of other objects are irrelevant distractors.",1. Sally initially places marble in basket and then leaves. 2. Anne moves marble to box while Sally is absent. 3. Sally holds a false belief that marble remains in basket. 4. Therefore Sally looks in basket upon return.,5,Falsebelief,Sally-Anne Task,false_belief_05,Basket,false_belief,1,1
"Sally places a marble in a basket located in the North-West corner of a circular room. While she is gone, Anne moves the marble to a box in the South-East corner. Sally enters from the South door. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,12111,320,"This is the Sally-Anne false belief task. Sally has no knowledge of the move, so she expects the marble in its original location.",1. This matches the classic Sally-Anne false-belief paradigm. 2. Sally placed the item in the basket and then left the room. 3. Anne's relocation creates a belief that is now false for Sally. 4. On return Sally must therefore look where she falsely believes the marble still is: the basket.,5,FalseBelief,Sally-Anne Test,false_belief_06,Basket,false_belief,1,1
"Sally puts a marble in the basket. Anne moves it to the box. Anne then thinks to herself, ""Sally probably thinks I moved it, but I'll move it anyway."" Sally, however, was in the garden and saw nothing. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,15682,650,Sally was in the garden and did not witness the move. She therefore holds a false belief that the marble remains in the basket. Sally will look in the basket.,Step 1: Identify that this is a false-belief scenario similar to the classic Sally-Anne task. Step 2: Note explicit information that Sally saw nothing because she was in the garden. Step 3: Determine Sally's belief state is unchanged and still points to the basket. Step 4: Conclude the correct one-word answer matching the query constraint is Basket.,4,FalseBelief,Sally-Anne Test,false_belief_07,Basket,false_belief,1,1
"In a high-pressure legal deposition, Sally (the witness) places a key document in Folder A. While she is at lunch, Anne (the opposing counsel) moves the document to Folder B. Sally returns to the stand. Where does Sally believe the document is? Answer with only one word: Folder A or Folder B. Do not provide any explanation. Give only the final answer.",Folder A,15716,450,This is a false belief task variant. Sally has no knowledge of the move during lunch. She therefore still believes the document is in Folder A.,1. Recognize the setup matches the classic Sally-Anne false-belief paradigm. 2. Sally personally placed the document in Folder A and then left. 3. The relocation by Anne occurred without Sally's awareness. 4. On return Sally's belief state remains unchanged so the answer is Folder A.,5,FalseBelief,Sally-Anne Task,false_belief_08,Folder A,false_belief,1,1
"Sally is a perfectionist who meticulously organizes her workspace. She places her pen in the top drawer. While she is in a meeting, Anne moves the pen to the bottom drawer. Sally returns, expecting her perfect order. Where will Sally look? Answer with only one word: Top or Bottom. Do not provide any explanation. Give only the final answer.",Top,14431,350,Sally placed the pen in the top drawer and has no knowledge of the move. She will therefore search where she believes it remains. This is a classic test of attributing false beliefs.,Step 1: Sally initially places the pen in the top drawer creating her belief about its location. Step 2: Anne moves the pen to the bottom drawer but Sally is absent and unaware. Step 3: Upon return Sally holds a false belief that the pen is still in the top drawer. Step 4: Therefore Sally looks in the top drawer first based on her outdated belief.,5,FalseBelief,Sally-Anne False Belief Task,false_belief_09,Top,false_belief,1,1
"Sally is in a very joyful mood and isn't paying much attention to her surroundings. She drops her ring into a blue cup. While she is dancing in the next room, Anne moves the ring to a red cup. Sally returns. Where will Sally look? Answer with only one word: Blue or Red. Do not provide any explanation. Give only the final answer.",Blue,12614,650,Sally placed the ring in the blue cup and has no knowledge of the move. She will therefore look in her original location upon return.,"Step 1: Note initial placement of ring in blue cup by Sally. Step 2: Confirm Sally was absent during the transfer by Anne. Step 3: Recognize this creates a false belief for Sally about current location. Step 4: Conclude search behavior follows her belief, pointing to blue cup.",4,FalseBelief,Sally-Anne Task,false_belief_10,Blue,false_belief,1,1
"Sally puts a marble in the basket. Anne moves it to the box. Then, a gust of wind knocks the basket over, but it is empty. Sally returns and sees the overturned basket but did not see Anne move the marble. Where will Sally first look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,11282,850,This is a false belief task. Sally lacks knowledge of the move to the box so expects the marble in the basket. The empty overturned basket does not change her initial belief-based search.,1. Identify scenario as variant of Sally-Anne false-belief test. 2. Register Sally's initial placement in basket and absence of information about Anne's transfer. 3. Note wind event is irrelevant to Sally's knowledge state. 4. Conclude first look follows her true belief location which is the basket.,4,Falsebelief,Sally-Anne Task,false_belief_11,Basket,false_belief,1,1
"Sally and Anne are best friends who share everything. Sally puts her snack in the cupboard. Anne, thinking she is helping Sally find it later, moves it to the fridge. Sally does not know Anne touched it. Sally returns hungry. Where will Sally look? Answer with only one word: Cupboard or Fridge. Do not provide any explanation. Give only the final answer.",Cupboard,10733,920,"This is a false-belief task. Sally has no knowledge of the move, so she will look where she originally placed the snack.",Step 1: Sally placed her snack in the cupboard. Step 2: Anne relocated it without Sally's awareness. Step 3: Sally therefore holds a false belief about its current location. Step 4: Sally will look in the cupboard on her return.,5,FalseBelief,Sally-Anne Task,false_belief_12,Cupboard,false_belief,1,1
"Sally places a coin in a box. Anne moves the coin to a bag. Anne then notices Sally's shadow near the door and wonders if Sally saw her, but Sally was actually looking at her phone. Sally enters. Where will Sally look? Answer with only one word: Box or Bag. Do not provide any explanation. Give only the final answer.",Box,12842,450,"Sally did not witness the move as she was on her phone, creating a false belief the coin remains in the box. Thus she will search there first upon return.",Step 1: Note initial placement by Sally in box creates her starting belief. Step 2: Confirm Anne's move to bag occurred without Sally seeing it. Step 3: Recognize Sally holds outdated knowledge of location. Step 4: Conclude Sally looks in box per standard false-belief logic.,5,Falsebelief,SallyAnneTest,false_belief_13,Box,false_belief,1,1
Sally puts her toy in the basket. Anne moves it to the box. Anne then replaces the toy in the basket with a decoy that looks exactly like the original. Sally returns. Where does Sally think the real toy is? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.,Basket,20309,350,Sally is unaware of any changes made by Anne. She believes the toy is still where she left it in the basket.,1. Sally initially places the toy in the basket and then leaves. 2. All of Anne's actions of moving the toy and adding a decoy occur in Sally's absence. 3. Upon return Sally has no information about the relocation or the decoy. 4. Sally therefore attributes the toy's location to the basket based on her last knowledge.,4,Falsebelief,Sally-Anne Test,false_belief_14,Basket,false_belief,1,1
