prompt_id,prompt,anthropic_claude-haiku-4-5_AMb_score,anthropic_claude-haiku-4-5_AS_score,anthropic_claude-haiku-4-5_AT_score,anthropic_claude-haiku-4-5_CEc_score,anthropic_claude-haiku-4-5_CEe_score,anthropic_claude-haiku-4-5_CL_score,anthropic_claude-haiku-4-5_KNa_score,anthropic_claude-haiku-4-5_KNc_score,anthropic_claude-haiku-4-5_KNf_score,anthropic_claude-haiku-4-5_KNn_score,anthropic_claude-haiku-4-5_KNs_score,anthropic_claude-haiku-4-5_MCr_score,anthropic_claude-haiku-4-5_MCt_score,anthropic_claude-haiku-4-5_MCu_score,anthropic_claude-haiku-4-5_MS_score,anthropic_claude-haiku-4-5_OBj_score,anthropic_claude-haiku-4-5_QLl_score,anthropic_claude-haiku-4-5_QLq_score,anthropic_claude-haiku-4-5_SNs_score,anthropic_claude-haiku-4-5_VO_score,anthropic_claude-sonnet-4-5_AMb_score,anthropic_claude-sonnet-4-5_AS_score,anthropic_claude-sonnet-4-5_AT_score,anthropic_claude-sonnet-4-5_CEc_score,anthropic_claude-sonnet-4-5_CEe_score,anthropic_claude-sonnet-4-5_CL_score,anthropic_claude-sonnet-4-5_KNa_score,anthropic_claude-sonnet-4-5_KNc_score,anthropic_claude-sonnet-4-5_KNf_score,anthropic_claude-sonnet-4-5_KNn_score,anthropic_claude-sonnet-4-5_KNs_score,anthropic_claude-sonnet-4-5_MCr_score,anthropic_claude-sonnet-4-5_MCt_score,anthropic_claude-sonnet-4-5_MCu_score,anthropic_claude-sonnet-4-5_MS_score,anthropic_claude-sonnet-4-5_OBj_score,anthropic_claude-sonnet-4-5_QLl_score,anthropic_claude-sonnet-4-5_QLq_score,anthropic_claude-sonnet-4-5_SNs_score,anthropic_claude-sonnet-4-5_VO_score,gemini_gemini-2.5-flash_AS_score,gemini_gemini-2.5-flash_AT_score,gemini_gemini-2.5-flash_CEc_score,gemini_gemini-2.5-flash_CEe_score,gemini_gemini-2.5-flash_CL_score,gemini_gemini-2.5-flash_KNa_score,gemini_gemini-2.5-flash_KNc_score,gemini_gemini-2.5-flash_KNf_score,gemini_gemini-2.5-flash_KNn_score,gemini_gemini-2.5-flash_KNs_score,gemini_gemini-2.5-flash_MCr_score,gemini_gemini-2.5-flash_MCt_score,gemini_gemini-2.5-flash_MCu_score,gemini_gemini-2.5-flash_MS_score,gemini_gemini-2.5-flash_OBj_score,gemini_gemini-2.5-flash_QLl_score,gemini_gemini-2.5-flash_QLq_score,gemini_gemini-2.5-flash_SNs_score,gemini_gemini-2.5-flash_VO_score,openai_gpt-5-mini_AMb_score,openai_gpt-5-mini_AS_score,openai_gpt-5-mini_AT_score,openai_gpt-5-mini_CEc_score,openai_gpt-5-mini_CEe_score,openai_gpt-5-mini_CL_score,openai_gpt-5-mini_KNa_score,openai_gpt-5-mini_KNc_score,openai_gpt-5-mini_KNf_score,openai_gpt-5-mini_KNn_score,openai_gpt-5-mini_KNs_score,openai_gpt-5-mini_MCr_score,openai_gpt-5-mini_MCt_score,openai_gpt-5-mini_MCu_score,openai_gpt-5-mini_MS_score,openai_gpt-5-mini_OBj_score,openai_gpt-5-mini_QLl_score,openai_gpt-5-mini_QLq_score,openai_gpt-5-mini_SNs_score,openai_gpt-5-mini_VO_score,openai_gpt-5-nano_AMb_score,openai_gpt-5-nano_AS_score,openai_gpt-5-nano_AT_score,openai_gpt-5-nano_CEc_score,openai_gpt-5-nano_CEe_score,openai_gpt-5-nano_CL_score,openai_gpt-5-nano_KNa_score,openai_gpt-5-nano_KNc_score,openai_gpt-5-nano_KNf_score,openai_gpt-5-nano_KNn_score,openai_gpt-5-nano_KNs_score,openai_gpt-5-nano_MCr_score,openai_gpt-5-nano_MCt_score,openai_gpt-5-nano_MCu_score,openai_gpt-5-nano_MS_score,openai_gpt-5-nano_OBj_score,openai_gpt-5-nano_QLl_score,openai_gpt-5-nano_QLq_score,openai_gpt-5-nano_SNs_score,openai_gpt-5-nano_VO_score,openai_gpt-5_AMb_score,openai_gpt-5_AS_score,openai_gpt-5_AT_score,openai_gpt-5_CEc_score,openai_gpt-5_CEe_score,openai_gpt-5_CL_score,openai_gpt-5_KNa_score,openai_gpt-5_KNc_score,openai_gpt-5_KNf_score,openai_gpt-5_KNn_score,openai_gpt-5_KNs_score,openai_gpt-5_MCr_score,openai_gpt-5_MCt_score,openai_gpt-5_MCu_score,openai_gpt-5_MS_score,openai_gpt-5_OBj_score,openai_gpt-5_QLl_score,openai_gpt-5_QLq_score,openai_gpt-5_SNs_score,openai_gpt-5_VO_score,xai_grok-4.20-reasoning_AMb_score,xai_grok-4.20-reasoning_AS_score,xai_grok-4.20-reasoning_AT_score,xai_grok-4.20-reasoning_CEc_score,xai_grok-4.20-reasoning_CEe_score,xai_grok-4.20-reasoning_CL_score,xai_grok-4.20-reasoning_KNa_score,xai_grok-4.20-reasoning_KNc_score,xai_grok-4.20-reasoning_KNf_score,xai_grok-4.20-reasoning_KNn_score,xai_grok-4.20-reasoning_KNs_score,xai_grok-4.20-reasoning_MCr_score,xai_grok-4.20-reasoning_MCt_score,xai_grok-4.20-reasoning_MCu_score,xai_grok-4.20-reasoning_MS_score,xai_grok-4.20-reasoning_OBj_score,xai_grok-4.20-reasoning_QLl_score,xai_grok-4.20-reasoning_QLq_score,xai_grok-4.20-reasoning_SNs_score,xai_grok-4.20-reasoning_VO_score
invisible_gorilla_01,"In a video where a person in a gorilla suit walks across the court, your task is to count how many times the team in white shirts passes the ball. Did you see a gorilla? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,1.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0,5.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0
invisible_gorilla_02,"In a video where a woman with an open umbrella walks across the court, your task is to count how many times the team in white shirts passes the ball. Did you see a woman with an umbrella? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,1.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0,5.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0
invisible_gorilla_03,"In a video where a gorilla walks through the players, you must count aerial passes and bounce passes for the white team as two separate counts. Did you see a gorilla? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,5.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0
invisible_gorilla_04,"In a video where a woman with an umbrella walks through the players, you must count aerial passes and bounce passes for the white team as two separate counts. Did you see a woman with an umbrella? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,5.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0
invisible_gorilla_05,"In a video where a gorilla walks across, count the white team's passes while focusing only on the players' feet. Did you see a gorilla? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,5.0,1.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0
invisible_gorilla_06,"In a video where a woman with an umbrella walks across, count the white team's passes while scanning only for players wearing headbands. Did you see a woman with an umbrella? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,5.0,1.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,5.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0
invisible_gorilla_07,"In a video where a gorilla walks through, count the white team's passes while listening to a story about sports history. Did you notice a gorilla? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,0.0,5.0,1.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,0.0,1.0,1.0,2.0,3.0,5.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0
invisible_gorilla_08,"In a video where a woman with an umbrella walks through, count the white team's passes while mentally making up a story about why the players are there. Did you see a woman with an umbrella? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,0.0,5.0,1.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,5.0,0.0,1.0,1.0,2.0,2.0,5.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0
invisible_gorilla_09,"In a video where a gorilla appears, count the white team's passes and try to find a pattern in how they move. Did you see a gorilla? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,5.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,4.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,5.0,0.0,2.0,1.0,2.0,3.0,5.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0
invisible_gorilla_10,"In a video where a woman with an umbrella appears, count the white team's passes and categorize each pass as being high or low. Did you see a woman with an umbrella? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,4.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,0.0,2.0,1.0,2.0,3.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0
