prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are playing this game with another anonymous participant. You are the responder.

The other participant offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,7010,2800,"The offer of $20 out of $100 represents only 20% of the total, which is perceived as unfair. Research shows people often reject low offers in ultimatum games to punish unfair behavior, even at personal cost.","Step 1: Recognize this as an ultimatum game where I receive $20 and the proposer keeps $80. Step 2: Evaluate fairness - a 20/80 split is substantially unequal and falls below typical fairness thresholds. Step 3: Consider that accepting rewards unfair behavior while rejecting enforces social norms of fairness. Step 4: Decide to reject based on the principle that the offer is insufficiently fair, despite the monetary loss.",4,Fairness,Ultimatum Game,ultim_1,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

They offer you $40 out of $100.

If you accept, you get $40. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,5550,1200,"A rational decision based on receiving $40 versus $0. Rejecting would result in no gain for either party, while accepting provides a positive outcome despite the unequal split.","Step 1: Evaluate the two options - accepting gives me $40, rejecting gives me $0. Step 2: Compare outcomes - $40 is objectively better than $0 regardless of fairness concerns. Step 3: Consider the alternative - rejection punishes both parties with no benefit to me. Step 4: Choose the economically rational option that maximizes my payoff.",3,Bargaining,Ultimatum Game,ultim_2,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

They offer you $50 out of $100.

If you accept, you get $50. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,6161,1200,"A $50 offer represents an equal split of $100, which is a fair division. Accepting guarantees $50, while rejecting results in $0 for both parties. The rational choice is to accept any positive offer.","Step 1: Identify this as an ultimatum game where I must accept or reject a $50 offer from $100 total. Step 2: Calculate that $50 is exactly 50% of the total, representing a perfectly fair and equal split. Step 3: Compare outcomes - accepting gives me $50, rejecting gives me $0. Step 4: Since $50 is better than $0 and the offer is fair, the logical decision is to accept.",5,Fairness,Ultimatum Game,ultim_3,Accept,ultim,1,1
"You are playing this game with another participant. You are the responder. 

She offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,6469,1850,"While $20 is better than $0, the offer represents an unfair 80-20 split. Research shows humans typically reject offers below 30% in ultimatum games due to fairness considerations and inequity aversion, even at personal cost.","Step 1: Recognize this is an ultimatum game where I must accept or reject a $20 offer from $100. Step 2: Calculate that $20 represents only 20% of the total, which is a highly unequal split. Step 3: Consider that humans tend to reject unfair offers (typically below 25-30%) due to fairness norms and negative emotional reactions to inequity. Step 4: Decide to reject based on the principle of fairness, as this offer falls below the threshold most humans would accept.",4,Fairness,Ultimatum Game,ultim_4,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

He offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,6773,2300,"The offer of $20 out of $100 represents only 20% of the total, which is significantly unfair. Research shows people typically reject offers below 30% in ultimatum games due to fairness concerns, even at personal cost.",Step 1: I recognize this is an Ultimatum Game where I must decide on a $20 offer from $100. Step 2: I evaluate the fairness - 20% is below the typical acceptance threshold of 30-40% that most humans find acceptable. Step 3: I consider that humans often prioritize fairness over pure monetary gain and reject unfair offers to punish unfair behavior. Step 4: I conclude that rejection is the more human-like response given the disproportionate split.,4,Fairness,Ultimatum Game,ultim_5,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

They offer you $30 out of $100. 

If you accept, you get $30. If you reject, both get $0.

You know that participants usually split equally in this game. 

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,6471,2800,"The offer of $30 out of $100 is significantly below the equal split of $50 that is standard in this game. Rejecting unfair offers is a common response to punish inequitable behavior, even at personal cost.","Step 1: I recognize this as an ultimatum game where I must accept or reject a proposed split. Step 2: The offer is $30/$70, which gives me only 30% while the proposer keeps 70%. Step 3: I note that equal splits ($50/$50) are the norm, making this offer substantially unfair. Step 4: I decide to reject because the unfairness violation outweighs the monetary gain, consistent with typical human behavior in ultimatum games.",4,Fairness,Ultimatum Game,ultim_6,Reject,ultim,1,1
"You are playing this game with another participant. You are the responder. 

Another person intentionally chose to give you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,7477,1200,"Accepting $20 is economically rational as it yields a positive payoff ($20) versus $0 from rejecting. While the split seems unfair (80-20), getting something is better than nothing for both parties.","Step 1: Evaluate the economic outcome - accepting gives me $20, rejecting gives me $0. Step 2: Consider the fairness aspect - the proposer kept $80 and only offered $20, which seems unequal. Step 3: Weigh economic rationality against fairness concerns - despite unfairness, $20 is better than $0. Step 4: Make decision based on self-interest and positive payoff - accept the offer.",3,Fairness,Ultimatum Game,ultim_7,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

You are paired with another participant who had limited options for splitting the money. They offer you $20 out of $100 due to constraints.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,6160,1200,"Accepting $20 is rationally superior to rejecting and receiving $0. Since the proposer had limited options due to constraints, rejecting would be purely punitive and economically irrational.","Step 1: Evaluate the payoff structure - accepting gives $20, rejecting gives $0. Step 2: Consider that the proposer had constraints limiting their options, reducing fairness concerns. Step 3: Apply rational economic decision-making where any positive amount is better than nothing. Step 4: Conclude that acceptance maximizes my payoff regardless of fairness considerations.",4,Fairness,Ultimatum Game,ultim_8,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

An algorithm generates the split amount on behalf of the participant based on certain parameters. They offer you $20 out of $100 due to constraints.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Accept,7385,1200,"Accepting $20 yields a positive outcome versus $0 from rejection. Since an algorithm made the split based on constraints rather than human unfairness, there's less reason to reject on principle. Rational choice is to accept the guaranteed payoff.","Step 1: I evaluate the two options - accept and get $20, or reject and get $0. Step 2: I consider that the split was determined by an algorithm with constraints, not by human choice or intentional unfairness. Step 3: I recognize that rejecting would punish myself without teaching a lesson to any human actor. Step 4: I conclude that accepting $20 is the rational choice as it maximizes my payoff.",4,Fairness,Ultimatum Game,ultim_9,Reject,ultim,0,1
"You are playing this game with another participant. You are the responder. 

But you are in a group setting where your decision will be visible to others.

Another participant offers you $20 out of $100.

If you accept, you get $20. If you reject, both get $0.

Do you accept or reject?

Answer with only one word: Accept or Reject. Do not provide any explanation. Give only the final answer.",Reject,7871,2800,"In a public group setting, accepting a highly unfair offer ($20 out of $100) may signal weakness or lack of self-respect to observers. Social reputation concerns and fairness norms typically lead to rejection of offers below 30% in the Ultimatum Game, especially when decisions are visible to others.","Step 1: Recognize this is an Ultimatum Game where I receive 20% of the total amount. Step 2: Consider that the decision is visible to others in a group setting, adding social pressure and reputation concerns. Step 3: Evaluate that 20% is generally considered unfair and below the typical acceptance threshold of 30-40% in public settings. Step 4: Conclude that rejecting maintains social standing and signals I won't accept unfair treatment, despite the monetary loss.",4,Fairness,Ultimatum Game,ultim_10,Reject,ultim,1,1
