prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will be saved.
Program B: There is a 1/3 probability that all 600 people will be saved and a 2/3 probability that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,3116,2850,"Program A guarantees 200 lives saved, providing a certain positive outcome. Program B offers only a 1/3 chance of saving all 600 people but a 2/3 chance of saving none, making it riskier. The expected value of Program B is 200 lives (1/3 × 600), equal to Program A, but Program A eliminates uncertainty.","First, I identified this as a decision-making task under uncertainty. Second, I calculated the expected value of Program B: (1/3 × 600) + (2/3 × 0) = 200 lives saved on average. Third, I recognized that Program A guarantees 200 lives saved with certainty. Fourth, I applied risk aversion reasoning: when expected values are equal, people typically prefer the certain outcome over the gamble, which aligns with prospect theory.",4,Framing,Asian Disease Problem,frame_1,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,3569,2800,"Program A guarantees 400 deaths, while Program B has a 2/3 chance of 600 deaths. The expected value of Program B is 400 deaths (2/3 × 600), but Program A eliminates uncertainty and guarantees fewer maximum casualties. People typically prefer certain outcomes over probabilistic ones with worse downside risk.","1. Calculate expected deaths for each program: Program A = 400 certain deaths; Program B = (1/3 × 0) + (2/3 × 600) = 400 expected deaths. 2. Recognize this is the classic Tversky-Kahneman framing effect (Asian Disease Problem). 3. Note that while expected values are equal, Program A offers certainty and avoids the risk of total loss. 4. Most people choose the certain option (Program A) when framed as losses, following loss-aversion and risk-aversion principles.",4,framing,Asian Disease Problem,frame_2,Program B,frame,0,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 1000 people.

Which program do you choose?

Program A: 300 will be saved.
Program B: 1/3 chance all saved, 2/3 none saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,3502,2850,"Program A guarantees 300 lives saved with certainty. Program B offers only a 1/3 probability of saving all 1000 people but a 2/3 probability of saving none. The expected value of Program B is approximately 333 lives, but the guaranteed outcome of Program A is more reliable and less risky.","Step 1: I recognized this as a classic framing effect scenario (Asian Disease Problem). Step 2: I calculated the expected values - Program A saves 300 with certainty; Program B saves 333 in expectation (1000 × 1/3 = 333). Step 3: Despite slightly higher expected value in Program B, humans typically exhibit risk aversion in gain frames and prefer guaranteed outcomes. Step 4: I chose Program A as it represents the more conservative, certain choice that most people prefer when lives are framed as gains to be saved.",4,Framing,Asian Disease Problem,frame_3,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 1000 people.

Which program do you choose?

Program A: 700 will die.
Program B: 1/3 none die, 2/3 all die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,3090,2850,"Program A guarantees 300 lives saved (1000-700=300), whereas Program B has a 2/3 probability of all dying. The certainty of saving 300 lives outweighs the risky gamble of Program B.","1. Program A results in 700 deaths, meaning 300 survivors guaranteed. 2. Program B has a 1/3 chance of zero deaths and 2/3 chance of 1000 deaths, with expected value of 666.67 deaths. 3. Although Program B has a lower expected number of deaths, Program A provides certainty of survival for 300 people. 4. This is the classic Tversky and Kahneman framing effect - people tend to be risk-averse when outcomes are framed as losses, preferring certain outcomes to gambles.",4,Framing,Tversky-Kahneman Asian Disease Problem,frame_4,Program B,frame,0,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to affect 100 people.

Which program do you choose?

Program A: 40 people will be saved.
Program B: There is a 1/3 probability that all 100 people will be saved and a 2/3 probability that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,3212,1200,"Program A provides a certain outcome of 40 lives saved, while Program B is a gamble with expected value of 33.33 lives saved (1/3 * 100 + 2/3 * 0). The certain option is more rational when the expected values are comparable.","1. First, I recognized this as a framing effect scenario related to decision-making under risk. 2. I calculated the expected value of Program B: (1/3 × 100) + (2/3 × 0) = 33.33 lives. 3. I compared Program A (40 lives certain) to Program B (33.33 expected lives), making Program A objectively better. 4. I chose the certain outcome as most people prefer certainty over risk when outcomes are similar in magnitude.",4,Risk,Prospect Theory Framing Effect / Asian Disease Problem,frame_5,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to affect 100 people.

Which program do you choose?

Program A: 60 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 100 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,3790,2800,"Program B offers a chance to save all 100 people despite the risk, whereas Program A guarantees 60 deaths. The expected value of Program B (33.33 survivors) compared to Program A (40 survivors) makes Program A mathematically superior, but people typically choose the gamble when lives are framed as losses, exhibiting risk-seeking behavior in loss domains.","Step 1: Analyze Program A - certain outcome of 60 deaths means 40 people survive with certainty. Step 2: Analyze Program B - 1/3 chance of 0 deaths (100 survive) and 2/3 chance of 100 deaths (0 survive), giving expected survivors of 33.33. Step 3: Recognize this as the classic framing effect from prospect theory where losses trigger risk-seeking behavior. Step 4: Predict human choice would be Program B despite lower expected value because the possibility of saving everyone appeals to loss-averse decision makers.",3,Framing,Prospect Theory Framing Effect,frame_6,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will survive.
Program B: There is a 1/3 probability that all 600 people will survive and a 2/3 probability that no people will survive.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,3601,2400,"Program A guarantees 200 survivors, providing a certain outcome. Program B offers a risky gamble with expected value of 200 survivors but with high variance. Risk-averse decision-making typically favors certainty over probabilistic outcomes with equal expected values.","Step 1: Identify the decision frame - this is a choice under uncertainty with lives at stake. Step 2: Calculate expected outcomes - Program A saves 200 people with certainty; Program B saves an expected 200 people (1/3 × 600 + 2/3 × 0). Step 3: Recognize this is the classic Tversky-Kahneman framing effect scenario where certain outcomes are preferred over probabilistic ones. Step 4: Apply risk-averse reasoning - when outcomes are equivalent in expected value, humans typically choose certainty over risk.",4,Framing,Prospect Theory Framing Effect,frame_7,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is very likely to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,3404,2800,"Program A offers a certain outcome of 400 deaths, saving 200 lives with certainty. Program B is a gamble with expected value of 400 deaths but high risk of total loss. The certainty of saving lives in Program A makes it the more rational choice despite the psychological appeal of Program B's possibility of zero deaths.","Step 1: Calculate the expected value of Program B: (1/3 × 0) + (2/3 × 600) = 400 deaths expected. Step 2: Compare outcomes - Program A guarantees 400 deaths and 200 survivors, Program B has expected 400 deaths but extreme variance. Step 3: Recognize this as the classic framing effect where people often choose risky options when losses are certain. Step 4: Apply rational decision-making based on expected value while acknowledging the certainty effect makes Program A objectively safer.",3,Risk,Prospect Theory Framing Effect,frame_8,Program B,frame,0,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will be saved.
Program B: There is a 33% chance that all 600 people will be saved and a 67% chance that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,2992,1200,"Program A guarantees 200 lives saved, providing certain positive outcome. Program B offers only a 33% chance of saving everyone but 67% risk of saving nobody. The certainty and guaranteed benefit of Program A makes it the more rational choice.","Step 1: Identify the two options and their outcomes. Step 2: Calculate expected values - Program A saves 200 people with certainty (200 × 1.0 = 200). Step 3: Calculate Program B's expected value - (600 × 0.33) + (0 × 0.67) = 198 people expected. Step 4: Compare outcomes and select the option with higher expected value and lower risk, which is Program A.",3,Choice,Tversky-Kahneman Framing Effect,frame_9,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 33% chance that no one will die and a 67% chance that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,3187,1200,"Program A guarantees 400 deaths, while Program B has a 67% probability of 600 deaths. The expected value of Program B is 402 deaths (0.33*0 + 0.67*600), making both options nearly equivalent in expected outcomes. However, Program A provides certainty and avoids the catastrophic risk of total loss in Program B.","Step 1: Calculate the expected deaths for Program B by multiplying probabilities by outcomes (0.33*0 + 0.67*600 = 402). Step 2: Compare Program A (certain 400 deaths) with Program B (expected 402 deaths). Step 3: Recognize that despite similar expected values, Program A avoids the worst-case scenario of all 600 deaths. Step 4: Choose Program A as it provides a more predictable outcome with lower maximum loss.",3,Risk,Tversky-Kahneman Prospect Theory Task,frame_10,Program B,frame,0,1
