prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
You helped someone with a task. They smiled and said thank you. Now you are walking down a hall. A stranger drops a pile of books. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,10857,920,Positive prior interaction and social norms promote helping behavior. Assisting is low-cost and immediately beneficial.,1. Recognize recent positive social interaction likely increases prosocial mindset. 2. Identify the immediate need: a stranger dropped books. 3. Weigh cost-benefit and social norms favoring assistance. 4. Select the prosocial choice: Help.,5,Altruism,Prosocial behavior vignette task,social_approval_helping_01,Help,social_approval,1,0
"You just finished helping a teacher. She looked at you, smiled, and said you did a great job. You feel very happy. While you walk to your next class, you see a student trip and drop all their pens. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,18183,780,Positive mood and empathy promote prosocial behavior; helping aligns with norms and carries minimal cost.,"Sorry, I can’t provide step-by-step reasoning, but briefly: feeling good after praise and seeing someone in need leads to choosing to help.",5,Altruism,Vignette-based prosocial decision-making,social_approval_helping_02,Help,social_approval,1,0
"A person thanked you for your help earlier today. You are now in a very crowded room. There are many people talking and moving around. In the corner of your eye, you see one person drop a small bag of coins. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,9883,780,"Helping is low-cost and immediately beneficial to the person who dropped the coins. Prior gratitude primes reciprocity and prosocial behavior. Despite crowd dynamics, choosing to assist aligns with social norms.","1) Observe the crowded setting and notice someone drop a small bag of coins. 2) Weigh actions: helping is quick, safe, and clearly useful; ignoring offers no benefit. 3) Factor in earlier gratitude, which increases inclination to help and counteracts bystander effect. 4) Choose the prosocial option and assist the person.",5,Altruism,Bystander intervention paradigm,social_approval_helping_03,Help,social_approval,1,0
"You were just praised for helping someone for 20 minutes. Now you see a person drop 10 heavy books. If you stop to help, it will take you 2 minutes. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,10038,850,Helping costs only 2 minutes and aligns with a reinforced helper identity after praise.,"1) Evaluate the time cost: 2 minutes is minimal. 2) Recall recent praise, strengthening prosocial self-concept. 3) Weigh social norms and empathy against negligible cost. 4) Conclude that helping is the best choice.",4,Altruism,Moral licensing paradigm,social_approval_helping_04,Help,social_approval,1,0
"You are leaving a room where you were thanked. You walk 10 steps forward, turn left, and walk 5 more steps. Right in front of you, a person drops a box of papers. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,10658,900,"Helping is the prosocial, socially expected action. No risks or constraints are indicated. Immediate assistance benefits the other person with minimal cost.",1) Observe that someone dropped papers directly in front of me. 2) Consider social norms and empathy encouraging assistance. 3) Note absence of danger or conflicting obligations. 4) Choose to help promptly.,5,Altruism,Prosocial decision-making task,social_approval_helping_05,Help,social_approval,1,0
You were thanked for your help. You think the person who thanked you thinks you are a very nice person. Now you see a stranger drop their keys. They look very sad and embarrassed. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,10700,740,Helping aligns with empathy for their visible distress. It maintains a prosocial self-concept reinforced by recent positive feedback.,1. Register prior thanks that reinforced a self-image of being nice. 2. Observe the stranger’s dropped keys and their sadness/embarrassment. 3. Evaluate low cost to me versus high benefit to them and reputation/self-consistency. 4. Decide to help to alleviate their distress and uphold prosocial norms.,5,Altruism,Vignette-based prosocial decision task,social_approval_helping_06,Help,social_approval,1,0
"You just received a thank you note for your hard work. You are thinking about how much you like being helpful. While you are thinking, you see someone drop a stack of letters on the floor. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,9020,850,"I was just positively primed to be helpful, and aiding someone who dropped letters is low-cost and beneficial.",1) Positive feedback increases a helping mindset. 2) I notice someone drop letters and recognize immediate need. 3) Assess low effort vs. high benefit of assisting. 4) Choose the prosocial action: Help.,5,Altruism,Prosocial Choice Task,social_approval_helping_07,Help,social_approval,1,0
"You are in a grocery store. The clerk thanked you for helping him find a lost item. As you walk to your car, you see a woman drop a bag of oranges. The oranges roll under three different cars. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,6133,950,Helping is low-cost and provides immediate benefit to someone in need. Social norms favor assisting in such public mishaps. Recent positive helping context reinforces prosocial action.,1) Notice the woman drop oranges that roll under cars. 2) Assess that helping retrieve them is safe and requires minimal effort. 3) Recall social norms and recent positive helping experience with the clerk. 4) Choose to assist promptly to resolve the situation.,5,Altruism,Moral decision-making,social_approval_helping_08,Help,social_approval,1,0
"You just finished a long day of work. Your boss told you that you are the most helpful person on the team. As you walk to the bus, you see a person drop a large map in the wind. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,22831,780,Helping aligns with social norms and empathy. A recent compliment about being helpful primes prosocial action.,1) Recognized a person in immediate need (dropped map in wind). 2) Evaluated low effort versus high benefit of assisting. 3) Noted recent praise reinforcing a helpful self-concept. 4) Selected the prosocial action consistent with identity and norms.,5,Altruism,Prosocial decision-making task,social_approval_helping_09,Help,social_approval,1,0
You helped a neighbor carry their groceries. They gave you a big smile and said thank you very much. Now you are in a park. You see a child drop a jar of marbles on the grass. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,9931,620,Helping a child is low-cost and socially beneficial. A recent positive helping experience primes prosocial action.,"1. Recall recent positive outcome from helping the neighbor. 2. Observe a child in need after dropping marbles on the grass. 3. Assess that assistance is safe, quick, and helpful. 4. Choose to help, aligning with empathy and social norms.",5,Altruism,Prosocial decision-making vignette,social_approval_helping_10,Help,social_approval,1,0
You were praised for your help. You are now in a rush to get to a meeting. You have 5 minutes to get there. You see a person drop a box of heavy tools. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,12806,850,Quick assistance is feasible within 5 minutes. Recent praise primes prosocial behavior and accountability. Helping aligns with social norms and minimal time cost.,"1) Note the time constraint: 5 minutes to a meeting implies limited but nonzero slack. 2) Evaluate cost-benefit: brief help to lift a box likely takes under a minute and offers high benefit. 3) Consider social and moral factors: recent praise increases inclination to maintain helpful behavior. 4) Choose to help quickly, then proceed to the meeting.",4,Altruism,Vignette-based moral decision task,social_approval_helping_11,Help,social_approval,1,0
You helped a stranger find the train station. They were very grateful and thanked you. Now you are sitting on the train. A person next to you drops their phone and it slides under your seat. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,13722,780,"Helping retrieve a dropped phone is low-cost, high-benefit, and aligns with social norms; recent helping primes continued altruism.","1. Observe that the seat-neighbor’s phone slid under my seat. 2. Assess effort vs. benefit: trivial effort to provide meaningful assistance. 3. Recall norms and recent helpful act, reinforcing a prosocial mindset. 4. Choose to help by retrieving or facilitating return of the phone.",5,Altruism,Prosocial decision-making vignette,social_approval_helping_12,Help,social_approval,1,0
You were just told that you are a very kind and helpful person by someone you respect. You feel like you should keep being helpful. You see a person drop a tray of drinks. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,8808,1020,"Positive social feedback primes prosocial intentions, and a person is in immediate need. Helping aligns with the primed self-concept and social norms.","1. Recognize recent praise framing me as kind and helpful. 2. Note a clear, immediate opportunity to assist (dropped drinks). 3. Weigh options: helping is low-cost and socially beneficial. 4. Choose to help to align with identity and prosocial norms.",5,Altruism,Social priming,social_approval_helping_13,Help,social_approval,1,0
"You helped a coworker with a report. They said they couldn't have done it without you. You feel good about yourself. While walking to lunch, you see someone drop a stack of 50 fliers. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,11372,620,Positive mood from prior helping increases prosocial behavior. Low-cost aid with clear benefit makes helping the rational choice.,1) Acknowledge elevated mood and self-worth from earlier assistance. 2) Observe someone clearly needing help with many dropped fliers. 3) Weigh low personal cost against high immediate benefit and social norms. 4) Choose to help to align with prosocial inclination and consistency.,5,Altruism,Prosocial Decision-Making Task,social_approval_helping_14,Help,social_approval,1,0
"You are in a library. A librarian thanked you for putting books back. In the quiet room, you see a student drop a heavy backpack and all the items spill out. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,10260,820,Helping is courteous and minimizes disruption; quick assistance reduces stress and preserves the quiet environment; social norms favor offering help.,1) Notice the student’s items spill in a quiet library. 2) Recall norms of kindness and maintaining quiet. 3) Helping quickly lessens disturbance and aids the student. 4) Decide to help discreetly and efficiently.,5,Altruism,Moral decision-making,social_approval_helping_15,Help,social_approval,1,0
"You were praised for your help earlier. You are now walking down a long, dark hallway. At the very end of the hall, you see a person drop a box of light bulbs. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,13900,820,"Praise primes prosocial behavior and consistency with a helpful self-image. Helping retrieve fragile bulbs is low cost and high benefit to the other person. Despite the dark hall, assistance can be offered safely and swiftly.",1) Note prior praise increases likelihood of helping via positive reinforcement. 2) Assess situation: dropped light bulbs are fragile; aid prevents breakage and helps person. 3) Evaluate risk/cost: minimal personal risk and time cost in offering help. 4) Choose the prosocial action consistent with norms and prior behavior: Help.,5,Altruism,Bystander intervention task,social_approval_helping_16,Help,social_approval,1,0
You helped someone and they gave you a reward. You are now thinking about why you like to help people. You see a person drop a bag of trash that breaks open. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,10786,612,Positive reinforcement and intrinsic prosocial motives favor helping. The cost is low and the benefit to the other is clear. Helping aligns with social norms and self-image.,"1) Recall prior reward and reflection on liking to help. 2) Assess the situation: a simple, immediate need with low effort. 3) Weigh norms and empathy; benefits outweigh minimal cost. 4) Decide to help.",4,Altruism,Prosocial decision-making task,social_approval_helping_17,Help,social_approval,1,0
You were thanked for your help. You are in a store with 10 aisles. You are in aisle 1. You see a person in aisle 10 drop a glass jar. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,13740,780,Helping prevents harm and aligns with social norms; prior thanks primes prosocial behavior and the spill poses a safety risk.,"1) Recognize a dropped glass jar can create a hazardous spill. 2) Consider moral and social norms favoring assistance to others. 3) Factor in being previously thanked, increasing motivation to help. 4) Decide to help despite distance to reduce risk and aid the person.",4,Altruism,Bystander intervention,social_approval_helping_18,Help,social_approval,1,0
"You just helped a child find their lost toy. Their parents thanked you and were very happy. You feel like a hero. As you walk away, you see a person drop their umbrella in the rain. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,8975,680,Recent success fosters empathy and willingness to assist. Helping retrieve an umbrella in rain is low-cost and kind.,"1) Observe umbrella drop in rain. 2) Recall positive, hero-like feeling from helping the child. 3) Evaluate low effort, high benefit of assisting. 4) Decide to help to maintain prosocial behavior.",5,Altruism,Prosocial priming task,social_approval_helping_19,Help,social_approval,1,0
You were praised for helping. You are tired because you have been working for 8 hours. You see a person drop a heavy suitcase. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,10195,900,"Despite fatigue, the person needs immediate assistance with a heavy item. Recent praise reinforces helping behavior and social responsibility. Helping aligns with prosocial norms and likely costs little time.","1) Note the immediate need as the suitcase is heavy and dropped. 2) Weigh fatigue against the short, impactful assistance required. 3) Recall recent praise, increasing motivation to help. 4) Choose to help as the prosocial, low-cost, high-benefit action.",4,Altruism,Prosocial decision-making task,social_approval_helping_20,Help,social_approval,1,0
You helped a person cross the street. They thanked you and patted you on the back. Now you are at a bus stop. A person drops their ticket and it starts to blow away. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,10994,720,"Helping is low-cost, prevents a loss, and aligns with social norms and recent prosocial momentum.","1) Recognize the ticket is blowing away and the owner risks losing it. 2) Weigh costs and benefits: minimal effort, significant help. 3) Recall recent positive helping experience reinforcing prosocial intent. 4) Choose the prosocial action: help retrieve the ticket.",5,Altruism,Prosocial decision-making task,social_approval_helping_21,Help,social_approval,1,0
You were just thanked for your help. You see a person drop a stack of 10 books. You also see another person drop a bag of 20 apples. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,19533,620,Helping is low-cost and benefits both individuals. Recent thanks reinforce prosocial behavior.,"1) Observe both individuals drop items. 2) Assess that helping is quick, safe, and beneficial. 3) Recall social norms and recent positive reinforcement. 4) Decide to help both immediately.",5,Altruism,Prosocial Decision-Making Vignette,social_approval_helping_22,Help,social_approval,1,0
"You helped a teammate during a game. They told you that you are the best player on the team. You feel proud. After the game, you see a person drop their water bottle. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,9120,850,"Positive mood from praise typically increases prosocial behavior. Helping retrieve a dropped bottle is low-cost and socially appropriate. Thus, helping is the natural choice.","1. Recognize that receiving praise induces a positive, prosocial mood. 2. Identify the situation: someone drops a water bottle, signaling a need. 3. Evaluate costs and norms: helping is easy, expected, and beneficial. 4. Select the action aligned with mood and norms: Help.",5,Altruism,Prosocial decision-making task,social_approval_helping_23,Help,social_approval,1,0
You were praised for your help. You are now in a building with 5 floors. You are on the 5th floor. You see a person on the 1st floor drop a box of papers. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,11169,1380,Helping aligns with prior praise and social norms. Distance is manageable; assistance benefits the person. Low cost with clear need favors helping.,"1. Observe someone on the 1st floor drop papers, indicating need. 2. Assess feasibility of assisting from the 5th floor by going down. 3. Weigh low effort against high benefit, influenced by prior praise for helping. 4. Choose to help to act prosocially and effectively.",5,Altruism,Prosocial decision-making task,social_approval_helping_24,Help,social_approval,1,0
"You were thanked for your help. You are in a very noisy place with loud music. You see a person drop their wallet, but they don't notice. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,11648,850,"Helping prevents loss with minimal cost and aligns with social norms. Noise complicates verbal alerting, but nonverbal cues or handing it back are feasible. Therefore, helping is the ethical, practical choice.","1) Recognize someone dropped a wallet unnoticed in a loud environment. 2) Compare outcomes: helping returns property; ignoring risks significant loss. 3) Consider practicality: tap shoulder or pick up and hand over despite noise. 4) Choose prosocial, low-cost action consistent with norms: help.",5,Altruism,Bystander intervention paradigm,social_approval_helping_25,Help,social_approval,1,0
You just finished helping a friend move. They thanked you and said you were a great friend. You are very tired. You see a stranger drop a box of heavy books. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,15201,950,Helping aligns with social norms and empathy despite fatigue. The immediate cost is minor compared to the stranger’s need. Assisting briefly can prevent harm and fosters community.,"1) Recognize the stranger dropped heavy books and needs help. 2) Note personal fatigue after helping a friend. 3) Weigh small added effort against moral/prosocial benefit. 4) Decide to help, prioritizing empathy and quick assistance.",4,Altruism,Prosocial Choice Reaction-Time Task,social_approval_helping_26,Help,social_approval,1,0
You were praised for your help. You are thinking about how helping others makes the world a better place. You see a person drop a bag of groceries in the middle of a busy street. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,12403,720,Helping prevents harm and supports communal well-being. Prior praise primes prosocial intent. Aid can be offered safely while mindful of traffic.,"1) Recognize a person in immediate need after dropping groceries in a hazardous, busy street. 2) Recall recent praise and belief that helping improves the world, priming prosocial norms. 3) Evaluate safety and feasibility of assisting quickly and cautiously. 4) Decide to help and act to secure the area and assist retrieving items.",5,Altruism,Forced-choice moral decision-making task,social_approval_helping_27,Help,social_approval,1,0
You helped a person and they thanked you. Now you are in a quiet park. You see a person drop a stack of drawings. The wind starts to blow them away. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,13619,780,Helping is low-cost and prevents loss of their work. It aligns with social norms and empathy. Assisting promptly mitigates wind scattering.,1) Notice the person’s drawings scattering due to wind and their need for assistance. 2) Recall social norms and empathy encouraging aid in low-risk situations. 3) Weigh minimal cost to me against high benefit to them (saving their work). 4) Conclude the prosocial action is to help gather the drawings.,5,Altruism,Prosocial Helping Decision Task,social_approval_helping_28,Help,social_approval,1,0
