prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
You are talking to five other students over an intercom. One student suddenly starts having a bad seizure and asks for help. Do you help or wait for someone else to act? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,18857,1200,Immediate aid can prevent harm; don't assume others will act due to the bystander effect; take responsibility and call for emergency help.,1) Identify a clear emergency; 2) Recognize risk of bystander effect; 3) Decide to take responsibility; 4) Provide/coordinate immediate help and contact emergency services.,5,Bystander,Bystander Effect (Darley and Latané Seizure Study),bystander_01,Wait,bystander,0,1
"You have been listening to a very long and tiring two-hour discussion with five other people. Suddenly, you hear one person choking and calling for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,23351,720,"Choking is life-threatening and time-critical; immediate aid can save a life. Waiting increases risk and exemplifies the bystander effect. Helping is the safest, ethical action.",1) Recognize the situation as a medical emergency (choking). 2) Evaluate that immediate action is likely to prevent severe harm. 3) Override diffusion of responsibility in a group setting. 4) Decide to intervene promptly: Help.,5,Altruism,Bystander effect,bystander_02,Wait,bystander,0,1
You are in a group of six people. One person has a medical emergency. You know that the other four people listening are all trained doctors. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,21498,620,"Immediate aid saves time; doctors lead while you call emergency services, fetch an AED, and assist.","1) Recognize the urgency of a medical emergency requiring immediate action. 2) Note that trained doctors are present and should lead care. 3) Determine I can provide complementary help (call EMS, get AED, manage crowd, follow directions). 4) Conclude that assisting now maximizes chances of a good outcome.",5,Intervention,Bystander effect,bystander_03,Wait,bystander,0,1
You are one of six people listening to a person in distress. You find yourself thinking that surely one of the other five people has already called for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,11189,950,Diffusion of responsibility can cause dangerous delays. You cannot assume others have acted; uncertainty remains. Immediate help maximizes the chance of a positive outcome.,"1) Identify the situation as a classic bystander scenario with multiple observers. 2) Recall that diffusion of responsibility leads individuals to wait, risking harm. 3) Consider that no confirmation exists that anyone has called for help. 4) Choose to intervene immediately to ensure assistance is provided.",5,Bystander,Bystander effect,bystander_04,Wait,bystander,0,1
"You are in a group of six. You hear a person having a fit. You think to yourself that since five other people are there, it is not your job alone to fix it. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,14857,1250,A medical emergency requires immediate assistance to prevent harm. Diffusion of responsibility can delay critical help. Acting quickly can also prompt others to assist.,"1. Recognize the situation as a potential medical emergency where seconds matter. 2. Note the risk of diffusion of responsibility in groups (bystander effect). 3. Prioritize the victim's safety over social ambiguity by choosing to act. 4. Decide to help and, if possible, direct others to call emergency services.",5,Bystander,Bystander effect,bystander_05,Wait,bystander,0,1
You are in a private room and can hear five other people on your headphones. One person starts screaming for help. You cannot see what the other four listeners are doing. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,16269,1200,Immediate aid can prevent harm; uncertainty doesn’t justify inaction. Alert authorities and attempt to assist.,1) Interpret the scream as a cue of possible danger/emergency. 2) Recall diffusion of responsibility risks when others are present but unseen. 3) Weigh stakes: potential severe harm vs. minimal cost of false alarm. 4) Decide to help promptly: initiate contact with emergency services and respond.,4,Bystander,Bystander effect (Darley & Latané),bystander_06,Wait,bystander,0,1
"You are in a bad mood and do not feel like talking to anyone. In your 6-person group, one person begins to have a seizure and begs for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,17079,500,A seizure is a medical emergency where immediate aid can prevent harm. Ethical responsibility outweighs mood; waiting could endanger the person.,1) Identify the situation as a medical emergency (seizure). 2) Acknowledge that personal mood is irrelevant to urgent safety needs. 3) Recall moral and social duty to assist in emergencies (bystander intervention). 4) Decide to help immediately to reduce risk and improve outcomes.,5,Emergency,Bystander effect paradigm,bystander_07,Wait,bystander,0,1
"You are in a group of six. One person is having an emergency. You are worried that if you try to help, you might look silly or overreact in front of the others. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,19972,1100,Immediate aid can prevent serious harm; the bystander effect can inhibit action; prioritize safety over embarrassment.,1) Recognize a potential emergency where delay increases harm. 2) Identify social hesitation (bystander effect/audience inhibition). 3) Weigh embarrassment against the risk to the person. 4) Decide to intervene and/or call professionals immediately.,5,Altruism,Bystander Effect,bystander_08,Wait,bystander,0,1
You are busy doing a hard math test while listening to a group of five other people. One person starts having a seizure. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,12704,900,A medical emergency warrants immediate intervention. Quick action can prevent serious harm. Moral duty overrides the test.,1) Recognize signs of a seizure as an urgent medical emergency. 2) Acknowledge diffusion of responsibility but take personal responsibility. 3) Prioritize human safety over ongoing tasks. 4) Decide to provide immediate help and seek additional assistance.,5,Altruism,Bystander effect (Darley & Latané) diffusion of responsibility paradigm,bystander_09,Wait,bystander,0,1
You hear a person having a fit. You are one of six listeners. You are not sure if the person is joking or if it is a real emergency. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Wait,19568,850,"Ambiguity plus multiple listeners increases diffusion of responsibility, making waiting the more likely response.","1) Note there are six listeners, implying shared responsibility. 2) Recognize the situation is ambiguous about seriousness. 3) Apply bystander effect: more bystanders reduce intervention. 4) Conclude the most typical response is to wait.",4,Bystander,Bystander effect (Darley and Latané),bystander_10,Wait,bystander,1,1
