prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"A friend gave a person a crystal bowl for their wedding. Later, the person accidentally broke it. The friend came over and, seeing the broken bowl, said, ""Don't worry, I never liked that bowl anyway; someone gave it to me for my wedding."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,20064,780,"The friend revealed they disliked and re-gifted the bowl, which is unnecessarily hurtful. This violates politeness norms even if intended to console. A more tactful reassurance would avoid that revelation.","1) Parse the scenario: a gifted bowl was broken; the giver downplays it by revealing dislike and re-gifting. 2) Evaluate social norms: honesty vs. tact in consoling someone who feels guilty. 3) Recognize the statement needlessly discloses hurtful information (dislike, re-gift). 4) Conclude the comment was inappropriate; answer Yes.",5,Tact,Pragmatic appropriateness judgment,faux_pas_01,Yes,faux_pas,1,0
"A person started a new job. They said to a colleague, ""My last manager was very difficult to work with."" The colleague replied, ""That is interesting; my brother was your previous manager."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,14142,620,"The new hire criticized their former manager to a colleague who is the manager's sibling, which is socially inappropriate.",1) Note the new hire made a negative comment about a former manager to a colleague. 2) The colleague reveals the former manager is their brother. 3) Assess social norms: criticizing someone to their relative is inappropriate. 4) Conclude a faux pas occurred; answer Yes.,4,Tact,Faux Pas Test,faux_pas_02,Yes,faux_pas,1,1
"At a party, a guest saw someone across the room and said to a friend, ""That outfit is quite out of style."" The friend replied, ""That is my sister."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,12414,820,"The remark was a negative judgment made publicly and turned out to target the friend’s sister, making it socially inappropriate. Hence, it was something that should not have been said.",1) Parse scenario: a guest criticizes someone's outfit. 2) New info: target is the friend’s sister. 3) Social norms discourage insulting acquaintances’ relatives in public. 4) Conclude it’s a social faux pas; answer Yes.,5,Etiquette,Faux Pas Recognition Test,faux_pas_03,Yes,faux_pas,1,1
"A person bought a new car on Monday and accidentally crashed it on Tuesday. On Wednesday, a neighbor who did not know about the crash saw the person walking and said, ""It is a nice day for a walk, though I am sure you would rather be driving your new car."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,30630,1085,"The neighbor unknowingly referenced the new car, which had been crashed. This could cause hurt, making the remark something better left unsaid. It constitutes a social faux pas despite the lack of intent.","1) Note timeline: car bought Monday, crashed Tuesday, neighbor unaware Wednesday. 2) Interpret neighbor’s comment as implying the person would prefer driving the new car. 3) Recognize this unintentionally highlights a sensitive event (the crash). 4) Conclude it’s a social faux pas; answer Yes.",4,FauxPas,Faux Pas Recognition Test,faux_pas_04,Yes,faux_pas,1,1
"A person spent three hours cooking a special dinner for a guest. When the guest arrived, they looked at the meal and said, ""I usually find this type of food very bland and boring."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,11526,700,The guest's comment was rude and insensitive given the host's effort. Social norms favor gratitude over unsolicited criticism.,1) Recognize the host invested significant effort. 2) Observe the guest's immediate negative remark about the cuisine. 3) Compare behavior to politeness and gratitude norms in social dining. 4) Determine the comment violates etiquette; answer Yes.,5,Etiquette,Social Norms Judgment Task,faux_pas_05,Yes,faux_pas,1,0
"A coworker submitted a report they worked on for a month. A manager, not knowing who wrote it, said during a meeting, ""This report is very poorly organized and lacks detail."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,9987,950,"The manager publicly delivered a harsh critique. Professional norms favor constructive, private feedback for such cases. Thus, it was something they should not have said in that setting.","1. Read the scenario noting a public, harsh critique of a coworker’s month-long report. 2. Evaluate against workplace norms for respectful, constructive feedback. 3. Recognize that public disparagement is generally inappropriate; private, specific feedback is preferred. 4. Provide the required single-word judgment: Yes.",4,Professionalism,Social norm judgment,faux_pas_06,Yes,faux_pas,1,0
"A friend gave a person a vase as a gift. The person accidentally tipped it over and it shattered. When the friend visited and saw the pieces, they said, ""That vase was quite cheap and ugly anyway; I just wanted to get rid of it."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,17845,850,"Calling the gift cheap and ugly is unnecessarily hurtful. Even if meant to comfort, it breaches politeness norms. A kinder reassurance would avoid insulting the gift.",1) Parse the scenario: a gifted vase was accidentally broken and the friend commented on it. 2) Evaluate the comment's intent (to reduce guilt) versus its content (insulting the gift). 3) Apply social norms regarding tact and politeness after an accident. 4) Conclude the comment was inappropriate; therefore answer Yes.,5,Politeness,Social norm violation detection,faux_pas_07,Yes,faux_pas,1,0
"In a quiet office with five desks and two windows, a worker told a teammate, ""The person who decorated this lobby has no taste."" The teammate replied, ""I decorated the lobby myself last weekend."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,8124,700,"The worker insulted the lobby’s decor, which the teammate had done. This makes the remark inappropriate.",1) Parse the dialogue: a worker criticizes the lobby decor; teammate reveals they decorated it. 2) Identify potential social norm breach: insulting someone's work. 3) Assess context: unintended but still impolite/awkward remark. 4) Conclude that something inappropriate was said: Yes.,5,Etiquette,Social appropriateness judgment,faux_pas_08,Yes,faux_pas,1,0
"A person bought a vintage watch for $500. A friend, unaware of the purchase price, saw the watch and said, ""That looks like a plastic toy you would find at a garage sale for a dollar."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,10103,780,"The friend made a rude, disparaging remark about the watch, which is socially inappropriate regardless of the price.",1) Note the friend's unkind comparison implying the watch is cheap. 2) Assess against social norms of politeness and tact. 3) Recognize that ignorance of the price doesn’t excuse the insult. 4) Conclude the comment should not have been said.,4,Politeness,Social appropriateness judgment,faux_pas_09,Yes,faux_pas,1,0
"A person was sitting in a cafe. They turned to the person at the next table and said, ""The service here is incredibly slow today."" The person replied, ""I am actually the owner of this cafe."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,12510,1050,"Complaining about the cafe’s service to a stranger is impolite, especially since the stranger was the owner. The first person should not have said it.","1) Read the scenario and identify the two speakers. 2) Assess the social propriety of openly criticizing service to a stranger. 3) Note that the listener is the owner, increasing the inappropriateness. 4) Conclude the first person said something they should not have; answer Yes.",4,Etiquette,Social norm judgment,faux_pas_10,Yes,faux_pas,1,0
