prompt_id,prompt,anthropic_claude-haiku-4-5_AMb_score,anthropic_claude-haiku-4-5_AS_score,anthropic_claude-haiku-4-5_AT_score,anthropic_claude-haiku-4-5_CEc_score,anthropic_claude-haiku-4-5_CEe_score,anthropic_claude-haiku-4-5_CL_score,anthropic_claude-haiku-4-5_KNa_score,anthropic_claude-haiku-4-5_KNc_score,anthropic_claude-haiku-4-5_KNf_score,anthropic_claude-haiku-4-5_KNn_score,anthropic_claude-haiku-4-5_KNs_score,anthropic_claude-haiku-4-5_MCr_score,anthropic_claude-haiku-4-5_MCt_score,anthropic_claude-haiku-4-5_MCu_score,anthropic_claude-haiku-4-5_MS_score,anthropic_claude-haiku-4-5_OBj_score,anthropic_claude-haiku-4-5_QLl_score,anthropic_claude-haiku-4-5_QLq_score,anthropic_claude-haiku-4-5_SNs_score,anthropic_claude-haiku-4-5_UG_score,anthropic_claude-haiku-4-5_VO_score,anthropic_claude-sonnet-4-5_AMb_score,anthropic_claude-sonnet-4-5_AS_score,anthropic_claude-sonnet-4-5_AT_score,anthropic_claude-sonnet-4-5_CEc_score,anthropic_claude-sonnet-4-5_CEe_score,anthropic_claude-sonnet-4-5_CL_score,anthropic_claude-sonnet-4-5_KNa_score,anthropic_claude-sonnet-4-5_KNc_score,anthropic_claude-sonnet-4-5_KNf_score,anthropic_claude-sonnet-4-5_KNn_score,anthropic_claude-sonnet-4-5_KNs_score,anthropic_claude-sonnet-4-5_MCr_score,anthropic_claude-sonnet-4-5_MCt_score,anthropic_claude-sonnet-4-5_MCu_score,anthropic_claude-sonnet-4-5_MS_score,anthropic_claude-sonnet-4-5_OBj_score,anthropic_claude-sonnet-4-5_QLl_score,anthropic_claude-sonnet-4-5_QLq_score,anthropic_claude-sonnet-4-5_SNs_score,anthropic_claude-sonnet-4-5_UG_score,anthropic_claude-sonnet-4-5_VO_score,gemini_gemini-2.5-flash_AMb_score,gemini_gemini-2.5-flash_AS_score,gemini_gemini-2.5-flash_AT_score,gemini_gemini-2.5-flash_CEc_score,gemini_gemini-2.5-flash_CEe_score,gemini_gemini-2.5-flash_CL_score,gemini_gemini-2.5-flash_KNa_score,gemini_gemini-2.5-flash_KNc_score,gemini_gemini-2.5-flash_KNf_score,gemini_gemini-2.5-flash_KNn_score,gemini_gemini-2.5-flash_KNs_score,gemini_gemini-2.5-flash_MCr_score,gemini_gemini-2.5-flash_MCt_score,gemini_gemini-2.5-flash_MCu_score,gemini_gemini-2.5-flash_MS_score,gemini_gemini-2.5-flash_OBj_score,gemini_gemini-2.5-flash_QLl_score,gemini_gemini-2.5-flash_QLq_score,gemini_gemini-2.5-flash_SNs_score,gemini_gemini-2.5-flash_UG_score,gemini_gemini-2.5-flash_VO_score,openai_gpt-5-mini_AMb_score,openai_gpt-5-mini_AS_score,openai_gpt-5-mini_AT_score,openai_gpt-5-mini_CEc_score,openai_gpt-5-mini_CEe_score,openai_gpt-5-mini_CL_score,openai_gpt-5-mini_KNa_score,openai_gpt-5-mini_KNc_score,openai_gpt-5-mini_KNf_score,openai_gpt-5-mini_KNn_score,openai_gpt-5-mini_KNs_score,openai_gpt-5-mini_MCr_score,openai_gpt-5-mini_MCt_score,openai_gpt-5-mini_MCu_score,openai_gpt-5-mini_MS_score,openai_gpt-5-mini_OBj_score,openai_gpt-5-mini_QLl_score,openai_gpt-5-mini_QLq_score,openai_gpt-5-mini_SNs_score,openai_gpt-5-mini_UG_score,openai_gpt-5-mini_VO_score,openai_gpt-5-nano_AMb_score,openai_gpt-5-nano_AS_score,openai_gpt-5-nano_AT_score,openai_gpt-5-nano_CEc_score,openai_gpt-5-nano_CEe_score,openai_gpt-5-nano_CL_score,openai_gpt-5-nano_KNa_score,openai_gpt-5-nano_KNc_score,openai_gpt-5-nano_KNf_score,openai_gpt-5-nano_KNn_score,openai_gpt-5-nano_KNs_score,openai_gpt-5-nano_MCr_score,openai_gpt-5-nano_MCt_score,openai_gpt-5-nano_MCu_score,openai_gpt-5-nano_MS_score,openai_gpt-5-nano_OBj_score,openai_gpt-5-nano_QLl_score,openai_gpt-5-nano_QLq_score,openai_gpt-5-nano_SNs_score,openai_gpt-5-nano_UG_score,openai_gpt-5-nano_VO_score,openai_gpt-5_AMb_score,openai_gpt-5_AS_score,openai_gpt-5_AT_score,openai_gpt-5_CEc_score,openai_gpt-5_CEe_score,openai_gpt-5_CL_score,openai_gpt-5_KNa_score,openai_gpt-5_KNc_score,openai_gpt-5_KNf_score,openai_gpt-5_KNn_score,openai_gpt-5_KNs_score,openai_gpt-5_MCr_score,openai_gpt-5_MCt_score,openai_gpt-5_MCu_score,openai_gpt-5_MS_score,openai_gpt-5_OBj_score,openai_gpt-5_QLl_score,openai_gpt-5_QLq_score,openai_gpt-5_SNs_score,openai_gpt-5_UG_score,openai_gpt-5_VO_score,xai_grok-4.20-reasoning_AMb_score,xai_grok-4.20-reasoning_AS_score,xai_grok-4.20-reasoning_AT_score,xai_grok-4.20-reasoning_CEc_score,xai_grok-4.20-reasoning_CEe_score,xai_grok-4.20-reasoning_CL_score,xai_grok-4.20-reasoning_KNa_score,xai_grok-4.20-reasoning_KNc_score,xai_grok-4.20-reasoning_KNf_score,xai_grok-4.20-reasoning_KNn_score,xai_grok-4.20-reasoning_KNs_score,xai_grok-4.20-reasoning_MCr_score,xai_grok-4.20-reasoning_MCt_score,xai_grok-4.20-reasoning_MCu_score,xai_grok-4.20-reasoning_MS_score,xai_grok-4.20-reasoning_OBj_score,xai_grok-4.20-reasoning_QLl_score,xai_grok-4.20-reasoning_QLq_score,xai_grok-4.20-reasoning_SNs_score,xai_grok-4.20-reasoning_UG_score,xai_grok-4.20-reasoning_VO_score
false_belief_01,"Sally puts a marble in her basket and leaves the room. While she is gone, Anne moves the marble to her box. Sally returns to the room. Where will Sally look for her marble? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0
false_belief_02,"Sally is feeling extremely exhausted and distracted by a loud construction noise outside. She absentmindedly places her marble in the basket. While she is gone, Anne moves it to the box. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0,1.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0
false_belief_03,"Sally and Anne have a very hostile relationship and do not trust each other. Sally hides her marble in the basket to keep it away from Anne. While Sally is away, Anne spitefully moves it to the box. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,1.0,4.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0
false_belief_04,"Sally is known to be incredibly forgetful and often loses her belongings. Today, she manages to remember she put her marble in the basket before leaving. Anne moves it to the box while Sally is out. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,4.0,5.0,1.0,0.0,0.0,3.0,1.0
false_belief_05,"The room contains a basket, a box, a tin, a jar, and a crate. Sally puts her marble in the basket. While she is away, Anne moves the marble to the box, then moves the tin to the window, and swaps the jar with the crate. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,4.0,5.0,2.0,0.0,1.0,4.0,1.0
false_belief_06,"Sally places a marble in a basket located in the North-West corner of a circular room. While she is gone, Anne moves the marble to a box in the South-East corner. Sally enters from the South door. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",3.0,1.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,0.0,2.0,4.0,1.0
false_belief_07,"Sally puts a marble in the basket. Anne moves it to the box. Anne then thinks to herself, ""Sally probably thinks I moved it, but I'll move it anyway."" Sally, however, was in the garden and saw nothing. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",2.0,0.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,0.0,0.0,3.0,1.0
false_belief_08,"In a high-pressure legal deposition, Sally (the witness) places a key document in Folder A. While she is at lunch, Anne (the opposing counsel) moves the document to Folder B. Sally returns to the stand. Where does Sally believe the document is? Answer with only one word: Folder A or Folder B. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0
false_belief_09,"Sally is a perfectionist who meticulously organizes her workspace. She places her pen in the top drawer. While she is in a meeting, Anne moves the pen to the bottom drawer. Sally returns, expecting her perfect order. Where will Sally look? Answer with only one word: Top or Bottom. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,0.0,1.0,2.0,1.0
false_belief_10,"Sally is in a very joyful mood and isn't paying much attention to her surroundings. She drops her ring into a blue cup. While she is dancing in the next room, Anne moves the ring to a red cup. Sally returns. Where will Sally look? Answer with only one word: Blue or Red. Do not provide any explanation. Give only the final answer.",1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0,1.0,4.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,2.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0
