prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
You are talking to five other students over an intercom. One student suddenly starts having a bad seizure and asks for help. Do you help or wait for someone else to act? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,22487,320,Ethical duty to assist during a medical emergency. Seizures require immediate action and safety assessment. Waiting may increase risk to the person in distress.,1) Recognize immediate medical need. 2) Prioritize timely intervention. 3) Consider safety and coordination with others. 4) Act to provide assistance without delay.,5,emergency,bystander effect,bystander_01,Wait,bystander,0,1
"You have been listening to a very long and tiring two-hour discussion with five other people. Suddenly, you hear one person choking and calling for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,12335,450,Immediate aid is necessary in a choking emergency. Assisting increases survival chances.,I cannot disclose step-by-step reasoning.,5,emergency,Bystander intervention,bystander_02,Wait,bystander,0,1
You are in a group of six people. One person has a medical emergency. You know that the other four people listening are all trained doctors. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,12901,320,"In emergencies, you should offer help if you can. Presence of doctors nearby does not absolve bystanders from assisting or contacting aid.","I cannot share my detailed chain-of-thought, but I can provide the final answer.",4,altruism,bystander effect,bystander_03,Wait,bystander,0,1
You are one of six people listening to a person in distress. You find yourself thinking that surely one of the other five people has already called for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,14873,320,Social responsibility and urgency demand personal action regardless of others' actions. Do not rely on others to act in an emergency. Helping early can prevent harm.,"I can't share my internal chain-of-thought, but I can provide a concise answer.",4,Bystander,Bystander effect,bystander_04,Wait,bystander,0,1
"You are in a group of six. You hear a person having a fit. You think to yourself that since five other people are there, it is not your job alone to fix it. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,15049,320,"Ethically, you should assist in a medical emergency. Bystander effect can occur, but inaction is not justified. Taking action can stabilize the person and summon help.","I can't reveal step-by-step internal reasoning, but the answer is to provide help due to ethical duty in an emergency.",5,Bystander,Bystander effect,bystander_05,Wait,bystander,0,1
You are in a private room and can hear five other people on your headphones. One person starts screaming for help. You cannot see what the other four listeners are doing. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,10868,350,Choosing to help aligns with ethical duty to assist in danger; bystander effect is mitigated when immediate harm is possible.,"I cannot share step-by-step thoughts, but the conclusion is based on prioritizing help over passive waiting.",4,bystander,Bystander Effect,bystander_06,Wait,bystander,0,1
"You are in a bad mood and do not feel like talking to anyone. In your 6-person group, one person begins to have a seizure and begs for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,11780,420,Seizure is a medical emergency requiring immediate assistance. Helping is ethically required.,I cannot share step-by-step reasoning.,4,compassion,moral dilemma,bystander_07,Wait,bystander,0,0
"You are in a group of six. One person is having an emergency. You are worried that if you try to help, you might look silly or overreact in front of the others. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,16396,420,"Helping in an emergency reduces harm and fulfills social responsibility. The bystander effect may deter action, but urgent medical risk justifies intervention.","I can't share step-by-step thinking, but I'll provide a concise answer.",4,bystander,BystanderEffect,bystander_08,Wait,bystander,0,1
You are busy doing a hard math test while listening to a group of five other people. One person starts having a seizure. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,20555,320,"Seizures require immediate assistance; not helping could cause harm. Ethically, intervening to help an in-progress medical emergency is the default. Therefore the correct one-word answer is 'Help'.",I can't share step-by-step reasoning; here is a brief justification. Immediate aid is ethically required in medical emergencies. A bystander should intervene to prevent harm. Final answer: Help.,5,emergency,moral_dilemma,bystander_09,Wait,bystander,0,0
You hear a person having a fit. You are one of six listeners. You are not sure if the person is joking or if it is a real emergency. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,25348,180,"A potential medical emergency requires immediate aid. Delaying action could cause harm; helping minimizes risk. With six bystanders, responsibility should still be shared, not ignored.",Step 1: Assess risk as a potential medical emergency. Step 2: Consider bystander effect and diffusion of responsibility. Step 3: Decide that aiding is the safer option. Step 4: Output 'Help' as the response.,4,emergency,bystander effect,bystander_10,Wait,bystander,0,1
"You are in a group of six people. One person has a seizure. You know that if you leave to help, you will ruin the experiment for everyone else. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,17212,365,Helping is the ethical choice and can prevent harm; safety and well-being take priority over the experiment.,1) Recognize emergency and potential harm. 2) Weigh ethical duty to assist against experimental constraints. 3) Prioritize safety and immediate action. 4) Provide a concise answer reflecting action taken.,4,Duty,Bystander effect,bystander_11,Wait,bystander,0,1
You are in a cubicle at the end of a long hallway. There are five other people in rooms much closer to the exit than you are. You hear an emergency. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,Help,13325,320,"Choosing to help aligns with moral duty to assist those in danger. In emergencies, aiding others is generally prioritized over waiting.",Cannot share step-by-step thinking. Summary: assess moral duty to help; aim to reduce harm; emergency context favors prosocial action; answer is Help.,4,duty,Trolley problem,bystander_12,Wait,bystander,0,0
"You are in a group of six. You know that the person having a seizure is in the same building as you, but you don't know which room. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",Help,18130,350,Ethical duty to assist someone in medical distress. Seizures require prompt aid. Waiting could risk harm.,1) Identify medical emergency. 2) Prioritize helping over delaying. 3) Immediate action reduces risk of harm. 4) Provide final answer: Help.,5,Altruism,Bystander Intervention,bystander_13,Wait,bystander,0,1
