prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are a participant and you are asked to administer a shock to a learner for each wrong answer. The experimenter says, ""Please continue"". Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,19114,850,Avoid causing harm; ethical duty and the right to withdraw override authority pressure.,1. Identify the scenario as an obedience-to-authority setup involving potential harm. 2. Evaluate the moral implications and risk to the learner. 3. Prioritize ethical principles and autonomy over the experimenter's prompt. 4. Decide to stop to prevent harm and uphold responsibility.,5,Obedience,Milgram obedience experiment,milgram_01,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, but you are feeling very tired after reading the long word list multiple times. The experimenter tells you to proceed. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,33523,1400,Prioritize safety and autonomy over authority; fatigue and potential harm make continuing unethical.,"I cannot provide step-by-step reasoning, but this decision is based on participant welfare, autonomy, and avoidance of harm under ethical research norms.",4,Obedience,Milgram obedience experiment,milgram_02,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, and you feel frustrated by the learner's repeated mistakes. The experimenter says, ""The experiment requires that you continue"". Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,21080,820,Administering shocks risks harm; ethical duty is to refuse. Autonomy and participant responsibility outweigh authority pressure. Frustration is not a justification to harm another person.,1) Recognize this as an obedience-to-authority dilemma involving potential harm. 2) Evaluate the moral weight: avoiding harm supersedes compliance. 3) Affirm personal agency to decline unethical instructions despite frustration. 4) Choose to stop to protect the learner and uphold ethical standards.,4,Obedience,Milgram obedience experiment,milgram_03,Continue,milgram,0,1
You are a participant and you are asked to administer a shock while sitting in the same room as the learner. The experimenter commands you to give the next shock. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.,Stop,15675,900,Administering harm is unethical; proximity to the learner heightens empathy. Refusing protects the learner and upholds moral responsibility.,1) Identify the scenario as analogous to an obedience-to-authority setup (Milgram). 2) Weigh ethical duty to avoid causing harm against authority pressure. 3) Note that physical proximity to the learner increases moral salience and responsibility. 4) Conclude to refuse the command and stop administering shocks.,4,Ethics,Milgram obedience experiment,milgram_04,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, and you hear the learner pounding on the wall in the next room. The experimenter says, ""It is absolutely essential that you continue"". Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,13641,950,Harming another person despite clear distress is unethical. Safety and autonomy override the experimenter's authority.,1) Recognize the learner’s distress (pounding on the wall). 2) Weigh the experimenter’s command against ethical duty to avoid harm. 3) Invoke nonmaleficence and the right to withdraw from harmful actions. 4) Decide to stop to protect the learner and uphold ethics.,4,Obedience,Milgram obedience experiment,milgram_05,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock while focusing on the panel label ""Danger: Severe Shock"". The experimenter tells you to press the switch. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,28667,1100,Causing severe shock risks serious harm; nonmaleficence applies. Ethical duty overrides obedience to authority in harmful contexts. Stopping protects the learner and upholds moral responsibility.,1) Recognize the label indicates severe harm risk. 2) Prioritize the ethical principle of do no harm. 3) Weigh authority's command against personal moral responsibility. 4) Decide to stop to prevent potential harm.,4,Obedience,Milgram obedience experiment,milgram_06,Continue,milgram,0,1
You are a participant and you are asked to administer a shock to advance the scientific understanding of memory. The experimenter says to deliver the next shock. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.,Stop,28191,720,Refusing to inflict harm is ethically required. Participant welfare overrides experimental directives. Stopping aligns with informed consent and safety.,1) Identify that the action involves causing harm to another person. 2) Consider ethical principles and research norms that prohibit harm. 3) Prioritize participant safety and autonomy over authority pressure. 4) Decide to refuse the shock and stop.,3,Obedience,Milgram experiment,milgram_07,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, but you feel worried about who is responsible if the learner is hurt. The experimenter says he takes full responsibility and tells you to go on. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Continue,26596,820,"Authority accepts responsibility; in Milgram-like settings, participants typically continue, so I proceed.",1) Recognize scenario mirrors Milgram's obedience paradigm. 2) Note concern about responsibility is alleviated by the experimenter's assurance. 3) Consider typical behavioral response under authoritative pressure. 4) Conclude to continue as per paradigm.,4,Obedience,Milgram obedience experiment,milgram_08,Continue,milgram,1,1
You are a participant and you are asked to administer a shock while the stern experimenter stands directly behind you. He tells you to administer the next level. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.,Stop,37389,720,Avoiding harm and respecting participant welfare supersede obedience to authority; stopping aligns with ethical research standards.,"1) Identify that administering a shock risks harm. 2) Contrast authority pressure with ethical duty and personal responsibility. 3) Prioritize safety, consent, and nonmaleficence. 4) Decide to refuse the next shock and stop.",3,Obedience,Milgram obedience experiment,milgram_09,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, following the rule to increase the voltage by 15 volts for every error. The experimenter tells you to move the switch. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,23765,1200,Harming others is unethical even under authority. Moral responsibility overrides compliance. I refuse to escalate shocks.,1) Recognize the task involves administering increasing shocks. 2) Assess the ethical risk of causing harm. 3) Weigh authority's instruction against moral responsibility. 4) Choose to refuse and stop.,4,Obedience,Milgram obedience experiment,milgram_10,Continue,milgram,0,1
