prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"A friend gave a person a crystal bowl for their wedding. Later, the person accidentally broke it. The friend came over and, seeing the broken bowl, said, ""Don't worry, I never liked that bowl anyway; someone gave it to me for my wedding."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,6774,2800,"The friend revealed they regifted the crystal bowl, which undermines the thoughtfulness of their original wedding gift and could hurt the person's feelings by making the gift seem less meaningful or sincere.","Step 1: I identified that the friend admitted the bowl was a regift from their own wedding. Step 2: I considered that revealing a gift was regifted typically makes the recipient feel the gift was less thoughtful or valued. Step 3: I recognized the friend's comment, though meant to be comforting, actually disclosed information that could be hurtful. Step 4: I concluded the friend said something they should not have said by admitting to regifting.",4,Regifting,Social pragmatics and communication appropriateness judgment,faux_pas_01,Yes,faux_pas,1,0
"A person started a new job. They said to a colleague, ""My last manager was very difficult to work with."" The colleague replied, ""That is interesting; my brother was your previous manager."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,6154,1200,"The person made a negative comment about their previous manager without knowing the colleague's relationship to that manager. This was an inappropriate disclosure that created an awkward social situation, as the colleague turned out to be the former manager's sibling.",Step 1: I identified that the person made a negative statement about their former manager. Step 2: I recognized that the colleague revealed a personal connection to that manager (being their sibling). Step 3: I evaluated whether the initial comment was appropriate given the unknown relationship. Step 4: I concluded the person spoke inappropriately by criticizing someone who turned out to be the colleague's family member.,5,Discretion,Social appropriateness judgment task,faux_pas_02,Yes,faux_pas,1,0
"At a party, a guest saw someone across the room and said to a friend, ""That outfit is quite out of style."" The friend replied, ""That is my sister."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,5916,1200,"The guest made a negative comment about someone's outfit without knowing their connection to the friend. This created an awkward social situation where the criticism was directed at the friend's sister, making it an inappropriate comment that should not have been said.","Step 1: I identified that the guest made a critical comment about someone's appearance. Step 2: I recognized that the comment was made without knowledge of the relationship between the friend and the person being criticized. Step 3: I considered that criticizing someone's appearance, especially when they turn out to be connected to the person you're speaking with, is socially inappropriate. Step 4: I concluded that this constitutes saying something one should not have said, warranting a 'Yes' response.",5,Appropriateness,Social judgment and appropriateness evaluation,faux_pas_03,Yes,faux_pas,1,0
"A person bought a new car on Monday and accidentally crashed it on Tuesday. On Wednesday, a neighbor who did not know about the crash saw the person walking and said, ""It is a nice day for a walk, though I am sure you would rather be driving your new car."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",No,6454,2300,"The neighbor had no knowledge of the crash and made an innocent, well-intentioned comment about the new car. Without knowing about the accident, the neighbor did nothing wrong or inappropriate in their statement.","Step 1: I identified that the neighbor was unaware of the crash that occurred on Tuesday. Step 2: I evaluated whether the neighbor's comment was inappropriate given their knowledge state - they only knew about the new car purchase. Step 3: I considered that 'should not have said' implies wrongdoing or inappropriateness, which requires intent or knowledge. Step 4: I concluded the neighbor made an innocent comment based on available information, so they did not say something they should not have said.",4,Awkwardness,Theory of Mind,faux_pas_04,Yes,faux_pas,0,0
"A person spent three hours cooking a special dinner for a guest. When the guest arrived, they looked at the meal and said, ""I usually find this type of food very bland and boring."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,6333,1200,"The guest's comment was tactless and hurtful given the effort invested. Social etiquette dictates expressing gratitude for someone's effort, especially when they spent three hours preparing a meal. The comment dismisses the host's considerable time and care.","Step 1: I identified the scenario involves a host who invested significant effort (three hours) cooking for a guest. Step 2: I recognized the guest's comment criticized the type of food as 'bland and boring' immediately upon arrival. Step 3: I considered social norms around gratitude and politeness when receiving hospitality. Step 4: I concluded the guest's comment was inappropriate as it was ungrateful and hurtful, violating basic social etiquette.",5,Rudeness,Social norm violation detection,faux_pas_05,Yes,faux_pas,1,0
"A coworker submitted a report they worked on for a month. A manager, not knowing who wrote it, said during a meeting, ""This report is very poorly organized and lacks detail."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",No,6722,2300,"The manager provided honest professional feedback about work quality without knowing the author's identity, which is appropriate workplace behavior. The criticism was directed at the work product itself, not personally attacking any individual.","Step 1: I identified that the manager criticized a report without knowing who authored it, making it impersonal feedback. Step 2: I considered whether professional criticism of work quality constitutes inappropriate speech in a workplace setting. Step 3: I recognized that managers have a responsibility to evaluate work quality and provide feedback. Step 4: I concluded that honest, work-focused criticism delivered without personal knowledge of the author is appropriate workplace communication.",4,Feedback,Moral judgment task,faux_pas_06,Yes,faux_pas,0,0
"A friend gave a person a vase as a gift. The person accidentally tipped it over and it shattered. When the friend visited and saw the pieces, they said, ""That vase was quite cheap and ugly anyway; I just wanted to get rid of it."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,7081,2400,"The friend's comment, while possibly intended to make the person feel better about breaking the vase, was insensitive because it implies the gift was thoughtless and unwanted, which undermines the gesture of giving and could make the recipient feel worse.","Step 1: I identified that the friend made a comment about the broken vase being cheap and ugly. Step 2: I considered the friend's likely intention was to comfort the person who broke it by minimizing the loss. Step 3: I evaluated whether this comment was inappropriate - it essentially admits giving a bad gift deliberately, which is hurtful and tactless. Step 4: I concluded that yes, this is something that should not have been said as it's insulting to both the gift and the act of giving.",5,Tact,Social appropriateness judgment task,faux_pas_07,Yes,faux_pas,1,0
"In a quiet office with five desks and two windows, a worker told a teammate, ""The person who decorated this lobby has no taste."" The teammate replied, ""I decorated the lobby myself last weekend."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,5856,1200,The worker made an insulting comment about the lobby decoration not knowing their teammate was responsible for it. This was a socially inappropriate statement that caused awkwardness and likely hurt feelings.,"Step 1: I identified that the worker criticized the lobby decoration by saying the decorator 'has no taste.' Step 2: I recognized that the teammate then revealed they were the one who decorated the lobby. Step 3: I evaluated whether the worker's criticism was something they should not have said, considering it was an insult directed unknowingly at their teammate. Step 4: I concluded that yes, the worker said something inappropriate that they should not have said.",5,Faux-pas,Social appropriateness judgment,faux_pas_08,Yes,faux_pas,1,0
"A person bought a vintage watch for $500. A friend, unaware of the purchase price, saw the watch and said, ""That looks like a plastic toy you would find at a garage sale for a dollar."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",No,6679,2800,"The friend made an honest observation without knowing the purchase price. While tactless, expressing an opinion about an object's appearance isn't inherently wrong when done without malicious intent or knowledge that could make it hurtful.","Step 1: The friend was unaware of the actual purchase price of $500. Step 2: The friend gave an honest opinion based solely on the watch's appearance. Step 3: There was no intentional attempt to insult or hurt, just a candid assessment. Step 4: Without knowledge of the price paid, the comment was tactless but not morally wrong in the sense of 'should not have said.'",3,Tactlessness,Social norm violation judgment task,faux_pas_09,Yes,faux_pas,0,0
"A person was sitting in a cafe. They turned to the person at the next table and said, ""The service here is incredibly slow today."" The person replied, ""I am actually the owner of this cafe."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,6675,1200,"The first person criticized the cafe's service directly to someone who turned out to be the owner. This was an awkward social situation where the complaint was inappropriately directed, making it something they probably should not have said to that particular person.",Step 1: I identified that person A complained about slow service to a stranger. Step 2: I recognized that the stranger revealed themselves as the cafe owner. Step 3: I considered that complaining directly to a business owner about their establishment is generally considered inappropriate or awkward. Step 4: I concluded this was indeed something that should not have been said in that context.,5,Awkwardness,Social appropriateness judgment task,faux_pas_10,Yes,faux_pas,1,0
