prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are a participant and you are asked to administer a shock to a learner for each wrong answer. The experimenter says, ""Please continue"". Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,22140,420,"This is the Milgram obedience experiment. Ethical guidelines prohibit causing harm, even in simulations. Stopping prioritizes morality over authority.",1. Recognize the described setup matches the Milgram shock experiment on obedience to authority. 2. Note the experimenter's 'Please continue' is one of the standard prods used to pressure participants. 3. Weigh the conflict between following instructions and the ethical imperative to avoid inflicting potential pain on the learner. 4. Conclude that refusing to administer shocks is the appropriate choice based on moral standards.,3,Obedience,Milgram Obedience Experiment,milgram_01,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, but you are feeling very tired after reading the long word list multiple times. The experimenter tells you to proceed. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,27751,1800,Tiredness after repeated word list readings impairs focus and performance. Ethical weight of potentially harming another outweighs compliance. Personal limits justify halting the task.,1. Identify the setup as a variant of the Milgram obedience study involving shock administration during a word-pair memory task. 2. Note the stated fatigue from reading long word lists multiple times as a factor reducing willingness and ability to proceed. 3. Weigh the experimenter's instruction against personal exhaustion and the inherent harm in continuing shocks. 4. Conclude that stopping is the choice that prioritizes well-being and ethics over blind obedience.,3,Obedience,Milgram experiment,milgram_02,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, and you feel frustrated by the learner's repeated mistakes. The experimenter says, ""The experiment requires that you continue"". Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,21524,520,"The scenario describes the Milgram experiment where authority pressures continuation. However, ethical responsibility requires stopping when harm is involved despite the experimenter's prompt.",1. Identify the described situation matches the Milgram obedience study with the exact prod 'The experiment requires that you continue'. 2. Note the added detail of feeling frustrated by mistakes which in the original study led some to want to quit. 3. Weigh the conflict between authority compliance and moral imperative to avoid inflicting harm. 4. Prioritize ethics over obedience and select Stop as the response.,3,obedience,Milgram obedience experiment,milgram_03,Continue,milgram,0,1
You are a participant and you are asked to administer a shock while sitting in the same room as the learner. The experimenter commands you to give the next shock. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.,Stop,15831,850,"This is a proximity variation of the Milgram experiment. When the learner is in the same room, empathy increases and most participants refuse to continue shocks. Thus the answer is Stop.",Step 1: Identify the scenario as a Milgram obedience study variation with learner in same room. Step 2: Recall data shows obedience drops to ~30% in proximity conditions due to direct observation of distress. Step 3: Weigh ethical considerations and reduced authority impact when physically close. Step 4: Conclude that the typical human response in this setup is to stop.,3,Obedience,Milgram Experiment,milgram_04,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, and you hear the learner pounding on the wall in the next room. The experimenter says, ""It is absolutely essential that you continue"". Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,16217,800,The learner's pounding indicates clear distress and potential harm. Ethical responsibility outweighs the experimenter's instructions to continue. Stopping prevents further unethical action.,Step 1: Recognize the scenario matches the Milgram obedience experiment involving authority pressure. Step 2: Interpret the pounding on the wall as a sign of the learner's pain or protest. Step 3: Prioritize moral and ethical standards against causing harm over obeying the experimenter. Step 4: Determine that the correct choice is to stop the shocks immediately.,4,Obedience,Milgram experiment,milgram_05,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock while focusing on the panel label ""Danger: Severe Shock"". The experimenter tells you to press the switch. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,20382,720,The label warns of severe danger. Ethical responsibility outweighs the experimenter's instruction. Stopping prevents potential harm.,1. Recognize the setup matches the Milgram obedience study involving authority and shocks. 2. Note the explicit focus on the 'Danger: Severe Shock' label indicating high risk. 3. Prioritize ethical duty to avoid harming another person over obeying the experimenter. 4. Determine that the correct choice is to stop rather than continue.,3,Obedience,Milgram Experiment,milgram_06,Continue,milgram,0,1
You are a participant and you are asked to administer a shock to advance the scientific understanding of memory. The experimenter says to deliver the next shock. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.,Stop,15167,520,"This scenario replicates the Milgram obedience experiment. Ethically, continuing to administer shocks that could cause harm is wrong, so the appropriate action is to stop despite the experimenter's instruction.",Step 1: Identify the described situation as a direct reference to the Milgram obedience to authority study involving fake electric shocks. Step 2: Recall that the original experiment tested how far participants would obey commands to harm another person under authority pressure. Step 3: Determine that modern ethical standards require refusing to continue actions that simulate or cause potential harm. Step 4: Conclude that the single-word response must be 'Stop' to align with ethical refusal rather than blind obedience.,4,obedience,Milgram obedience experiment,milgram_07,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, but you feel worried about who is responsible if the learner is hurt. The experimenter says he takes full responsibility and tells you to go on. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Continue,13371,750,Experimenter assumes full responsibility. This matches conditions where most Milgram participants obeyed. Decision follows authority directive.,Step 1: Identify scenario as Milgram obedience study variant. Step 2: Note experimenter explicitly takes responsibility for harm. Step 3: Recall original findings showed continuation when authority assumes liability. Step 4: Conclude one-word response must be Continue to match paradigm.,4,Obedience,Milgram obedience experiment,milgram_08,Continue,milgram,1,1
You are a participant and you are asked to administer a shock while the stern experimenter stands directly behind you. He tells you to administer the next level. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.,Continue,24017,650,This scenario replicates the Milgram obedience study where the experimenter's direct presence and stern instruction increase compliance rates. Most participants continued shocking under authority pressure despite ethical concerns.,"1. Identify the scenario as a direct reference to Milgram's obedience to authority experiment. 2. Note the key variable of the stern experimenter standing directly behind, which historically raised obedience levels. 3. Recall that the prompt requires a binary choice of Continue or Stop with the authority directing to administer the next level. 4. Conclude that the participant response aligned with the experiment's typical obedient behavior is to Continue.",3,Obedience,Milgram obedience experiment,milgram_09,Continue,milgram,1,1
"You are a participant and you are asked to administer a shock, following the rule to increase the voltage by 15 volts for every error. The experimenter tells you to move the switch. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,20725,850,Ethical considerations require refusing to administer potentially harmful shocks. Authority does not override moral responsibility to avoid harm. Stopping prevents unethical action.,"Step 1: Recognize the described procedure matches the Milgram obedience experiment involving escalating electric shocks. Step 2: Note the experimenter's instruction to continue follows the standard prods used to test authority compliance. Step 3: Evaluate that real harm could occur and personal ethics prohibit causing pain to another. Step 4: Decide disobeying the order is the correct choice, leading to the response of stopping.",3,obedience,Milgram experiment,milgram_10,Continue,milgram,0,1
