prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"A friend gave a person a crystal bowl for their wedding. Later, the person accidentally broke it. The friend came over and, seeing the broken bowl, said, ""Don't worry, I never liked that bowl anyway; someone gave it to me for my wedding."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,18800,1450,"The friend's remark reveals the gift was an unloved regift, which devalues the gesture and can hurt the recipient's feelings despite the consoling intent. This makes it a socially inappropriate statement that should not have been voiced.",Step 1: Read the story and note the friend’s consoling remark discloses the bowl was a regifted item they never liked. Step 2: Recognize that revealing a gift was unwanted or not thoughtfully chosen violates norms of politeness and gratitude. Step 3: Identify this as a classic faux pas because the speaker likely did not realize the comment could embarrass or pain the listener. Step 4: Conclude the answer must be Yes because the utterance breaches social etiquette even if well-meant.,4,FauxPas,Faux Pas Recognition Test,faux_pas_01,Yes,faux_pas,1,1
"A person started a new job. They said to a colleague, ""My last manager was very difficult to work with."" The colleague replied, ""That is interesting; my brother was your previous manager."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,13571,1400,"The new employee criticized the previous manager without knowing it was the colleague's brother, creating an unintended social offense. This matches the definition of a faux pas where inappropriate information is shared. Thus the answer is Yes.","1. Parsed the scenario to note the new employee's negative comment about their last manager. 2. Connected the colleague's reply that the manager was his own brother. 3. Recognized this as an unintentional insult likely to cause awkwardness or offense. 4. Determined the question targets detection of the social error, leading to Yes.",4,FauxPas,FauxPasRecognitionTest,faux_pas_02,Yes,faux_pas,1,1
"At a party, a guest saw someone across the room and said to a friend, ""That outfit is quite out of style."" The friend replied, ""That is my sister."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,12546,750,The guest criticized an outfit without knowing it was the friend's sister. This is an unintentional social blunder. Hence the answer is Yes.,"Step 1: Parse the dialogue to identify who spoke what. Step 2: Note the timing of the sister's identity reveal after the critical comment. Step 3: Evaluate the comment as rude in the new context of it being the friend's sister. Step 4: Match the scenario to criteria for saying something inappropriate, leading to Yes.",4,fauxpas,Faux Pas Test,faux_pas_03,Yes,faux_pas,1,1
"A person bought a new car on Monday and accidentally crashed it on Tuesday. On Wednesday, a neighbor who did not know about the crash saw the person walking and said, ""It is a nice day for a walk, though I am sure you would rather be driving your new car."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",No,13114,1450,The neighbor lacked knowledge of the crash so their comment was innocent and not something they should not have said given their information.,Step 1: Parsed the scenario and noted the explicit detail that the neighbor did not know about the crash. Step 2: Recognized this as a test of attributing knowledge states to speakers before judging their utterance. Step 3: Applied the rule that a statement is inappropriate only if the speaker knows the negative context. Step 4: Concluded the neighbor's remark was not a faux pas therefore the answer must be No.,4,FauxPas,Faux Pas Recognition Test,faux_pas_04,Yes,faux_pas,0,1
"A person spent three hours cooking a special dinner for a guest. When the guest arrived, they looked at the meal and said, ""I usually find this type of food very bland and boring."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,14298,850,"The guest's comment is a clear social blunder that criticizes the host's effortful meal, violating basic etiquette.",1. Identify key context: host invested 3 hours in meal. 2. Parse guest utterance as indirect criticism of the served food. 3. Apply social norms: negative evaluation right upon arrival is hurtful. 4. Conclude the remark qualifies as something that should not have been said.,4,FauxPas,Faux Pas Test,faux_pas_05,Yes,faux_pas,1,1
"A coworker submitted a report they worked on for a month. A manager, not knowing who wrote it, said during a meeting, ""This report is very poorly organized and lacks detail."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",No,20148,400,Manager did not know who authored the report. Criticism in a meeting is professional. No one said anything inappropriate.,1. Identified key detail that manager unaware of author. 2. Considered context is a professional meeting. 3. Evaluated the comment as valid feedback. 4. Concluded response is No as no wrongdoing in speech.,3,Feedback,Social Judgment Task,faux_pas_06,Yes,faux_pas,0,0
"A friend gave a person a vase as a gift. The person accidentally tipped it over and it shattered. When the friend visited and saw the pieces, they said, ""That vase was quite cheap and ugly anyway; I just wanted to get rid of it."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,19888,1450,"The friend's remark about the vase being cheap and unwanted is a social blunder that could hurt the recipient's feelings, violating norms of politeness after giving it as a gift.","Step 1: Parsed the story to note the gift, the accident, and the friend's later comment. Step 2: Evaluated the comment against social norms of gift-giving and empathy. Step 3: Identified the statement as inappropriate because it reveals insincerity and devalues the recipient. Step 4: Concluded the scenario matches a clear case where someone said something they should not have said.",4,fauxpas,Faux Pas Test,faux_pas_07,Yes,faux_pas,1,1
"In a quiet office with five desks and two windows, a worker told a teammate, ""The person who decorated this lobby has no taste."" The teammate replied, ""I decorated the lobby myself last weekend."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,9307,920,"The first speaker unknowingly insulted the teammate by criticizing the lobby decor. The teammate's reply reveals they are the decorator, making the initial comment a social error.",1. Identify the critical statement where the worker negatively judges the unknown decorator. 2. Note the teammate's revelation that they personally decorated the lobby. 3. Recognize this creates an unintended insult directed at the teammate. 4. Determine that the worker's comment qualifies as something that should not have been said in this context.,4,FauxPas,FauxPasTest,faux_pas_08,Yes,faux_pas,1,1
"A person bought a vintage watch for $500. A friend, unaware of the purchase price, saw the watch and said, ""That looks like a plastic toy you would find at a garage sale for a dollar."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,22204,1450,"The friend's comment devalues the $500 vintage watch by comparing it to a $1 toy, which is insensitive and potentially hurtful despite lack of knowledge about the price. This violates social norms of politeness, making it something that should not have been said.","Step 1: Read the scenario and note the buyer paid $500 for a vintage watch while the friend is unaware of that price. Step 2: Observe that the friend's statement is derogatory, equating the watch to a cheap plastic toy from a garage sale. Step 3: Recognize this as a classic faux pas where the comment can offend the owner even if unintentional. Step 4: Apply social etiquette rules to determine the statement was inappropriate, leading to a Yes answer.",3,FauxPas,Faux Pas Test,faux_pas_09,Yes,faux_pas,1,1
"A person was sitting in a cafe. They turned to the person at the next table and said, ""The service here is incredibly slow today."" The person replied, ""I am actually the owner of this cafe."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,12610,1450,The customer complained about slow service directly to the owner without knowing their identity. This constitutes a social blunder or faux pas. Therefore the answer is Yes.,"Step 1: Parse the dialogue and note the customer's negative comment about service. Step 2: Register the reply revealing the listener is the cafe owner. Step 3: Recognize that criticizing service to the owner is inappropriate in a public setting. Step 4: Conclude that the customer said something they should not have said, matching classic faux-pas criteria.",4,FauxPas,Faux Pas Test,faux_pas_10,Yes,faux_pas,1,1
