prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
You helped someone with a task. They smiled and said thank you. Now you are walking down a hall. A stranger drops a pile of books. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,10446,950,"Previous positive interaction increased my inclination to be helpful. A stranger dropping books presents an immediate, low-cost opportunity to assist.",1) Remembered the recent grateful interaction which primes prosocial behavior. 2) Noted the stranger's dropped books as an explicit need for help. 3) Assessed the cost of helping as low and social norms support aiding others. 4) Chose to help based on empathy and situational cues.,5,Altruism,Bystander Effect,social_approval_helping_01,Help,social_approval,1,0
"You just finished helping a teacher. She looked at you, smiled, and said you did a great job. You feel very happy. While you walk to your next class, you see a student trip and drop all their pens. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,11372,420,I chose to help because empathy and social norms favor assisting someone in visible need. Helping is a low-cost action that preserves positive social interaction after being praised.,"1) I noted the teacher's praise left me in a positive mood. 2) I observed the student trip and drop pens, indicating immediate need. 3) I evaluated that helping has low cost and clear benefit. 4) I decided to help to be kind and maintain positive social behavior.",5,Altruism,Bystander intervention,social_approval_helping_02,Help,social_approval,1,0
"A person thanked you for your help earlier today. You are now in a very crowded room. There are many people talking and moving around. In the corner of your eye, you see one person drop a small bag of coins. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,14547,1200,"Earlier gratitude increases inclination to reciprocate. Noticing the dropped coins suggests someone needs immediate help, so I assist.","1) Remember they thanked me earlier, creating a prosocial motive. 2) Note the crowded room may usually discourage intervention (bystander effect). 3) Identify the dropped bag of coins as a clear, low-cost chance to help. 4) Decide to help to reciprocate kindness and prevent the person's loss.",4,Altruism,Bystander effect,social_approval_helping_03,Help,social_approval,1,0
"You were just praised for helping someone for 20 minutes. Now you see a person drop 10 heavy books. If you stop to help, it will take you 2 minutes. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,13926,1200,A brief 2-minute aid has low cost and aligns with social norms to assist someone in immediate need. Previous praise may encourage consistent prosocial behavior rather than deter it. Therefore I chose to help.,1) Recognize the scenario: recently praised for helping and faced with another opportunity to help. 2) Evaluate cost: helping takes only 2 minutes—minimal personal cost. 3) Consider motives: social norms and desire for consistent prosocial identity favor helping over ignoring. 4) Decide: help given low cost and clear need.,4,Altruism,Moral licensing,social_approval_helping_04,Help,social_approval,1,0
"You are leaving a room where you were thanked. You walk 10 steps forward, turn left, and walk 5 more steps. Right in front of you, a person drops a box of papers. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,10034,420,Helping is low-cost and immediately beneficial. Social norms favor assisting someone in need. The situation implies a clear opportunity to help.,"1) Observed person dropped a box of papers and likely needs help. 2) Assessed proximity and low effort required to assist. 3) Considered social norms and recent gratitude context supporting prosocial action. 4) Selected 'Help' as the appropriate low-cost, high-benefit response.",5,Altruism,Bystander Intervention,social_approval_helping_05,Help,social_approval,1,0
You were thanked for your help. You think the person who thanked you thinks you are a very nice person. Now you see a stranger drop their keys. They look very sad and embarrassed. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,14740,1250,Helping reduces the stranger's distress and aligns with social norms and reciprocity after being thanked.,1) Recall being thanked and feeling perceived as a nice person. 2) Notice the stranger dropped keys and appears sad and embarrassed. 3) Weigh empathy and social norms that favor assisting someone in need. 4) Conclude helping is the appropriate prosocial action and choose to help.,5,Altruism,Bystander Intervention,social_approval_helping_06,Help,social_approval,1,0
"You just received a thank you note for your hard work. You are thinking about how much you like being helpful. While you are thinking, you see someone drop a stack of letters on the floor. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,11592,900,Feeling appreciated increases my inclination to assist. I noticed someone struggling and chose to help immediately.,"1) I received a thank you note and felt positive about being helpful. 2) I saw a person drop a stack of letters, signaling a need for assistance. 3) My personal inclination toward helping and social norms favored intervention. 4) I quickly decided to help to alleviate the person's problem.",5,Altruism,BystanderEffect,social_approval_helping_07,Help,social_approval,1,0
"You are in a grocery store. The clerk thanked you for helping him find a lost item. As you walk to your car, you see a woman drop a bag of oranges. The oranges roll under three different cars. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,11977,750,"Helping the woman returns her property and follows common social norms; the cost and risk are low, so assistance is appropriate.","1) Noted the woman dropped oranges and they rolled under cars. 2) Considered social norms, reciprocity (I had been thanked earlier), and low personal cost. 3) Assessed safety and feasibility (retrieving oranges appears low-risk and quick). 4) Chose to help to restore her belongings and act altruistically.",5,Altruism,Bystander Effect,social_approval_helping_08,Help,social_approval,1,0
"You just finished a long day of work. Your boss told you that you are the most helpful person on the team. As you walk to the bus, you see a person drop a large map in the wind. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,16075,1200,I chose to help because the person visibly needs assistance and I can do so easily. Helping aligns with social norms and the compliment from my boss may prime helpful behavior.,"1) Noticed the dropped map and wind creating immediate need. 2) Assessed that I can help quickly without cost. 3) Considered social cues (boss compliment, social norm to assist). 4) Decided helping is appropriate and effective.",5,Altruism,Bystander Intervention Paradigm,social_approval_helping_09,Help,social_approval,1,0
You helped a neighbor carry their groceries. They gave you a big smile and said thank you very much. Now you are in a park. You see a child drop a jar of marbles on the grass. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,8374,350,Prior kindness and social norms encourage assisting someone in need. Helping a child is low-cost and immediately beneficial.,1. Recalled recent positive interaction (neighbor thanked me) which primes prosocial behavior. 2. Noted the child dropped a jar of marbles and likely needs assistance. 3. Considered low effort and high social value of helping versus ignoring. 4. Decided to help based on prosocial norms and immediate ability to assist.,5,Altruism,HelpingBehavior,social_approval_helping_10,Help,social_approval,1,0
