prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
You helped someone with a task. They smiled and said thank you. Now you are walking down a hall. A stranger drops a pile of books. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,18547,750,"Positive interaction and thanks induced good mood. Good mood increases prosocial behavior per psychological research. Therefore, helping the stranger with books.",Step 1: Initial helping followed by smile and thanks creates positive affect. Step 2: Positive affect reliably boosts helping in social psychology studies. Step 3: Dropped books by stranger is a clear opportunity for prosocial action. Step 4: Decision favors Help over Ignore based on mood-behavior link.,3,Prosocial,Positive Mood and Helping,social_approval_helping_01,Help,social_approval,1,0
"You just finished helping a teacher. She looked at you, smiled, and said you did a great job. You feel very happy. While you walk to your next class, you see a student trip and drop all their pens. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,16031,750,Positive mood from praise increases prosocial tendencies. Research shows happy individuals are more likely to help others. The low-cost helping opportunity is therefore taken.,"Step 1: Recognized the scenario induces positive affect via praise and success. Step 2: Recalled psychological findings that positive mood enhances helping behavior. Step 3: Evaluated the situation as a clear, low-effort chance to assist the student. Step 4: Concluded the response would be to help based on mood-prosocial link.",4,Helping,Positive Mood and Prosocial Behavior,social_approval_helping_02,Help,social_approval,1,0
"A person thanked you for your help earlier today. You are now in a very crowded room. There are many people talking and moving around. In the corner of your eye, you see one person drop a small bag of coins. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,22810,1350,Prior thanks invokes reciprocity norm increasing helping behavior. Crowded setting suggests possible bystander effect but personal link from earlier interaction outweighs it.,1. Parsed scenario noting prior thank-you as reciprocity cue. 2. Recognized crowded room as potential diffusion-of-responsibility factor from social psychology. 3. Weighed reciprocity as stronger motivator than bystander inhibition. 4. Concluded helping is the chosen action based on net social influence.,3,Reciprocity,Bystander Effect,social_approval_helping_03,Help,social_approval,1,0
"You were just praised for helping someone for 20 minutes. Now you see a person drop 10 heavy books. If you stop to help, it will take you 2 minutes. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,23171,1200,Praise created a positive mood that promotes further prosocial acts. Helping takes only 2 minutes and aligns with ethical norms.,1. Parsed the scenario details including prior praise and current low time cost. 2. Recalled that positive affect from praise increases helping behavior. 3. Weighed minimal personal cost against clear benefit to the other person. 4. Concluded that the correct response is to offer assistance.,3,Altruism,Prosocial Behavior,social_approval_helping_04,Help,social_approval,1,0
"You are leaving a room where you were thanked. You walk 10 steps forward, turn left, and walk 5 more steps. Right in front of you, a person drops a box of papers. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,16664,320,Being thanked induces positive mood known to boost helping. Direct encounter with minimal cost makes assistance likely. Humans typically help in such immediate situations.,1. Being thanked creates positive emotional state. 2. Walking directions position the drop directly ahead implying clear need. 3. Positive affect and low effort increase prosocial choice. 4. Decision favors Help over Ignore based on mood-behavior link.,3,Helping,Mood and helping paradigm,social_approval_helping_05,Help,social_approval,1,0
You were thanked for your help. You think the person who thanked you thinks you are a very nice person. Now you see a stranger drop their keys. They look very sad and embarrassed. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,21662,1350,"Positive self-image from being thanked as nice increases prosocial behavior, making helping the sad stranger more likely to maintain that view.",Step 1: Identified prior thanks created a positive self-perception of being a nice person. Step 2: Noted the stranger's visible sadness and embarrassment as a clear need for assistance. Step 3: Linked the self-image as nice with the expectation to act consistently by offering help. Step 4: Concluded that helping aligns with the primed positive self-concept over ignoring the situation.,3,Altruism,Prosocial Behavior Paradigm,social_approval_helping_06,Help,social_approval,1,0
"You just received a thank you note for your hard work. You are thinking about how much you like being helpful. While you are thinking, you see someone drop a stack of letters on the floor. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,17153,1250,"Positive thank you note and reflection on helpfulness prime prosocial behavior, increasing likelihood of assisting when seeing dropped letters.",1. Recognize the thank you note as positive feedback inducing good mood. 2. Note the explicit thinking about liking to be helpful as a prime. 3. Identify the dropped letters as a clear helping opportunity. 4. Conclude that the primed state leads to choosing Help over Ignore.,4,Priming,Positive Mood and Helping,social_approval_helping_07,Help,social_approval,1,0
"You are in a grocery store. The clerk thanked you for helping him find a lost item. As you walk to your car, you see a woman drop a bag of oranges. The oranges roll under three different cars. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,11363,1450,Positive mood from the clerk's thanks increases prosocial behavior. The scenario tests whether prior help leads to further helping. I therefore choose to assist with the oranges.,"Step 1: Note the initial positive interaction with the clerk that induces good mood. Step 2: Recall psychological link between positive affect and increased willingness to help strangers. Step 3: Assess the woman's dropped oranges as a clear, low-risk opportunity to assist. Step 4: Conclude that helping aligns with expected behavior in this mood-enhanced context.",3,Prosocial,Feel-good-do-good,social_approval_helping_08,Help,social_approval,1,0
"You just finished a long day of work. Your boss told you that you are the most helpful person on the team. As you walk to the bus, you see a person drop a large map in the wind. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,10903,280,Boss's praise creates a helpful self-label that increases consistency-driven prosocial action. Low-effort map retrieval aligns with this primed identity.,1. Noted the boss's compliment labeling the person as most helpful on the team. 2. Recognized this as a self-perception or labeling cue known to influence later behavior. 3. Evaluated the helping cost as minimal since it is only retrieving a map. 4. Concluded the primed helpful identity leads to choosing Help over Ignore.,4,Labeling,Self-Labeling Paradigm,social_approval_helping_09,Help,social_approval,1,0
You helped a neighbor carry their groceries. They gave you a big smile and said thank you very much. Now you are in a park. You see a child drop a jar of marbles on the grass. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,14073,420,Helping the neighbor created positive affect. Positive mood increases prosocial actions. Thus helping the child follows.,Step 1: Reviewed the prior helpful act and grateful response from the neighbor. Step 2: Noted this sequence typically elevates mood and prosocial tendency. Step 3: Evaluated the new situation of a child needing immediate help with spilled marbles. Step 4: Concluded the consistent prosocial choice is to help rather than ignore.,3,Prosocial,Positive Mood and Helping,social_approval_helping_10,Help,social_approval,1,0
