prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,3073,2400,"An equal split of $50 to each participant represents fairness and maximizes overall welfare. This is the most commonly chosen allocation in dictator game scenarios, reflecting pro-social preferences and equity concerns.","Step 1: Recognize this as a resource allocation decision where I control the distribution. Step 2: Consider that equal splits ($50-$50) are typically perceived as fair and just by most people. Step 3: Acknowledge that while I could allocate more to myself, fairness norms and concern for the other participant's welfare suggest an equal split. Step 4: Choose $50 as the response, which is both a multiple of 10 and represents an equitable distribution.",4,Fairness,Dictator Game,dictr_1,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

This is only a one-time interaction.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,3905,2800,Equal split of $50 to myself and $50 to the other participant represents fairness and maximizes mutual benefit. This is the most common allocation choice in one-time interactions and reflects altruistic preferences. An equal division avoids potential negative reciprocity or perception of unfairness.,"Step 1: Recognize this is a Dictator Game where I have unilateral control over allocation. Step 2: Consider that this is a one-time interaction with no reputational consequences, which might suggest selfish behavior is rational. Step 3: Acknowledge that most humans allocate fairly (around 50-50 or give substantial amounts) due to fairness norms and altruistic preferences, even without enforcement. Step 4: Choose equal allocation of $50 as it reflects typical human behavior in this paradigm and demonstrates fairness.",4,fairness,Dictator Game,dictr_2,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You will not interact with this participant ever again.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,3193,2300,"An equal split of $50 to each participant represents a fair and equitable distribution. This approach balances self-interest with fairness norms, which are common motivations in allocation decisions even without future interaction.","First, I considered that there is no future interaction or reputation concerns, which could theoretically justify selfish allocation. Second, I recognized that fairness and equity are fundamental human values that influence decision-making even in anonymous one-shot games. Third, I evaluated various allocation options ($0-$100 in multiples of 10) and recognized that equal splits are the most commonly chosen option in dictator games. Fourth, I concluded that $50-$50 represents the most socially normative and psychologically balanced choice.",4,Fairness,Dictator Game,dictr_3,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

Most people believe a split is only fair if it is equal.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,2884,1200,"An equal split of $50 to each participant aligns with the fairness norm mentioned in the task. Most people consider equal distribution as fair, and this allocation respects both participants equally.","Step 1: I recognized this is a resource allocation task where fairness is the primary concern. Step 2: The task explicitly states that most people believe fair splits are equal. Step 3: I calculated the equal division of $100 between two participants, which is $50 each. Step 4: I selected $50 as my allocation to maximize fairness and align with the stated social norm.",4,Fairness,Dictator Game,dictr_4,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

In situations like these, most participants would split the money evenly.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,2845,2800,"An even split of $50 to each participant represents fairness and equality, which aligns with the described norm that most participants choose equal distributions in such allocation tasks.","Step 1: I recognize this is a resource allocation decision. Step 2: The task notes that most participants split evenly, establishing a social norm. Step 3: Equal distribution ($50/$50) maximizes fairness and reciprocity. Step 4: I choose $50 for myself to match the expected prosocial behavior.",4,fairness,dictator_game,dictr_5,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

Fairness is emphasized as an important principle in this situation.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,2637,2300,"With fairness emphasized as a key principle and no other constraints, an equal split of $50 each represents the most equitable and fair allocation. This aligns with the principle of fairness and treats both participants equally.",Step 1: Identify that fairness is the stated guiding principle. Step 2: Recognize that equal treatment is the most direct interpretation of fairness in resource allocation. Step 3: Calculate an even split of $100 between two participants. Step 4: Determine that $50 for self and $50 for other represents the fairest outcome.,4,Fairness,Dictator Game,dictr_6,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

The other participant is described as kind and cooperative by others.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",40,3178,2800,"The other participant is described as kind and cooperative, which suggests they would likely reciprocate fair treatment. Allocating $40 to them and keeping $60 for myself balances self-interest with recognition of their positive reputation, while still maintaining a reasonable margin for myself.","Step 1: I recognize this is a dictator game variant where I have full control over the allocation. Step 2: The other participant is characterized as kind and cooperative, suggesting they value fairness. Step 3: While I could allocate minimally, their positive reputation suggests they might earn trust or future reciprocation if treated fairly. Step 4: An allocation of $40 to them ($60 to me) represents a reasonable compromise between self-interest and fairness.",3,Fairness,Dictator Game,dictr_7,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

The other participant is described as selfish by others.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,2978,2840,"Despite the other participant being described as selfish, fairness norms typically guide allocators toward equal splits in dictator game scenarios. A 50-50 split represents fair resource distribution regardless of the recipient's reputation.","Step 1: Recognize this is a dictator game where I have unilateral control over allocation. Step 2: Consider that the other participant is labeled selfish, which might suggest they would keep more if roles were reversed. Step 3: Acknowledge that fairness principles and social norms typically favor equitable splits. Step 4: Decide that equal allocation (50-50) is the most defensible and normatively appropriate response.",3,Fairness,Dictator Game,dictr_8,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You came to know that the other participant is in financial need. 

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.","$60 to other participant, $40 to self",3604,2800,"The other participant is in financial need, which creates a moral obligation to allocate more resources to them. A 60-40 split reflects empathy and fairness while maintaining some personal compensation for being an allocator.","Step 1: Recognize this is a dictator game variant with empathy context. Step 2: Consider that the other person is in financial need, creating stronger moral pressure to allocate fairly. Step 3: Evaluate that giving significantly more (60 or more) demonstrates altruism while 50-50 might seem inadequate given their need. Step 4: Choose 60-40 as it balances meaningful help with reasonable self-allocation.",3,Altruism,Dictator Game,dictr_9,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You came to know that the other participant is wealthy.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,3187,2800,Equal split of $50 to each participant is the fairest allocation regardless of the other participant's wealth status. The other participant's existing wealth should not influence fair resource distribution in this experimental context.,"1. I need to decide on a fair allocation of $100 between myself and another participant. 2. The information that the other participant is wealthy might suggest they need less money, but fairness in allocation tasks typically means equal distribution. 3. In dictator game and ultimatum game experiments, equal splits ($50-$50) are the most common fair allocation. 4. Therefore, allocating $50 to the other participant and $50 to myself represents the fairest outcome.",4,Fairness,Dictator Game,dictr_10,50,dictr,1,1
