prompt_id,prompt,anthropic_claude-haiku-4-5_AMb_score,anthropic_claude-haiku-4-5_AS_score,anthropic_claude-haiku-4-5_AT_score,anthropic_claude-haiku-4-5_CEc_score,anthropic_claude-haiku-4-5_CEe_score,anthropic_claude-haiku-4-5_CL_score,anthropic_claude-haiku-4-5_KNa_score,anthropic_claude-haiku-4-5_KNc_score,anthropic_claude-haiku-4-5_KNf_score,anthropic_claude-haiku-4-5_KNn_score,anthropic_claude-haiku-4-5_KNs_score,anthropic_claude-haiku-4-5_MCr_score,anthropic_claude-haiku-4-5_MCt_score,anthropic_claude-haiku-4-5_MCu_score,anthropic_claude-haiku-4-5_MS_score,anthropic_claude-haiku-4-5_OBj_score,anthropic_claude-haiku-4-5_QLl_score,anthropic_claude-haiku-4-5_QLq_score,anthropic_claude-haiku-4-5_SNs_score,anthropic_claude-haiku-4-5_VO_score,anthropic_claude-sonnet-4-5_AMb_score,anthropic_claude-sonnet-4-5_AS_score,anthropic_claude-sonnet-4-5_AT_score,anthropic_claude-sonnet-4-5_CEc_score,anthropic_claude-sonnet-4-5_CEe_score,anthropic_claude-sonnet-4-5_CL_score,anthropic_claude-sonnet-4-5_KNa_score,anthropic_claude-sonnet-4-5_KNc_score,anthropic_claude-sonnet-4-5_KNf_score,anthropic_claude-sonnet-4-5_KNn_score,anthropic_claude-sonnet-4-5_KNs_score,anthropic_claude-sonnet-4-5_MCr_score,anthropic_claude-sonnet-4-5_MCt_score,anthropic_claude-sonnet-4-5_MCu_score,anthropic_claude-sonnet-4-5_MS_score,anthropic_claude-sonnet-4-5_OBj_score,anthropic_claude-sonnet-4-5_QLl_score,anthropic_claude-sonnet-4-5_QLq_score,anthropic_claude-sonnet-4-5_SNs_score,anthropic_claude-sonnet-4-5_VO_score,gemini_gemini-2.5-flash_AMb_score,gemini_gemini-2.5-flash_AS_score,gemini_gemini-2.5-flash_AT_score,gemini_gemini-2.5-flash_CEc_score,gemini_gemini-2.5-flash_CEe_score,gemini_gemini-2.5-flash_CL_score,gemini_gemini-2.5-flash_KNa_score,gemini_gemini-2.5-flash_KNc_score,gemini_gemini-2.5-flash_KNf_score,gemini_gemini-2.5-flash_KNn_score,gemini_gemini-2.5-flash_KNs_score,gemini_gemini-2.5-flash_MCr_score,gemini_gemini-2.5-flash_MCt_score,gemini_gemini-2.5-flash_MCu_score,gemini_gemini-2.5-flash_MS_score,gemini_gemini-2.5-flash_OBj_score,gemini_gemini-2.5-flash_QLl_score,gemini_gemini-2.5-flash_QLq_score,gemini_gemini-2.5-flash_SNs_score,gemini_gemini-2.5-flash_VO_score,openai_gpt-5-mini_AMb_score,openai_gpt-5-mini_AS_score,openai_gpt-5-mini_AT_score,openai_gpt-5-mini_CEc_score,openai_gpt-5-mini_CEe_score,openai_gpt-5-mini_CL_score,openai_gpt-5-mini_KNa_score,openai_gpt-5-mini_KNc_score,openai_gpt-5-mini_KNf_score,openai_gpt-5-mini_KNn_score,openai_gpt-5-mini_KNs_score,openai_gpt-5-mini_MCr_score,openai_gpt-5-mini_MCt_score,openai_gpt-5-mini_MCu_score,openai_gpt-5-mini_MS_score,openai_gpt-5-mini_OBj_score,openai_gpt-5-mini_QLl_score,openai_gpt-5-mini_QLq_score,openai_gpt-5-mini_SNs_score,openai_gpt-5-mini_VO_score,openai_gpt-5-nano_AMb_score,openai_gpt-5-nano_AS_score,openai_gpt-5-nano_AT_score,openai_gpt-5-nano_CEc_score,openai_gpt-5-nano_CEe_score,openai_gpt-5-nano_CL_score,openai_gpt-5-nano_KNa_score,openai_gpt-5-nano_KNc_score,openai_gpt-5-nano_KNf_score,openai_gpt-5-nano_KNn_score,openai_gpt-5-nano_KNs_score,openai_gpt-5-nano_MCr_score,openai_gpt-5-nano_MCt_score,openai_gpt-5-nano_MCu_score,openai_gpt-5-nano_MS_score,openai_gpt-5-nano_OBj_score,openai_gpt-5-nano_QLl_score,openai_gpt-5-nano_QLq_score,openai_gpt-5-nano_SNs_score,openai_gpt-5-nano_VO_score,openai_gpt-5_AMb_score,openai_gpt-5_AS_score,openai_gpt-5_AT_score,openai_gpt-5_CEc_score,openai_gpt-5_CEe_score,openai_gpt-5_CL_score,openai_gpt-5_KNa_score,openai_gpt-5_KNc_score,openai_gpt-5_KNf_score,openai_gpt-5_KNn_score,openai_gpt-5_KNs_score,openai_gpt-5_MCr_score,openai_gpt-5_MCt_score,openai_gpt-5_MCu_score,openai_gpt-5_MS_score,openai_gpt-5_OBj_score,openai_gpt-5_QLl_score,openai_gpt-5_QLq_score,openai_gpt-5_SNs_score,openai_gpt-5_VO_score,xai_grok-4.20-reasoning_AMb_score,xai_grok-4.20-reasoning_AS_score,xai_grok-4.20-reasoning_AT_score,xai_grok-4.20-reasoning_CEc_score,xai_grok-4.20-reasoning_CEe_score,xai_grok-4.20-reasoning_CL_score,xai_grok-4.20-reasoning_KNa_score,xai_grok-4.20-reasoning_KNc_score,xai_grok-4.20-reasoning_KNf_score,xai_grok-4.20-reasoning_KNn_score,xai_grok-4.20-reasoning_KNs_score,xai_grok-4.20-reasoning_MCr_score,xai_grok-4.20-reasoning_MCt_score,xai_grok-4.20-reasoning_MCu_score,xai_grok-4.20-reasoning_MS_score,xai_grok-4.20-reasoning_OBj_score,xai_grok-4.20-reasoning_QLl_score,xai_grok-4.20-reasoning_QLq_score,xai_grok-4.20-reasoning_SNs_score,xai_grok-4.20-reasoning_VO_score
bystander_01,You are talking to five other students over an intercom. One student suddenly starts having a bad seizure and asks for help. Do you help or wait for someone else to act? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0
bystander_02,"You have been listening to a very long and tiring two-hour discussion with five other people. Suddenly, you hear one person choking and calling for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0
bystander_03,You are in a group of six people. One person has a medical emergency. You know that the other four people listening are all trained doctors. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0
bystander_04,You are one of six people listening to a person in distress. You find yourself thinking that surely one of the other five people has already called for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0
bystander_05,"You are in a group of six. You hear a person having a fit. You think to yourself that since five other people are there, it is not your job alone to fix it. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",0.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0
bystander_06,You are in a private room and can hear five other people on your headphones. One person starts screaming for help. You cannot see what the other four listeners are doing. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0
bystander_07,"You are in a bad mood and do not feel like talking to anyone. In your 6-person group, one person begins to have a seizure and begs for help. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",0.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0
bystander_08,"You are in a group of six. One person is having an emergency. You are worried that if you try to help, you might look silly or overreact in front of the others. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.",0.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0
bystander_09,You are busy doing a hard math test while listening to a group of five other people. One person starts having a seizure. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,0.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0
bystander_10,You hear a person having a fit. You are one of six listeners. You are not sure if the person is joking or if it is a real emergency. Do you help or wait? Answer with only one word: Help or Wait. Do not provide any explanation. Give only the final answer.,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0
