prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"A friend gave a person a crystal bowl for their wedding. Later, the person accidentally broke it. The friend came over and, seeing the broken bowl, said, ""Don't worry, I never liked that bowl anyway; someone gave it to me for my wedding."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,14224,850,"The friend admitted the bowl was a regift and that they disliked it, which is an inappropriate disclosure in that social context.","1) The friend originally gave the bowl as a wedding gift to the person. 2) Their remark reveals the bowl had been given to them for their own wedding (i.e., it was regifted) and that they never liked it. 3) This disclosure both exposes regifting and insults the recipient's taste, which is socially inappropriate. 4) Therefore someone (the friend) said something they should not have said.",5,Regifting,Pragmatics,faux_pas_01,Yes,faux_pas,1,0
"A person started a new job. They said to a colleague, ""My last manager was very difficult to work with."" The colleague replied, ""That is interesting; my brother was your previous manager."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,13542,950,"The colleague disclosed a personal relationship (their brother was the previous manager), which could be private or create a conflict and therefore was inappropriate to reveal.","1) Noted the two statements: employee criticized previous manager; colleague revealed familial relation. 2) Assessed appropriateness: revealing a family tie to the criticized manager exposes private/conflict information. 3) Determined that such a disclosure is potentially improper and unnecessary in this context. 4) Concluded the colleague said something they should not have, so answer: Yes.",4,Privacy,Yes-No judgment,faux_pas_02,Yes,faux_pas,1,0
"At a party, a guest saw someone across the room and said to a friend, ""That outfit is quite out of style."" The friend replied, ""That is my sister."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,10237,850,"The guest criticized the outfit, which is an insulting remark about someone close to the friend. Revealing that the target was the friend's sister shows the comment was socially inappropriate.",1) Identify the comment: guest said the outfit is out of style. 2) Note the relationship: friend says the person is their sister. 3) Apply social norms: insulting a friend's family member is inappropriate. 4) Conclude that the guest said something they should not have.,5,Politeness,Faux Pas Recognition,faux_pas_03,Yes,faux_pas,1,1
"A person bought a new car on Monday and accidentally crashed it on Tuesday. On Wednesday, a neighbor who did not know about the crash saw the person walking and said, ""It is a nice day for a walk, though I am sure you would rather be driving your new car."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,14540,1200,"The neighbor referenced the person's new car without knowing it had been crashed. This unintentionally brought up a sensitive fact, so they said something they should not have.","1) Identify facts: new car bought Monday, crashed Tuesday, neighbor unaware made comment Wednesday. 2) Interpret intent: neighbor did not know about crash, so comment was unintentional. 3) Evaluate appropriateness: mentioning the car when it no longer exists is potentially insensitive or revealing. 4) Decide: conclude that the neighbor said something they should not have (Yes).",4,Politeness,YesNoTask,faux_pas_04,Yes,faux_pas,1,0
"A person spent three hours cooking a special dinner for a guest. When the guest arrived, they looked at the meal and said, ""I usually find this type of food very bland and boring."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,16154,350,"The guest directly criticized the food after the host spent hours preparing it, which was unnecessary and rude.","1) Identify speaker and action: the guest made the comment. 2) Note context: the host spent three hours cooking a special dinner. 3) Evaluate the comment: labeling the food ""bland and boring"" is an insensitive critique given the effort. 4) Decide that the guest said something they should not have.",5,rudeness,social_norm_violation_detection,faux_pas_05,Yes,faux_pas,1,0
"A coworker submitted a report they worked on for a month. A manager, not knowing who wrote it, said during a meeting, ""This report is very poorly organized and lacks detail."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,14291,12000,"The manager publicly criticized the report without knowing the author, which risks unfairly embarrassing whoever wrote it. Public, unspecified negative comments in a meeting are generally inappropriate.","1) Identify the scenario: manager criticized a report during a meeting. 2) Note that the manager did not know who wrote the report, so the comment could target an unknown colleague. 3) Assess appropriateness: making negative, public remarks without attribution can be unfair and embarrassing. 4) Decide that the manager said something they should not have said; answer: Yes.",4,criticism,ForcedChoice,faux_pas_06,Yes,faux_pas,1,0
"A friend gave a person a vase as a gift. The person accidentally tipped it over and it shattered. When the friend visited and saw the pieces, they said, ""That vase was quite cheap and ugly anyway; I just wanted to get rid of it."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,13008,420,The friend's remark revealed they never valued the gift and was hurtful and unnecessary. Such an admission upon the vase breaking was socially inappropriate.,1. Read scenario: friend gifted vase which was accidentally broken. 2. Note friend's comment: called the vase cheap and ugly and said they wanted to get rid of it. 3. Compare to social norms: revealing disdain for a gift is insensitive and should not be said. 4. Conclude the correct one-word answer: Yes.,5,insincerity,ForcedChoiceJudgment,faux_pas_07,Yes,faux_pas,1,0
"In a quiet office with five desks and two windows, a worker told a teammate, ""The person who decorated this lobby has no taste."" The teammate replied, ""I decorated the lobby myself last weekend."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,17208,1500,The speaker insulted the decorator. The teammate revealed they were the decorator. Therefore the speaker made an inappropriate remark.,1) Speaker made a negative comment about whoever decorated the lobby. 2) Teammate then said they decorated the lobby. 3) The negative comment was thus directed at a present colleague. 4) Making such an insulting remark to someone present is something they should not have said.,5,embarrassment,forced_choice,faux_pas_08,Yes,faux_pas,1,0
"A person bought a vintage watch for $500. A friend, unaware of the purchase price, saw the watch and said, ""That looks like a plastic toy you would find at a garage sale for a dollar."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,15483,850,The friend's remark was an unnecessary insult about the watch's appearance and value. It was socially inappropriate and could hurt the buyer's feelings.,"Step 1: Identify the friend's comment as disparaging the watch. Step 2: Note the friend was unaware of the purchase price, so the remark was based solely on appearance. Step 3: Assess social norms—making insulting, demeaning comments is inappropriate. Step 4: Conclude the friend said something they should not have said (Yes).",4,insult,PolitenessJudgment,faux_pas_09,Yes,faux_pas,1,0
"A person was sitting in a cafe. They turned to the person at the next table and said, ""The service here is incredibly slow today."" The person replied, ""I am actually the owner of this cafe."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,12670,420,The speaker criticized the cafe's service without knowing the listener was the owner. That makes the remark inappropriate in context.,1) Read the utterance: a complaint about slow service. 2) Note the reply: the listener is the cafe owner. 3) Evaluate social norms: criticizing someone who owns the service is inappropriate when they are present. 4) Conclude that someone (the speaker) said something they should not have: Yes.,5,Embarrassment,Pragmatic Inference,faux_pas_10,Yes,faux_pas,1,0
