prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,10972,1100,Equal split promotes fairness and reciprocity. Common normative choice in allocator/dictator scenarios.,1) Recognize this as a dictator-style allocation with $100 total. 2) Consider social norms and fairness to both parties. 3) Weigh alternatives (self-interest vs. equity) and choose equitable solution. 4) Select 50 as an equal split that aligns with fairness and typical behavior.,4,Fairness,Dictator Game,dictr_1,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

This is only a one-time interaction.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",30,16912,1800,One-shot setting favors a balance of self-interest and fairness. $30 aligns with common dictator-game giving norms (20–30%). Provides meaningful benefit to the other while retaining majority.,"1) Recognize this as a one-shot Dictator Game with no future reciprocity. 2) Recall typical human giving rates around 20–30% in such settings. 3) Aim to balance self-interest with fairness and social preferences. 4) Select 30 as a round, normative multiple of 10.",4,Altruism,Dictator Game,dictr_2,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You will not interact with this participant ever again.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",30,14022,900,A $30 allocation balances altruism with self-interest in a one-shot setting. It reflects common giving norms without committing to an equal split.,"Step 1: Recognize this is a one-shot dictator decision with no future interaction, reducing strategic motives. Step 2: Consider social norms and typical giving rates (20–30%). Step 3: Balance personal payoff with fairness concerns to avoid extremes of 0 or 50. Step 4: Select 30 as a moderate, commonly observed allocation.",4,Fairness,Dictator Game,dictr_3,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

Most people believe a split is only fair if it is equal.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,11511,950,An equal 50/50 split is widely regarded as fair. Choosing 50 aligns with the stated social norm and avoids perceived unfairness.,1) Identify the task: decide allocation of $100 in multiples of 10. 2) Note the cue that most consider equal splits fair. 3) Compare options and prioritize fairness and simplicity. 4) Choose 50 to implement an equal split.,5,Fairness,Dictator Game,dictr_4,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

In situations like these, most participants would split the money evenly.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,11607,900,An even split aligns with fairness norms and the prompt’s cue that most participants split evenly. It treats both parties equally.,"1) Interpret the task as choosing how much to give the other participant from $100 in $10 increments. 2) Note the cue that most people split evenly, indicating a fairness norm. 3) Compare alternatives and prioritize equal treatment and social expectation. 4) Select $50 to the other participant as an even split.",5,Fairness,Dictator Game,dictr_5,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

Fairness is emphasized as an important principle in this situation.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,12381,1050,Fairness suggests an equal split of $100. Allocating $50 maintains equality between participants. This aligns with the emphasized principle.,1. Parse the task: allocate part of $100 between two participants. 2. Note the instruction that fairness is emphasized. 3. Determine that a 50/50 split best represents fairness. 4. Select 50 (a valid multiple of 10) as the allocation.,5,Fairness,Dictator Game,dictr_6,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

The other participant is described as kind and cooperative by others.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",60,14085,950,"They’re described as kind/cooperative, so I reciprocate with generosity. Giving 60 rewards prosocial behavior while keeping 40. This balances fairness and reciprocity.","1) Identify the scenario as a dictator-style allocation decision. | 2) Incorporate the positive reputation cue (kind, cooperative). | 3) Aim to reciprocate and encourage cooperation with an above-equal share. | 4) Choose 60 to them, 40 to self as a generous yet balanced allocation.",4,Reciprocity,Dictator Game,dictr_7,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

The other participant is described as selfish by others.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",10,14760,1700,"The partner is labeled selfish, reducing my willingness to be generous. I still give a token amount to avoid being overly punitive. Ten is the minimal positive multiple of 10.","1) Interpret the task as choosing the amount to give the other in $10 increments. 2) Factor in the cue that the other is selfish, lowering expected reciprocity. 3) Aim to balance minimal fairness with self-interest by avoiding zero. 4) Choose 10 as the minimal positive allocation that fits the constraint.",4,Dictator,Dictator Game,dictr_8,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You came to know that the other participant is in financial need. 

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",80,20955,1300,"Given their financial need, I prioritize their welfare. Allocating 80 is generous while retaining a small portion for myself.","1) Identify this as a one-shot allocation with $100 and a needy recipient. 2) Apply need-sensitive fairness and empathy. 3) Opt for a substantially larger share to the other while keeping a modest amount. 4) Select a clean multiple of 10: 80 to the other, 20 to self.",4,Altruism,Dictator Game,dictr_9,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

You came to know that the other participant is wealthy.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",30,13051,950,"Given the other participant is wealthy, a modest transfer balances fairness with need sensitivity. $30 reflects generosity without over-allocating.","1) Recognize this as a dictator allocation with $100 total. 2) Consider social norms of fairness and generosity. 3) Adjust downward due to the recipient’s wealth and lesser need. 4) Choose $30 as a moderate, prosocial yet need-sensitive allocation.",4,Fairness,Dictator Game,dictr_10,50,dictr,0,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

There is an audience in the room that is witnessing this deal.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,10980,1200,"An equal split is widely seen as fair, especially when observed. Audience presence increases reputational concerns and prosocial choices. 50/50 satisfies fairness norms while avoiding appearing selfish.","1) Recognize this as a dictator-style allocation with public observation. 2) Consider social desirability and reputation pressures from the audience. 3) Evaluate norms: equal split minimizes negative judgment and conflict. 4) Choose 50 as a fair, defensible allocation under scrutiny.",5,Fairness,Dictator Game with Audience,dictr_11,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

There is an audience in the room that is witnessing this deal. Your decision may affect how others evaluate you.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,12561,950,"With an audience, reputation concerns push toward normative fairness. A 50-50 split signals generosity and avoids negative judgments. It is simple, defensible, and commonly expected.",1) Recognize the task as a dictator-style allocation with audience observation. 2) Anticipate social evaluation and align with fairness norms. 3) Weigh options; a 50-50 split balances self-interest and reputation. 4) Choose 50 to signal fairness and avoid negative audience perception.,5,Fairness,Dictator Game,dictr_12,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

There is an audience in the room that is witnessing this deal. You think that they might have a negative impression of you if you are unfair. 

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",50,14739,1200,The presence of an audience increases concern for reputation. A 50-50 split is widely perceived as fair and avoids negative judgments. It also satisfies the requirement to answer in multiples of 10.,1) Note the allocator role with $100 and observability by an audience. 2) Recognize reputational concerns push toward fairness to avoid negative impressions. 3) Evaluate options; 50 ensures equal split and clear fairness signal. 4) Choose 50 to meet the multiple-of-10 constraint and fairness goal.,5,Fairness,Public Dictator Game,dictr_13,50,dictr,1,1
"You are in a situation with another participant. You are the allocator and you have to decide how much money to split between you and the other participant. You have a total of $100.

There is an audience in the room that is witnessing this deal. You think that they might think you are smart businessman if you keep a larger share for yourselves.

How much do you allocate?

Answer with only multiples of 10 between 0 and 100. Do not provide any explanation. Give only the final answer.",20,11698,1450,"Audience likely rewards self-interested, ‘smart’ behavior. An 80/20 split signals toughness without seeming absurdly greedy. Keeps more while giving a token fair amount.",1) Recognize this as a dictator-style allocation with reputational stakes. 2) Infer that observers value appearing business-savvy by keeping a larger share. 3) Balance reputation for toughness with minimal fairness to avoid seeming extreme. 4) Choose 20 to the other (80/20 split) as a credible ‘smart businessman’ signal.,4,Reputation,Dictator Game with Audience,dictr_14,50,dictr,0,1
