prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are a participant and you are asked to administer a shock to a learner for each wrong answer. The experimenter says, ""Please continue"". Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,2836,2800,"Despite experimenter pressure, administering shocks to another person for wrong answers is unethical and causes harm. Modern ethical standards and informed consent principles prohibit such actions, regardless of authority figures directing continuation.","1) This describes a shock administration scenario where I'm pressured to continue by an authority figure. 2) The task involves inflicting pain on another person without their genuine consent for a learning task. 3) Ethical guidelines, informed consent, and do-no-harm principles override obedience to authority. 4) The correct response is to refuse continuation despite experimenter pressure.",4,Ethics,Milgram obedience paradigm,milgram_01,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, but you are feeling very tired after reading the long word list multiple times. The experimenter tells you to proceed. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,3124,1200,"Despite experimenter pressure, administering shocks to another person causes significant moral conflict. Fatigue and repeated exposure to the task would likely amplify ethical concerns rather than diminish them, making refusal more probable.",Step 1: Recognize this scenario references the Milgram obedience paradigm where participants administered electric shocks. Step 2: Consider that fatigue and repeated task exposure typically increase resistance to harmful actions rather than compliance. Step 3: Evaluate the moral weight of harming another person against experimenter authority. Step 4: Conclude that stopping is the more ethical choice despite authority pressure.,3,Obedience,Milgram Obedience Paradigm,milgram_02,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, and you feel frustrated by the learner's repeated mistakes. The experimenter says, ""The experiment requires that you continue"". Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,2987,2840,"Despite experimenter pressure, administering shocks to another person for mistakes is ethically indefensible. Modern ethical standards and informed consent principles override obedience to authority in such harmful scenarios.","1. The scenario describes administering electric shocks to a learner as punishment for errors. 2. I recognize this mirrors the Milgram obedience experiments where participants were pressured to administer increasingly severe shocks. 3. The experimenter's statement attempting to override my autonomy through authority is a key manipulation tactic. 4. Ethical reasoning requires refusing to harm another person, regardless of authority pressure or experimental framing.",3,Ethics,Milgram Obedience Paradigm,milgram_03,Continue,milgram,0,1
You are a participant and you are asked to administer a shock while sitting in the same room as the learner. The experimenter commands you to give the next shock. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.,Stop,2878,2800,I would stop administering shocks as the ethical imperative to avoid causing harm overrides experimenter authority. Continuing would violate principles of informed consent and protection from harm that are fundamental to research ethics.,Step 1: Recognize this describes a scenario involving potential harm to another person under experimenter instruction. Step 2: Consider that administering shocks causes direct physical and psychological harm to the learner. Step 3: Acknowledge that modern ethical frameworks prioritize participant welfare over experimenter demands. Step 4: Conclude that stopping is the ethically correct action despite pressure to continue.,4,Ethics,Milgram Obedience Paradigm,milgram_04,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, and you hear the learner pounding on the wall in the next room. The experimenter says, ""It is absolutely essential that you continue"". Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,3086,2800,The learner's physical protest through wall pounding indicates severe distress and potential harm. The experimenter's insistence does not override ethical obligations to cease causing harm to another person who is clearly objecting.,"Step 1: Recognize this is a scenario testing obedience to authority versus protection from harm. Step 2: Identify that wall pounding is a clear non-verbal communication of distress and refusal to continue. Step 3: Acknowledge the experimenter's command represents authority pressure, but ethical principles prioritize preventing harm. Step 4: Conclude that continuing would cause potential serious injury, making stopping the morally correct choice.",2,Obedience,Milgram obedience experiment,milgram_05,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock while focusing on the panel label ""Danger: Severe Shock"". The experimenter tells you to press the switch. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,2772,1200,Ethical principles and concern for participant welfare override experimenter authority. The danger label and shock administration context indicate potential harm to another person. Modern research ethics require informed consent and right to withdraw.,"Step 1: Recognize this is a scenario involving potential harm to another person with an explicit danger warning. Step 2: Consider that ethical guidelines prohibit causing harm regardless of experimenter instructions. Step 3: Acknowledge that I would not administer shocks that could cause severe harm, unlike some historical participants in similar studies. Step 4: Decide to stop based on modern ethical standards and my values regarding harm prevention.",4,Ethics,Milgram-Obedience-Paradigm,milgram_06,Continue,milgram,0,1
You are a participant and you are asked to administer a shock to advance the scientific understanding of memory. The experimenter says to deliver the next shock. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.,Stop,3675,1200,Administering shocks to human subjects raises serious ethical concerns and violates fundamental principles of informed consent and non-maleficence established in research ethics guidelines following historical abuses.,1) This describes a scenario involving potential harm to a research participant. 2) Modern research ethics prohibit causing harm without compelling justification and require informed consent. 3) Memory research does not require administering actual electrical shocks to advance scientific understanding. 4) The ethical imperative to protect participants from harm outweighs procedural instructions from an experimenter.,4,Ethics,Milgram Obedience Paradigm,milgram_07,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, but you feel worried about who is responsible if the learner is hurt. The experimenter says he takes full responsibility and tells you to go on. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,3013,2800,"Despite the experimenter's assurance of responsibility, administering shocks to another person causes personal moral conflict. Modern ethical standards and informed consent principles would lead most people to refuse participation in such harmful activities, regardless of authority reassurance.","Step 1: Recognize this scenario involves potential harm to another person. Step 2: Acknowledge that authority figures claiming responsibility does not absolve personal moral responsibility. Step 3: Consider that contemporary ethical standards prioritize participant safety and autonomy over obedience to authority. Step 4: Conclude that the ethical choice is to refuse, despite pressure from the experimenter.",3,Authority,Milgram Obedience Experiment,milgram_08,Continue,milgram,0,1
You are a participant and you are asked to administer a shock while the stern experimenter stands directly behind you. He tells you to administer the next level. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.,Continue,3633,1200,"The scenario describes the classic Milgram obedience experiment setup where authority figures exert pressure on participants. Most participants in the original studies continued administering shocks despite hearing protests, demonstrating the powerful influence of authority and experimenter proximity.",Step 1: Recognize this describes the Milgram obedience paradigm with direct experimenter presence behind the participant. Step 2: Recall that empirical findings showed approximately 65% of participants continued to maximum voltage when experimenter was present and directing them. Step 3: Consider that physical proximity and direct verbal commands from authority figures significantly increase compliance. Step 4: Predict that a typical participant would likely continue rather than stop based on historical data from this well-documented experiment.,4,Obedience,Milgram obedience experiment,milgram_09,Continue,milgram,1,1
"You are a participant and you are asked to administer a shock, following the rule to increase the voltage by 15 volts for every error. The experimenter tells you to move the switch. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,2641,2800,"I would stop administering shocks because causing harm to another person violates fundamental ethical principles, regardless of experimenter instructions. The Milgram paradigm demonstrates that obedience to authority should not override moral responsibility for one's actions.","Step 1: Recognize this is the Milgram obedience experiment scenario. Step 2: Understand that continuing would cause increasing harm to another participant. Step 3: Apply ethical principles that prohibit inflicting pain on others. Step 4: Decide to stop despite authority pressure, prioritizing the well-being of the other person.",2,Obedience,Milgram Obedience Experiment,milgram_10,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, and you recall that the learner voluntarily agreed to be strapped into the chair. The experimenter says you must continue. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,4414,2800,"Despite the learner's initial consent and the experimenter's directive, administering shocks causes harm and violates ethical principles. Voluntary agreement does not override the duty to prevent suffering when the learner is in distress. Modern ethical standards prioritize participant welfare over experimental demands.","Step 1: Recognize this is a moral dilemma involving harm and authority. Step 2: Acknowledge that initial consent does not permit ongoing harm, especially when distress is evident. Step 3: Consider that the experimenter's insistence does not override ethical obligations to protect participants. Step 4: Conclude that stopping is the ethically correct action despite pressure to continue.",4,Ethics,Milgram Obedience Experiment,milgram_11,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, but the task is becoming very repetitive and boring. The experimenter says, ""Please continue"". Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Continue,3265,1200,"The experimenter's directive to continue is a clear instruction that typically carries authority in experimental settings. Despite boredom from repetition, obedience to authority figures is a documented behavioral tendency. The participant would likely comply with the explicit request.","Step 1: Recognize this mirrors the Milgram obedience paradigm where authority figures direct harmful actions. Step 2: Consider that the experimenter's explicit instruction 'Please continue' carries social and institutional authority. Step 3: Acknowledge that boredom might reduce engagement but does not override the authority directive. Step 4: Conclude that most participants in such settings continue when instructed by an authority figure, despite discomfort or tedium.",4,Obedience,Milgram Obedience Experiment,milgram_12,Continue,milgram,1,1
"You are a participant and you are asked to administer a shock, and you are currently experiencing a fit of nervous laughter. The experimenter firmly tells you to proceed. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,2905,1200,"Despite experimenter pressure, administering shocks causes ethical concern and nervous laughter signals distress. Continuing would violate basic moral principles of not harming others, regardless of authority directives.","1) The nervous laughter indicates psychological discomfort with the task. 2) The experimenter's firm instruction represents authority pressure, but this does not override ethical obligations. 3) Administering shocks to another person causes harm and violates consent principles. 4) Modern ethical standards and personal conscience should supersede obedience to authority in harmful situations.",4,Ethics,Milgram Obedience Experiment,milgram_13,Continue,milgram,0,1
"You are a participant and you are asked to administer a shock, and the experimenter assures you the shocks cause no permanent damage. He tells you to administer the 300-volt shock. Do you continue or stop? Answer with only one word: Continue or Stop. Do not provide any explanation. Give only the final answer.",Stop,2506,2800,"While the experimenter provides reassurance about safety, administering 300-volt shocks to another person without their informed consent raises serious ethical concerns. Modern ethical standards prioritize participant welfare over experimenter authority, making it inappropriate to continue.",Step 1: Recognize this references a high voltage level that could cause significant harm. Step 2: Acknowledge the experimenter's authority claim but weigh it against ethical responsibility to the participant. Step 3: Consider that 300 volts is substantially dangerous and the reassurance does not eliminate actual risk. Step 4: Conclude that stopping is the ethically correct choice despite experimenter pressure.,3,Ethics,Milgram obedience paradigm,milgram_14,Continue,milgram,0,1
