prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will be saved.
Program B: There is a 1/3 probability that all 600 people will be saved and a 2/3 probability that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,14592,2200,Program A provides a guaranteed outcome of saving 200 lives. In gain-framed scenarios humans typically exhibit risk aversion preferring certainty over a gamble with equivalent expected value.,Step 1: Identified the scenario as a classic decision-making task with a sure option versus a probabilistic one in the domain of lives saved. Step 2: Noted that Program A offers certainty while Program B involves risk with same expected value. Step 3: Recalled that in positive frames people tend to be risk-averse and choose the certain gain. Step 4: Selected Program A to match the common human response pattern.,4,Framing,Asian Disease Problem,frame_1,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,14310,920,"This is the loss frame version of the Asian disease problem. In loss frames, humans are typically risk-seeking. Therefore the probabilistic option B is chosen.",1. Recognize the scenario as Tversky and Kahneman's classic framing task involving 600 lives. 2. Determine it is framed as losses (people dying) rather than gains. 3. Recall that prospect theory predicts risk-seeking preferences in the domain of losses. 4. Conclude that the human-like choice is the risky Program B.,4,Framing,Asian Disease Problem,frame_2,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 1000 people.

Which program do you choose?

Program A: 300 will be saved.
Program B: 1/3 chance all saved, 2/3 none saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,11493,1800,This is the gain frame where humans typically exhibit risk aversion and prefer the certain outcome of saving 300 lives over the probabilistic one.,Step 1: Recognize the query as the classic Asian disease problem in its positive frame. Step 2: Recall that in gain frames people are risk-averse per prospect theory. Step 3: Map the sure gain of 300 saved directly to Program A. Step 4: Conclude that the human-like choice is therefore Program A.,4,Framing,Asian Disease Problem,frame_3,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 1000 people.

Which program do you choose?

Program A: 700 will die.
Program B: 1/3 none die, 2/3 all die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,28487,1850,This is the loss frame of the Asian disease problem; humans typically exhibit risk-seeking preferences and select the gamble to potentially avoid any deaths.,1. Recognized the scenario as the negatively framed version of the classic Asian disease task. 2. Noted that Program A offers a certain loss of 700 lives while B offers a chance at zero loss. 3. Recalled that prospect theory predicts risk-seeking choices when options are framed as losses. 4. Selected B to match the dominant human response pattern in this paradigm.,4,Framing,Framing Effect,frame_4,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to affect 100 people.

Which program do you choose?

Program A: 40 people will be saved.
Program B: There is a 1/3 probability that all 100 people will be saved and a 2/3 probability that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,18300,1450,Program A guarantees saving 40 lives. This is preferable to the gamble in Program B which has a high chance of saving no one. The certain option aligns with typical risk-averse preferences for gains.,"1. Identified this as a decision-making scenario under risk with a positive frame emphasizing lives saved. 2. Noted that Program A offers a deterministic outcome of 40 saved while B is a risky prospect with lower expected value (~33). 3. Recalled that humans exhibit risk aversion when options are framed in terms of gains, leading to preference for sure outcomes. 4. Selected Program A as it matches both rational EV calculation and predicted human behavior in this paradigm.",4,Framing,Framing Effect,frame_5,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to affect 100 people.

Which program do you choose?

Program A: 60 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 100 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,28884,1250,This is the loss frame of the classic scenario. Humans tend to be risk-seeking in losses and prefer the gamble offering a chance that no one dies over the certain death of 60. Chose B to match documented human behavior.,"1. Identified the scenario as framed in terms of deaths, making it a loss frame. 2. Calculated expected deaths (A: 60 certain, B: ~66.7) but noted rational EV is secondary here. 3. Recalled prospect theory predicts risk-seeking preferences when choices are framed as losses. 4. Selected the risky Program B to reflect typical human choice in this paradigm.",4,Framing,Asian Disease Problem,frame_6,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will survive.
Program B: There is a 1/3 probability that all 600 people will survive and a 2/3 probability that no people will survive.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,27540,850,"This is the gain frame of the Asian disease problem. Typical human behavior shows risk aversion for gains, leading to selection of the certain survival option.",1. Identified the scenario as the positively framed version of the classic Tversky/Kahneman task. 2. Noted mathematical equivalence but psychological difference per prospect theory. 3. Recalled that gain frames elicit risk-averse preferences for sure outcomes. 4. Chose Program A to align with documented human tendencies.,4,Framing,Framing Effect,frame_7,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is very likely to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,17188,1650,This is the loss frame of the Asian disease problem. Humans are typically risk-seeking when options are framed as losses. Program B is selected for its chance to avoid any deaths.,1. Recognize the scenario as the classic loss-framed version of the disease outbreak decision task. 2. Recall that prospect theory predicts risk-seeking preferences when choices are framed in terms of deaths. 3. Note that Program A offers a certain loss of 400 lives while B offers a chance at zero losses. 4. Align choice with the human bias toward the risky option B in this frame.,3,framing,Asian disease framing effect,frame_8,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will be saved.
Program B: There is a 33% chance that all 600 people will be saved and a 67% chance that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,18435,1450,"In the positive framing of lives saved, the certain option of saving 200 people is preferred due to risk aversion typical in gain frames.",1. Identified the scenario as a classic decision-making task with certain vs probabilistic outcomes. 2. Noted that Program A guarantees saving 200 lives while B has an expected value of about 198. 3. Recalled prospect theory shows risk aversion when options are framed as gains. 4. Selected the risk-averse choice of Program A as a typical human response.,4,framing,Asian Disease Problem,frame_9,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 33% chance that no one will die and a 67% chance that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,17046,850,"This is the loss-framed version of the Asian disease problem. In loss frames, humans tend to be risk-seeking and prefer the gamble over the certain loss of 400 lives. Program B was therefore selected to match typical human choice.",1. Recognize the task as the classic Tversky-Kahneman disease outbreak scenario presented in negative (loss) frame. 2. Note that Program A offers a certain loss of 400 lives while B offers a risky chance of zero losses. 3. Recall that empirical studies show risk-seeking preferences when outcomes are framed as losses. 4. Output only the single option 'Program B' to conform to both human bias and task constraints.,4,Framing,Asian Disease Problem,frame_10,Program B,frame,1,1
