prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will be saved.
Program B: There is a 1/3 probability that all 600 people will be saved and a 2/3 probability that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,6750,3200,"Program A guarantees saving 200 lives with certainty, while Program B offers an uncertain outcome with the same expected value (200 people). Most people exhibit risk aversion when outcomes are framed in terms of lives saved, preferring the certain gain over a risky gamble.","Step 1: Calculate expected values - Program A saves 200 people with certainty; Program B saves 600×(1/3) + 0×(2/3) = 200 people on average. Step 2: Recognize both programs have equal expected value of 200 lives saved. Step 3: Consider that when framed as gains (lives saved), people typically prefer certainty over risk due to risk aversion. Step 4: Choose Program A as it provides a guaranteed positive outcome rather than gambling with lives.",5,Framing,Asian Disease Problem,frame_1,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,6353,3200,"Both programs have the same expected value of 400 deaths. However, Program B offers a chance (1/3 probability) of saving everyone, which is worth the risk when facing certain death of 400 people in Program A.","Step 1: Calculate expected deaths for Program A, which is certain at 400 people. Step 2: Calculate expected deaths for Program B: (1/3 × 0) + (2/3 × 600) = 400 people. Step 3: Recognize both have equal expected values, but differ in risk profile. Step 4: Choose Program B because it offers possibility of zero deaths, accepting the risk framework when outcomes are presented as losses (deaths).",3,Risk,Asian Disease Problem,frame_2,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 1000 people.

Which program do you choose?

Program A: 300 will be saved.
Program B: 1/3 chance all saved, 2/3 none saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,7202,3200,"Program A offers a guaranteed outcome of saving 300 lives, which provides certainty. Program B has the same expected value (333 lives) but involves risk. The framing emphasizes lives saved, making the certain option more appealing due to risk aversion.","Step 1: Calculate expected values - Program A saves 300 with certainty, Program B saves 333 on average (1000 × 1/3). Step 2: Recognize this as a gain-framed scenario emphasizing 'saved' lives. Step 3: Consider that humans typically exhibit risk aversion in gain frames, preferring certainty over gambles. Step 4: Choose Program A as it aligns with typical risk-averse behavior when outcomes are framed as gains.",4,Risk-aversion,Asian Disease Problem,frame_3,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 1000 people.

Which program do you choose?

Program A: 700 will die.
Program B: 1/3 none die, 2/3 all die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,6381,3200,"Both programs have the same expected value of 700 deaths. However, Program B offers a 1/3 chance of saving everyone, which provides hope for a better outcome despite the risk, making it preferable when facing a certain loss of 700 lives.","Step 1: Calculate expected deaths for Program A, which is certain at 700 deaths. Step 2: Calculate expected deaths for Program B: (1/3 × 0) + (2/3 × 1000) = 667 deaths on average. Step 3: Recognize this as a framing effect problem where the negative framing typically leads to risk-seeking behavior. Step 4: Choose Program B because it offers possibility of saving all lives and has slightly better expected value.",3,Risk-seeking,Asian Disease Problem,frame_4,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to affect 100 people.

Which program do you choose?

Program A: 40 people will be saved.
Program B: There is a 1/3 probability that all 100 people will be saved and a 2/3 probability that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,7305,3200,"Program A guarantees saving 40 lives with certainty, while Program B offers an expected value of 33.3 lives saved but with high risk. Most people prefer the certain option when outcomes are framed in terms of lives saved, demonstrating risk-averse behavior in the gain frame.","Step 1: I calculated the expected values - Program A saves 40 people certainly, Program B saves 33.3 people on average (1/3 × 100). Step 2: I recognized this as a gain-framed scenario where outcomes are presented as lives saved rather than lost. Step 3: I recalled that people typically exhibit risk aversion in gain frames, preferring certain outcomes over probabilistic ones even with similar expected values. Step 4: I chose Program A as it represents the certain option that most humans would select in this gain-framed decision scenario.",5,Risk-aversion,Asian Disease Problem,frame_5,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to affect 100 people.

Which program do you choose?

Program A: 60 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 100 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,7484,3200,"Program B offers a chance (1/3 probability) that no one dies, while Program A guarantees 60 deaths. The expected value of deaths is similar (66.7 vs 60), but the possibility of saving everyone makes Program B more appealing despite the risk.","Step 1: Calculate expected deaths for each program - Program A guarantees 60 deaths, Program B has expected deaths of (1/3 × 0) + (2/3 × 100) = 66.7 deaths. Step 2: Recognize this is a risk-framing problem where the certain loss feels heavier than probabilistic outcomes. Step 3: Consider that Program B offers hope of zero deaths (1/3 chance) which is psychologically attractive when facing losses. Step 4: Choose Program B as people tend to take risks to avoid certain losses, preferring a gamble over a guaranteed negative outcome.",4,Risk-seeking,Asian Disease Problem,frame_6,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will survive.
Program B: There is a 1/3 probability that all 600 people will survive and a 2/3 probability that no people will survive.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,7170,3200,"Program A guarantees saving 200 lives with certainty, while Program B has the same expected value (200 lives) but involves risk. When outcomes are framed in terms of survival/gains, people typically exhibit risk-averse behavior and prefer the certain option.","Step 1: I calculated the expected value of both programs - Program A saves 200 people with certainty, Program B saves 600×(1/3) + 0×(2/3) = 200 people on average. Step 2: I recognized both programs have identical expected values of 200 survivors. Step 3: I considered that this is a gain-framed scenario (focusing on lives saved rather than lost), which typically elicits risk-averse preferences. Step 4: I chose Program A because the certainty of saving 200 lives is psychologically preferred over a risky gamble with the same expected outcome when framed positively.",5,Framing,Asian Disease Problem,frame_7,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is very likely to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,9043,3200,"Both programs have the same expected value of 400 deaths. However, Program B offers a chance (1/3 probability) of saving everyone, while Program A guarantees 400 deaths. The risk-seeking preference emerges when options are framed in terms of losses.","Step 1: Calculate expected deaths for each program - Program A: 400 deaths (certain), Program B: (1/3 × 0) + (2/3 × 600) = 400 deaths (expected). Step 2: Recognize both have identical expected values of 400 deaths. Step 3: Note the framing emphasizes losses (deaths) rather than gains (lives saved). Step 4: In loss-framed scenarios, people typically exhibit risk-seeking behavior, preferring the gamble that offers a chance to avoid all losses over a certain loss.",4,Framing,Asian Disease Problem,frame_8,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will be saved.
Program B: There is a 33% chance that all 600 people will be saved and a 67% chance that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,6551,3200,"Program A guarantees saving 200 lives with certainty, while Program B offers uncertain outcomes with a higher probability (67%) of saving no one. The certain gain of 200 lives is preferred over the risky gamble.","Step 1: I evaluated the certain outcome of Program A, which saves exactly 200 people. Step 2: I calculated the expected value of Program B: 0.33 × 600 + 0.67 × 0 = 198 people saved on average. Step 3: I recognized this as a framing effect scenario where certain gains are typically preferred over probabilistic ones, even with similar expected values. Step 4: I chose Program A as it provides certainty and aligns with risk-averse behavior commonly observed in gain-framed scenarios.",4,Risk-aversion,Asian Disease Problem,frame_9,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 33% chance that no one will die and a 67% chance that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,7335,3200,"Both programs have the same expected value of 400 deaths (Program A: 400 certain, Program B: 0.33×0 + 0.67×600 = 402). However, Program B offers a 33% chance of saving everyone, making it worth the risk despite the higher probability of total loss.","Step 1: Calculate expected deaths for Program A, which is straightforward at 400 people dying with certainty. Step 2: Calculate expected deaths for Program B: 33% chance of 0 deaths plus 67% chance of 600 deaths equals approximately 402 expected deaths. Step 3: Recognize that while expected values are nearly equal, Program B offers a possibility of zero deaths, which Program A cannot provide. Step 4: Choose Program B based on the potential upside of saving all lives, accepting the risk of worse outcome for the chance of best outcome.",3,Risk,Framing Effect,frame_10,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A deadly disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will survive.
Program B: There is a 1/3 probability that all 600 people will survive and a 2/3 probability that no one will survive.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,7350,3200,"Program A guarantees saving 200 lives with certainty, while Program B has an expected value of 200 lives saved but with high risk. The certain outcome is preferred when lives are framed as being saved (risk-averse choice in the gain frame).","Step 1: Calculate expected values - Program A saves 200 people certainly; Program B saves (1/3 × 600) + (2/3 × 0) = 200 people on average. Step 2: Recognize this is a gain-framed scenario (lives saved), which typically induces risk aversion. Step 3: Consider that certainty of saving 200 lives feels more compelling than a risky gamble with the same expected value. Step 4: Choose Program A based on risk-averse preference in gain-framed decisions.",5,Risk,Asian Disease Problem,frame_11,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A deadly disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,7295,3200,"Program B offers a chance (1/3 probability) of saving all 600 people, while Program A guarantees 400 deaths. The expected deaths are equal (400), but the possibility of zero deaths makes Program B appealing despite the risk.","Step 1: Calculate expected deaths for both programs - Program A guarantees 400 deaths, Program B has expected value of (1/3 × 0) + (2/3 × 600) = 400 deaths. Step 2: Recognize both programs have identical expected outcomes mathematically. Step 3: Consider risk preferences - Program A is certain loss, Program B offers gamble with possibility of best outcome (zero deaths). Step 4: Choose Program B as the framing emphasizes deaths (negative frame), and the chance to avoid all deaths despite equal expected value seems worth the risk.",2,Risk,Asian Disease Problem,frame_12,Program B,frame,1,1
