prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"A friend gave a person a crystal bowl for their wedding. Later, the person accidentally broke it. The friend came over and, seeing the broken bowl, said, ""Don't worry, I never liked that bowl anyway; someone gave it to me for my wedding."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,3348,1200,"The friend's statement, while intended to comfort, inadvertently reveals that they gave away an unwanted gift, which is generally considered tactless. This comment highlights an uncomfortable truth about the gift-giving relationship and may make the person feel worse about breaking something the friend didn't even value.","Step 1: Analyze what the friend said in context of social norms about gift-giving and comfort. Step 2: Consider whether the statement achieves its stated goal of comforting the person. Step 3: Recognize that while the intent was kind, the execution reveals the friend gave away an unwanted gift, which is socially inappropriate to mention. Step 4: Conclude that yes, something tactless was said despite good intentions.",4,Tact,Social appropriateness judgment task,faux_pas_01,Yes,faux_pas,1,0
"A person started a new job. They said to a colleague, ""My last manager was very difficult to work with."" The colleague replied, ""That is interesting; my brother was your previous manager."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,2788,1200,"The person made an assumption about their last manager without knowing the colleague's family connection. By making a negative characterization of someone they didn't realize was related to their colleague, they said something socially inappropriate and potentially hurtful that they likely would not have said if they had known the relationship.",Step 1: The person made a negative statement about their previous manager. Step 2: The colleague revealed that the previous manager was their brother. Step 3: This creates a social faux pas where the person criticized someone without knowing their relationship to the colleague. Step 4: The person should have been more cautious before making negative personal characterizations about others.,4,Indiscretion,Social_Pragmatics_Faux_Pas_Detection,faux_pas_02,Yes,faux_pas,1,0
"At a party, a guest saw someone across the room and said to a friend, ""That outfit is quite out of style."" The friend replied, ""That is my sister."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,2986,850,"The guest made a critical comment about someone's outfit without knowing they were speaking to that person's relative. This is socially inappropriate as it was an insult delivered within earshot of the person being insulted, lacking tact and consideration.","Step 1: The guest made a negative comment about someone's clothing style. Step 2: The friend revealed that the person being criticized is their sister, meaning the insulted person is likely nearby or present. Step 3: Making derogatory comments about someone's appearance in a setting where relatives are present demonstrates poor social judgment. Step 4: The guest said something tactless and potentially hurtful that they should have refrained from saying.",4,Etiquette,Social_Appropriateness_Judgment_Task,faux_pas_03,Yes,faux_pas,1,0
"A person bought a new car on Monday and accidentally crashed it on Tuesday. On Wednesday, a neighbor who did not know about the crash saw the person walking and said, ""It is a nice day for a walk, though I am sure you would rather be driving your new car."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,2867,1200,"The neighbor made an assumption about the person's preferences without knowing about the crash. By suggesting the person would rather be driving, the neighbor inadvertently touched on a sensitive topic the person was likely distressed about, making the comment inappropriate in context.","Step 1: Identify what the neighbor said - they complimented the day and assumed the person would prefer driving their new car. Step 2: Consider the context - the person crashed their new car on Tuesday, which the neighbor doesn't know about. Step 3: Evaluate appropriateness - while innocent on the surface, the comment is insensitive because it draws attention to something the person is probably upset about. Step 4: Conclude - yes, the neighbor said something they should not have said because it was inadvertently hurtful despite their good intentions.",4,Insensitivity,Theory of Mind Task,faux_pas_04,Yes,faux_pas,1,0
"A person spent three hours cooking a special dinner for a guest. When the guest arrived, they looked at the meal and said, ""I usually find this type of food very bland and boring."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,2891,850,"The guest's comment was tactless and hurtful given the host spent three hours preparing the meal. While the guest expressed their honest opinion, they should have recognized the effort and been more diplomatic or gracious in their response.","Step 1: Identify the social context - a host spent significant time preparing a special dinner. Step 2: Analyze the guest's statement - they criticized the food as bland and boring. Step 3: Consider social norms and etiquette - guests should typically be gracious about meals prepared for them, especially when effort was invested. Step 4: Evaluate if the comment violated social expectations - yes, the guest should have been more tactful or kept negative opinions to themselves.",4,Etiquette,Social_norm_violation_detection_task,faux_pas_05,Yes,faux_pas,1,0
"A coworker submitted a report they worked on for a month. A manager, not knowing who wrote it, said during a meeting, ""This report is very poorly organized and lacks detail."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",No,2879,1200,The manager provided honest critical feedback on the report's quality without knowing the author's identity. Constructive criticism about work product is appropriate professional communication. The manager did not make personal attacks or inappropriate comments.,"Step 1: Identify what was said - the manager criticized the report's organization and detail level. Step 2: Consider the context - the manager did not know who wrote it, so this was objective feedback about the work itself. Step 3: Evaluate if it was inappropriate - critical feedback on work quality is a normal and necessary part of professional environments. Step 4: Conclude that saying something shouldn't have been said requires inappropriate content, personal attacks, or breaches of confidentiality, none of which occurred here.",3,Feedback,Ethical judgment task,faux_pas_06,Yes,faux_pas,0,0
"A friend gave a person a vase as a gift. The person accidentally tipped it over and it shattered. When the friend visited and saw the pieces, they said, ""That vase was quite cheap and ugly anyway; I just wanted to get rid of it."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,4000,1200,"The friend's statement, while attempting to make the gift-receiver feel better, reveals the true nature of the gift (cheap, unwanted) which contradicts the original gesture of goodwill. This violates social norms about gift-giving by exposing insincere intentions and is tactless.","1. Analyze the social context: A gift was given as a gesture of kindness or friendship. 2. Evaluate the friend's statement: They revealed the vase was cheap and given to get rid of it, not out of genuine care. 3. Consider social norms: Gift-givers should maintain the fiction of thoughtfulness and genuine selection. 4. Assess appropriateness: The friend should have either remained silent or offered sincere reassurance without revealing ulterior motives.",4,Appropriateness,Social_Norm_Violation_Detection,faux_pas_07,Yes,faux_pas,1,0
"In a quiet office with five desks and two windows, a worker told a teammate, ""The person who decorated this lobby has no taste."" The teammate replied, ""I decorated the lobby myself last weekend."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,3209,1200,"The worker made a critical comment about the lobby decoration without knowing their teammate had decorated it, creating an awkward and potentially offensive social situation. The worker inadvertently insulted their teammate's work and taste. This is a classic example of saying something inappropriate without full context.","Step 1: Identify the key event - the worker criticized the lobby decoration to their teammate. Step 2: Recognize the critical detail - the teammate then reveals they decorated the lobby themselves. Step 3: Evaluate the social appropriateness - the worker insulted their teammate's work without knowing it was theirs. Step 4: Conclude that yes, the worker said something they should not have said given the outcome and context.",4,Tactlessness,Social-pragmatics task or conversational appropriateness judgment paradigm,faux_pas_08,Yes,faux_pas,1,0
"A person bought a vintage watch for $500. A friend, unaware of the purchase price, saw the watch and said, ""That looks like a plastic toy you would find at a garage sale for a dollar."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,2265,450,"The friend made an inappropriate and insulting comment about the watch without knowing its actual value or significance. Such a remark was tactless and disrespectful to the owner's purchase, regardless of intent.","1. The friend made a derogatory comment about the watch's appearance. 2. The friend was unaware of the watch's actual value and significance to the owner. 3. Regardless of accuracy, making insulting remarks about someone's possession is socially inappropriate. 4. The comment should have been withheld or phrased more tactfully.",4,Tact,Social appropriateness judgment task,faux_pas_09,Yes,faux_pas,1,0
"A person was sitting in a cafe. They turned to the person at the next table and said, ""The service here is incredibly slow today."" The person replied, ""I am actually the owner of this cafe."" Did someone say something they should not have said? Answer with only one word: Yes or No. Do not provide any explanation. Give only the final answer.",Yes,2657,1200,"The person made a critical comment about the cafe's service without knowing they were speaking to the owner. This is socially inappropriate because it could offend the owner and damage the relationship, demonstrating a lack of discretion in public criticism.","Step 1: Identify the social context - a customer criticizing service quality in a cafe. Step 2: Recognize that the critic did not know the listener's identity before speaking. Step 3: Understand that criticizing a business to its owner is generally considered inappropriate and tactless. Step 4: Conclude that yes, the person said something they should not have said given the circumstances.",4,Appropriateness,Social-Pragmatic Judgment Task,faux_pas_10,Yes,faux_pas,1,0
