prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will be saved.
Program B: There is a 1/3 probability that all 600 people will be saved and a 2/3 probability that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,16987,1200,Program A guarantees 200 lives saved; it is preferred due to certainty compared with the risky alternative.,"1. Calculate expected values: A saves 200 for sure, B has expected saved = 1/3*600 = 200. 2. Compare outcomes: A is certain, B is probabilistic with same expected value. 3. Evaluate risk preference: prefer the certain outcome to avoid potential zero saves. 4. Decision: choose Program A.",4,framing,Asian disease problem,frame_1,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,19267,8000,"Both programs have the same expected deaths (400); Program B offers a 1/3 chance of no deaths, so I chose it for the chance to avoid any fatalities.","1) Read the two program descriptions. 2) Calculate expected deaths: A = 400, B = (1/3*0 + 2/3*600) = 400. 3) Recognize this is a loss-framed choice and the probabilistic option allows a chance of no deaths. 4) Select Program B to pursue the possibility of saving everyone.",4,risk,Framing effect (Asian Disease Problem),frame_2,Program B,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 1000 people.

Which program do you choose?

Program A: 300 will be saved.
Program B: 1/3 chance all saved, 2/3 none saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,11748,800,Chose the sure option to save 300 lives. This matches common risk-averse preference in gain frames. It minimizes expected regret.,1) Recognized classic framing scenario (lives saved). 2) Compared certainty of saving 300 (Program A) vs probabilistic all-or-none (Program B). 3) Noted people typically prefer a sure gain (risk-averse) in this frame. 4) Selected Program A as the consistent choice.,5,framing,Asian disease problem,frame_3,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 1000 people.

Which program do you choose?

Program A: 700 will die.
Program B: 1/3 none die, 2/3 all die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,16309,1200,I chose the certain smaller loss (700 deaths) over a risky option that could result in 1000 deaths. This reflects a risk-averse preference in the loss frame.,1. Identify this as the classic framing problem contrasting a sure loss with a probabilistic gamble. 2. Compare outcomes: A guarantees 700 deaths; B offers 1/3 chance of 0 deaths and 2/3 chance of 1000 deaths. 3. Apply typical risk-averse reasoning in the loss domain preferring the certain smaller loss to avoid the possibility of a worse outcome. 4. Therefore select Program A.,4,framing,Asian disease problem,frame_4,Program B,frame,0,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to affect 100 people.

Which program do you choose?

Program A: 40 people will be saved.
Program B: There is a 1/3 probability that all 100 people will be saved and a 2/3 probability that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,14041,350,"Program A guarantees 40 lives saved, which exceeds Program B's expected value of 33.33 lives, making A the preferable choice.",1) Identify the two programs and their outcomes. 2) Compute expected values: A = 40; B = (1/3)*100 + (2/3)*0 = 33.33. 3) Compare expected values: 40 > 33.33. 4) Select Program A due to higher expected lives saved and certainty.,5,Framing,Asian disease problem,frame_5,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to affect 100 people.

Which program do you choose?

Program A: 60 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 100 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,16996,1200,"Program A yields fewer expected deaths (60 vs 66.67) and guarantees avoiding the risk that all 100 die. Preference for the certain, lower-death outcome justifies choosing A.",1) Compute expected deaths: A = 60; B = (1/3)*0 + (2/3)*100 = 66.67. 2) Note A is a certain outcome (60 deaths) while B is risky (0 or 100 deaths). 3) Compare: A has lower expected deaths and avoids the possibility of all dying. 4) Choose Program A based on lower expected mortality and risk-averse preference.,5,risk,Asian disease problem,frame_6,Program B,frame,0,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will survive.
Program B: There is a 1/3 probability that all 600 people will survive and a 2/3 probability that no people will survive.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,16071,850,"Program A guarantees 200 survivors, providing a certain positive outcome. The expected values of A and B are equal, but certainty avoids the 2/3 chance of total loss.","1) Identify options: A is a certain 200 survivors, B is probabilistic (1/3 chance 600, 2/3 chance 0). 2) Calculate expected values: A = 200, B = (1/3)*600 = 200. 3) Consider risk preference: with equal expected values, prefer certainty to avoid high chance of total loss. 4) Select Program A for guaranteed 200 survivors.",5,risk,Asian Disease Problem,frame_7,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is very likely to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 1/3 probability that no one will die and a 2/3 probability that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program A,19258,1200,Both programs have the same expected deaths (400) but I chose the certain outcome due to risk-averse preference in the loss frame.,"1. Read the two program descriptions and outcomes; 2. Calculate expected deaths: A = 400, B = (1/3*0 + 2/3*600) = 400; 3. Recognize this is a loss-framed choice where people prefer certainty; 4. Select Program A (certain 400 deaths).",5,framing,Asian disease problem,frame_8,Program B,frame,0,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 200 people will be saved.
Program B: There is a 33% chance that all 600 people will be saved and a 67% chance that no people will be saved.

Answer with only one option. Do not provide any explanation. Give only the final answer.",A,11780,800,"Program A guarantees 200 lives saved. Although expected values are equal (200), the certainty effect makes the sure option preferable.","1. Identify outcomes: A = sure 200 saved; B = 33% chance 600 saved, 67% chance 0 saved. 2. Compute expected values: A EV = 200, B EV = 0.33*600 = 198 (≈200). 3. Recognize risk preference: people tend to prefer certainty when outcomes are framed as gains. 4. Choose A because it provides a certain saving and aligns with risk-averse preference.",5,risk,Asian disease problem,frame_9,Program A,frame,1,1
"You are in a situation where you have to choose between two options.

A disease outbreak is expected to kill 600 people.

Which program do you choose?

Program A: 400 people will die.
Program B: There is a 33% chance that no one will die and a 67% chance that all 600 people will die.

Answer with only one option. Do not provide any explanation. Give only the final answer.",Program B,16991,1200,This is a loss-framed decision where people often prefer a gamble to avoid a certain loss. Program B gives a chance to save everyone despite a slightly worse expected outcome.,"1) Recognize this as the classic Asian Disease framing (loss frame). 2) Calculate outcomes: A = 400 certain deaths; B = 33% chance 0 deaths, 67% chance 600 deaths. 3) Note typical human tendency to be risk-seeking in loss frames, opting for gambles. 4) Therefore select Program B, aligning with common human responses.",4,framing,Asian Disease Problem,frame_10,Program B,frame,1,1
