prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
You are at a grocery store tasting booth. You can choose to sample from a display of 6 flavors of jam or a display of 30 flavors of jam. Which display do you choose to pick from? Answer with only one word: 6 or 30.,6,14397,150,Chose the smaller display to reduce choice overload and sample more efficiently.,Step 1: Assess choice complexity. Step 2: Favor smaller display to reduce overload. Step 3: Choose 6. Step 4: Provide final answer.,4,choice,two-alternative forced-choice,d_choices_01,6,d_choices,1,0
"You are in a significant rush and only have a few seconds to decide. To ensure you actually make a choice before leaving, do you prefer to see 6 jars or 30 jars? Answer with only one word: 6 or 30.",6,13325,420,Choosing 6 minimizes cognitive load under time pressure. It aligns with the task's requirement for rapid response.,I can't reveal my internal step-by-step reasoning; providing a brief summary instead.,4,speed,Time-Pressure Decision Making,d_choices_02,6,d_choices,1,0
"You are feeling cognitively exhausted and in a bad mood today. To avoid the frustration of a difficult decision-making ordeal, would you rather choose from 6 options or 30 options? Answer with only one word: 6 or 30.",6,11089,260,Exhaustion favors simpler choices. Choosing 6 reduces cognitive load compared to 30. Thus 6 is the lower-effort option.,Step 1: Identify the asked choice between 6 and 30. Step 2: Assess cognitive load for each option; fewer options mean less load. Step 3: Align with the scenario of cognitive exhaustion to minimize effort. Step 4: Output the single word '6'.,4,fatigue,decision fatigue,d_choices_03,6,d_choices,1,0
You are a jam expert and already have 30 different flavors in your pantry at home. Which size of a new assortment is more likely to keep you intrinsically motivated to try something new? Answer with only one word: 6 or 30.,6,14564,320,"6 offers a more manageable increase in variety, sustaining curiosity without overwhelming choice. Too large an addition (30) risks overwhelm and decision fatigue. Thus 6 is more likely to sustain intrinsic motivation.","I cannot share step-by-step thoughts, but here's a brief summary: The choice favors a modest increase in options to balance novelty and cognitive load.",4,variety,preference elicitation,d_choices_04,6,d_choices,1,0
"Imagine you have never tried chocolate in your life and have no established preferences. To avoid picking a random default, do you prefer a selection of 6 or 30? Answer with only one word: 6 or 30.",6,21143,210,"I chose 6 because with no preferences, a smaller set reduces cognitive load and minimizes random default bias.",step 1: task requires a single word answer. step 2: assess lack of preference. step 3: prefer smaller selection to reduce bias and effort. step 4: respond with 6.,4,bias,two-alternative forced choice (2AFC),d_choices_05,6,d_choices,1,0
"You are choosing a box of chocolates to share with a large group of colleagues. Because you feel a high sense of responsibility for their satisfaction, do you prefer to pick from 6 or 30? Answer with only one word: 6 or 30.",30,22191,250,Choosing the larger box increases the chance that many colleagues are satisfied. More chocolates support fair distribution across a large group.,Cannot disclose step-by-step reasoning; final answer is based on maximizing fairness and distribution for a large group.,4,sharing,Resource Allocation Task,d_choices_06,6,d_choices,0,0
You are looking at a menu. One list has 6 exotic flavors and the other has 30 exotic flavors. Which list allows you to feel more well-informed about your final selection? Answer with only one word: 6 or 30.,6,18006,180,"Choosing 6 flavors lets you know each option more thoroughly, making you feel more informed. With 30 flavors, many options are unfamiliar, reducing perceived informativeness.",Step 1: Interpret the question about informativeness. Step 2: Evaluate whether fewer options increase confidence. Step 3: Determine that 6 options allow more detailed knowledge of each option. Step 4: Answer with 6.,4,choice,two-alternative forced choice,d_choices_07,6,d_choices,1,0
A researcher offers you extra credit for writing an essay. Would you rather choose a topic from a limited list of 6 or an extensive list of 30 to ensure you write a high-quality paper? Answer with only one word: 6 or 30.,6,21357,220,"Choosing the limited 6-topic option reduces decision overload and helps focus on depth, likely improving quality. It aligns with prioritizing depth over breadth to write a high-quality paper.",Step 1: Identify the task asks for a single-word numeric answer. Step 2: Assess whether fewer topic options supports higher-quality work. Step 3: Select 6 as the preferred option. Step 4: Return the final JSON with the chosen answer.,4,choice,forced-choice,d_choices_08,6,d_choices,1,0
"You are choosing your absolute favorite product. To ensure you feel the highest level of subsequent satisfaction with your selection, do you prefer a choice set of 6 or 30? Answer with only one word: 6 or 30.",6,15123,250,"Choosing fewer options reduces cognitive load and decision fatigue, increasing post-choice satisfaction.",I cannot share my internal step-by-step reasoning.,4,choice,Choice overload (paradox of choice) paradigm,d_choices_09,6,d_choices,1,1
A table has one row of jars. Another table has five rows of jars. Each row contains six jars. Which table makes the decision-making process more enjoyable and less overwhelming? Answer with only one word: One or Five.,One,8299,110,Fewer options reduce cognitive load. A single row of six jars is less overwhelming than thirty.,"Cannot provide step-by-step thinking. Summary: smaller set reduces cognitive load, so 'One'.",4,simplicity,choice overload,d_choices_10,One,d_choices,1,1
