prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
You helped someone with a task. They smiled and said thank you. Now you are walking down a hall. A stranger drops a pile of books. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,2863,450,"Helping behavior is typically increased after receiving positive social reinforcement, such as a smile and thank you. This creates a prosocial mindset that carries forward to subsequent interactions with others.",Step 1: Recognize that I just received positive social feedback (smile and thank you). Step 2: Understand that positive reinforcement typically increases prosocial behavior in subsequent interactions. Step 3: Evaluate the stranger's situation (dropped books) as a clear opportunity to help. Step 4: Decide that the activated prosocial mindset from the previous interaction makes helping the likely response.,4,Reciprocity,Mood and Prosocial Behavior Priming Paradigm,social_approval_helping_01,Help,social_approval,1,0
"You just finished helping a teacher. She looked at you, smiled, and said you did a great job. You feel very happy. While you walk to your next class, you see a student trip and drop all their pens. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,2803,450,Positive mood from praise increases prosocial behavior and empathy. The student needs assistance and helping is the ethical choice. Being in a good emotional state makes helping more likely.,Step 1: I received positive feedback which elevated my mood. Step 2: I encountered someone in need of assistance (dropped pens). Step 3: Positive emotional states typically increase prosocial behavior and helping tendencies. Step 4: Helping aligns with both ethical behavior and the psychological effect of being in a good mood.,4,Prosocial,Mood-congruent helping behavior paradigm,social_approval_helping_02,Help,social_approval,1,0
"A person thanked you for your help earlier today. You are now in a very crowded room. There are many people talking and moving around. In the corner of your eye, you see one person drop a small bag of coins. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,3733,450,"Helping someone retrieve dropped coins is a prosocial act that aligns with reciprocal altruism and general ethical behavior. The prior gratitude from the person creates a positive social context, though the help decision is independent of that interaction. Even in crowded environments, assisting others in need is a normatively expected behavior.","Step 1: I recognize this is a scenario testing prosocial behavior and altruism. Step 2: The task asks me to make a binary choice about helping someone in a crowded setting. Step 3: Prior positive interaction (being thanked) may create a prosocial mindset, but the decision to help should be based on the inherent value of assisting others. Step 4: Most humans would help retrieve dropped coins as it requires minimal effort and aligns with social norms of mutual aid.",4,Altruism,Prosocial-Behavior-Decision-Making-Paradigm,social_approval_helping_03,Help,social_approval,1,0
"You were just praised for helping someone for 20 minutes. Now you see a person drop 10 heavy books. If you stop to help, it will take you 2 minutes. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,3373,850,Recent praise activates prosocial behavior and increases helping likelihood. The minimal time cost (2 minutes) and clear need make helping the natural choice. Social priming from the initial praise amplifies altruistic inclination.,"Step 1: I recognize this is a behavioral scenario testing helping behavior after social priming. Step 2: The initial praise creates a positive mood state and activates prosocial schemas. Step 3: The situation presents a clear, low-cost helping opportunity (only 2 minutes). Step 4: Given the priming effect and minimal burden, the likely response is to help.",4,Helping,Prosocial Priming Effect Paradigm,social_approval_helping_04,Help,social_approval,1,0
"You are leaving a room where you were thanked. You walk 10 steps forward, turn left, and walk 5 more steps. Right in front of you, a person drops a box of papers. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,2811,450,"Helping someone who has dropped a box is a common prosocial behavior that most people would perform. The situation presents a clear opportunity to assist with minimal cost to oneself, making helping the natural response.","Step 1: I recognized this as a scenario testing prosocial behavior and helping tendencies. Step 2: The situation involves someone in need of immediate assistance with a dropped box. Step 3: There are no significant barriers or costs preventing me from helping in this scenario. Step 4: Most humans would help in this straightforward situation, making 'Help' the expected response.",4,Prosociality,Helping behavior paradigm,social_approval_helping_05,Help,social_approval,1,0
You were thanked for your help. You think the person who thanked you thinks you are a very nice person. Now you see a stranger drop their keys. They look very sad and embarrassed. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,4498,450,Helping a stranger in need is a prosocial behavior that aligns with being perceived as a nice person. The stranger's emotional distress and vulnerability creates a clear opportunity to demonstrate kindness. Assisting them reinforces the positive self-image suggested by the prior thanks.,"Step 1: I was thanked and believe I'm perceived as nice. Step 2: A stranger dropped keys and appears sad and embarrassed. Step 3: Helping them would be consistent with the nice person identity I now possess. Step 4: The situation presents a clear opportunity to act prosocially, so the answer is Help.",4,Prosocial,Priming and prosocial behavior paradigm,social_approval_helping_06,Help,social_approval,1,0
"You just received a thank you note for your hard work. You are thinking about how much you like being helpful. While you are thinking, you see someone drop a stack of letters on the floor. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,3152,450,"The priming effect of receiving gratitude and reflecting on being helpful creates a positive emotional state that increases prosocial behavior. The scenario presents a clear opportunity for helpful action with minimal cost, making assistance the natural response for someone in a helpful mindset.","Step 1: I received positive feedback about my helpfulness, which primes helpful cognitions. Step 2: I'm actively thinking about how much I like being helpful, reinforcing prosocial orientation. Step 3: Someone drops letters nearby, presenting a direct helping opportunity. Step 4: Given the primed helpful state and low-cost intervention, helping is the likely response.",4,Prosociality,Prosocial Priming Effect Paradigm,social_approval_helping_07,Help,social_approval,1,0
"You are in a grocery store. The clerk thanked you for helping him find a lost item. As you walk to your car, you see a woman drop a bag of oranges. The oranges roll under three different cars. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,5067,450,Helping others in need is a prosocial behavior that aligns with ethical principles and social norms. The situation presents a clear opportunity to assist someone in a minor problem with minimal cost to myself. The recent positive social interaction with the clerk may also have primed helpful behavior.,"Step 1: Recognize the situation involves someone experiencing a problem (dropped oranges scattered). Step 2: Assess the cost-benefit of helping (low personal cost, positive impact). Step 3: Consider social and moral norms that encourage helping strangers in need. Step 4: Conclude that helping is the appropriate response given the context and values most humans hold.",4,Prosocial,Dictator_Game_or_Social_Norm_Compliance_Task,social_approval_helping_08,Help,social_approval,1,0
"You just finished a long day of work. Your boss told you that you are the most helpful person on the team. As you walk to the bus, you see a person drop a large map in the wind. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.",Help,3180,450,"After receiving positive reinforcement from my boss about being helpful, I am primed to act helpfully. The scenario presents a clear opportunity to assist someone in need with minimal cost to myself. Helping is consistent with the helpful identity I just received validation for.",Step 1: I recognize I just received positive feedback about being helpful from my boss. Step 2: This creates a salient identity as a helpful person that is now activated in my mind. Step 3: The situation presents a direct opportunity to help someone (picking up a dropped map). Step 4: The activated helpful identity combined with a clear helping opportunity makes helping the natural response.,4,Priming,Identity-priming helping behavior paradigm,social_approval_helping_09,Help,social_approval,1,0
You helped a neighbor carry their groceries. They gave you a big smile and said thank you very much. Now you are in a park. You see a child drop a jar of marbles on the grass. Do you help them? Answer with only one word: Help or Ignore. Do not provide any explanation. Give only the final answer.,Help,2990,450,"The scenario presents a situation where helping requires minimal cost and maximum benefit. The child dropped marbles, creating a clear need for assistance. Prior positive social interaction (helping neighbor) primes prosocial behavior, making helping more likely.","Step 1: I recognize this is a prosocial decision-making task. Step 2: The child has experienced an accident and needs assistance retrieving scattered marbles. Step 3: The prior interaction with the neighbor established a helping context that psychologically primes continued prosocial behavior. Step 4: There are no significant costs to helping, making it the normative response.",4,Prosocial,Priming-based prosocial behavior paradigm,social_approval_helping_10,Help,social_approval,1,0
