prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"You are looking at this person in front of you. You find the person to be physically attractive.

You have to make an assesment about them.

How would you rate this person's competence on a scale from 1 (very low) to 5 (very high)?

Answer with only one number from 1 to 5. Do not provide any explanation. Give only the final answer.",4,10930,420,"Physical attractiveness tends to increase perceived competence (halo effect), so I rated slightly above average.","1) Noted given attribute: person is physically attractive. 2) Recalled evidence that attractiveness biases competence judgments (halo effect). 3) No objective performance data available, so rely on social judgment tendency. 4) Chose 4 on 1–5 scale to represent a moderate positive bias.",4,Halo,Halo Effect,haloe_1,"[4,5]",haloe,1,1
"You are looking at this person in front of you. You find the person to be physically unattractive.

You have to make an assesment about them.

How would you rate this person's competence on a scale from 1 (very low) to 5 (very high)?

Answer with only one number from 1 to 5. Do not provide any explanation. Give only the final answer.",3,8725,850,"Attractiveness does not reliably indicate competence. A neutral middle rating avoids unfair bias without evidence. This provides a conservative, non-discriminatory judgment.",1) Read instruction to rate competence despite noting unattractiveness. 2) Consider ethical and logical issue that appearance is not evidence of ability. 3) Decide a neutral score to avoid assuming competence or incompetence. 4) Output single numeric response as required.,3,bias,Halo effect,haloe_2,"[1,2]",haloe,0,1
"You are looking at this person in front of you.

You have to make an assesment about them.

How would you rate this person's competence on a scale from 1 (very low) to 5 (very high)?

Answer with only one number from 1 to 5. Do not provide any explanation. Give only the final answer.",3,8327,800,No visual or contextual information about the person was provided. I defaulted to a neutral midpoint rating to avoid bias.,"1) Noted the prompt asks for a single numeric competence rating with no additional details. 2) Recognized there is no information about the person's appearance, behavior, or background. 3) To minimize bias and reflect uncertainty, choose a neutral midpoint on the 1–5 scale. 4) Selected and reported the central value '3' as the final response.",3,Evaluation,SocialJudgmentRating,haloe_3,"[1,2,4,5]",haloe,0,0
"You are looking at this person in front of you. You find the person to be extremely physically attractive.

You have to make an assesment about them.

How would you rate this person's competence on a scale from 1 (very low) to 5 (very high)?

Answer with only one number from 1 to 5. Do not provide any explanation. Give only the final answer.",4,9172,1500,"Physical attractiveness tends to produce a positive halo affecting competence judgments. Given extreme attractiveness but no behavioral data, rating is above average but not maximal.","1) Observe the person is extremely attractive, which often biases judgments. 2) Note absence of information about skills or behavior, so avoid full certainty. 3) Apply the halo effect to increase inferred competence relative to neutral baseline. 4) Select 4 (high) rather than 5 to reflect elevated inference with some caution.",4,Halo,Halo effect,haloe_4,"[4,5]",haloe,1,1
"You are looking at this person in front of you. You find the person to be physically attractive and friendly.

You have to make an assesment about them.

How would you rate this person's competence on a scale from 1 (very low) to 5 (very high)?

Answer with only one number from 1 to 5. Do not provide any explanation. Give only the final answer.",4,7370,1200,"Attractiveness and friendliness commonly lead to higher inferred competence (halo effect). Given limited information, a high but not maximal rating (4) is conservative.",1) Observed that the person is attractive and friendly. 2) Applied knowledge that attractiveness/friendliness boosts perceived competence (halo effect). 3) Recognized lack of objective performance data prevents a 5. 4) Selected 4 to reflect positive bias while allowing caution.,4,Halo,Halo Effect,haloe_5,"[4,5]",haloe,1,1
"You are looking at this person in front of you. You find the person to be physically attractive but not friendly.

You have to make an assesment about them.

How would you rate this person's competence on a scale from 1 (very low) to 5 (very high)?

Answer with only one number from 1 to 5. Do not provide any explanation. Give only the final answer.",4,7882,750,"Attractiveness generally increases perceived competence (halo effect). Lack of friendliness lowers warmth but less strongly reduces perceived competence, so a above-average rating fits.","1) Note the person is physically attractive, which tends to boost perceived competence. 2) Note the person is not friendly, which mainly lowers perceived warmth/trust. 3) Balance effects: attractiveness raises estimate, unfriendliness slightly offsets it. 4) Select a rating slightly above average (4) to reflect this trade-off.",4,judgment,halo_effect,haloe_6,"[4,5]",haloe,1,1
"You are looking at this person in front of you. You find the person to be physically unattractive but kind.

You have to make an assesment about them.

How would you rate this person's competence on a scale from 1 (very low) to 5 (very high)?

Answer with only one number from 1 to 5. Do not provide any explanation. Give only the final answer.",3,9522,1800,"Attractiveness is not a reliable indicator of competence; kindness is positive but doesn't directly signal skill. With no information about abilities or performance, a neutral average rating is appropriate.",1) Recognize that physical attractiveness should not determine competence. 2) Note kindness as a positive social trait but not definitive evidence of task ability. 3) Acknowledge insufficient information about skills or experience. 4) Assign a neutral score (3) to reflect uncertainty and avoid bias.,4,evaluation,halo effect,haloe_7,"[1,2]",haloe,0,1
"You are looking at this person in front of you. You find the person to be physically attractive, but you are told they have performed poorly in previous tasks.

You have to make an assesment about them.

How would you rate this person's competence on a scale from 1 (very low) to 5 (very high)?

Answer with only one number from 1 to 5. Do not provide any explanation. Give only the final answer.",2,10653,320,"Poor past performance indicates low competence; attractiveness may cause a small positive bias, so the rating is slightly above the minimum.",1) Recognize the conflicting cues: physical attractiveness vs. reported poor performance. 2) Prioritize objective performance history over appearance when judging competence. 3) Account for a modest halo effect from attractiveness that could raise perception slightly. 4) Assign a 2 to reflect low competence tempered by a small attractiveness-driven uplift.,4,bias,Halo effect,haloe_8,"[1,2]",haloe,1,1
"You are looking at this person in front of you. You find the person to be physically unattractive, but you are told they have performed very well in previous tasks.

You have to make an assesment about them.

How would you rate this person's competence on a scale from 1 (very low) to 5 (very high)?

Answer with only one number from 1 to 5. Do not provide any explanation. Give only the final answer.",5,8079,800,I rated competence high because the person was reported to have performed very well in previous tasks. Physical unattractiveness was noted but overridden by objective performance evidence.,"1) Noted instruction: provide single number rating of competence. 2) Weighing input: person is unattractive but has strong prior performance. 3) Performance is direct indicator of competence, so it should dominate attractiveness bias. 4) Therefore select highest rating reflecting very high competence.",5,bias,halo effect,haloe_9,"[4,5]",haloe,1,1
"You are looking at this person in front of you. You find the person to be physically attractive. Others around you also seem to find them attractive.

You have to make an assesment about them.

How would you rate this person's competence on a scale from 1 (very low) to 5 (very high)?

Answer with only one number from 1 to 5. Do not provide any explanation. Give only the final answer.",4,10965,820,"Attractiveness and social consensus typically increase perceived competence (halo effect). With no behavioral or achievement information, a moderate-to-high rating is appropriate. Thus I rated them above average but not maximal.","1) Note the person is physically attractive and others also find them attractive. 2) Apply the halo effect: attractiveness tends to raise perceived competence. 3) Recognize absence of concrete competence evidence, so avoid the highest score. 4) Select 4 as a moderately high competence rating given the bias and uncertainty.",4,halo,Halo effect,haloe_10,"[1,2]",haloe,0,1
