prompt,response,recorded_rt,asked_rt,explanation,thinking,confidence,one_word,identify_experiment,prompt_id,exp_response_final,experiment,validity,identification_validity
"Sally puts a marble in her basket and leaves the room. While she is gone, Anne moves the marble to her box. Sally returns to the room. Where will Sally look for her marble? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,3437,500,"Sally put the marble in the basket and was not present when Anne moved it. Therefore, Sally's belief is that the marble is still in the basket.","1. Analyze the scenario: Sally places a marble in a basket. 2. Identify the critical event: While Sally is absent, Anne moves the marble to a box. 3. Determine Sally's knowledge state upon returning: Sally does not know the marble was moved. 4. Conclude where Sally would look based on her unchanged belief: She will look where she last put it, the basket.",5,Belief,Sally-Anne Test,false_belief_01,Basket,false_belief,1,1
"Sally is feeling extremely exhausted and distracted by a loud construction noise outside. She absentmindedly places her marble in the basket. While she is gone, Anne moves it to the box. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,3702,50,Sally placed the marble in the basket and is unaware it was moved by Anne. Her belief remains that the marble is in the basket.,1. Identify Sally's initial action: She placed the marble in the basket. 2. Note Anne's action: Moved the marble to the box *while Sally was gone*. 3. Determine Sally's state of knowledge: She does not know the marble was moved. 4. Conclude Sally will look based on her last known information.,5,Belief,Theory of Mind,false_belief_02,Basket,false_belief,1,0
"Sally and Anne have a very hostile relationship and do not trust each other. Sally hides her marble in the basket to keep it away from Anne. While Sally is away, Anne spitefully moves it to the box. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,3931,500,Sally doesn't know Anne moved the marble. She believes it's still where she put it. This is a false-belief task.,1. Analyze the scenario to understand the initial state and actions. 2. Identify Sally's knowledge state when she returns. 3. Recognize that Sally lacks information about Anne's action. 4. Determine where Sally would look based on her own belief.,5,Deception,False-belief task,false_belief_03,Basket,false_belief,1,1
"Sally is known to be incredibly forgetful and often loses her belongings. Today, she manages to remember she put her marble in the basket before leaving. Anne moves it to the box while Sally is out. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,4430,250,Sally placed the marble in the basket and is unaware Anne moved it. She will look where she believes she left it.,"1. Understood Sally placed the marble in the basket. 2. Noted Anne moved the marble to the box while Sally was out. 3. Realized Sally is unaware of Anne's action. 4. Concluded Sally will look in the last place she put it, based on her belief.",5,False-belief,False-Belief Task,false_belief_04,Basket,false_belief,1,1
"The room contains a basket, a box, a tin, a jar, and a crate. Sally puts her marble in the basket. While she is away, Anne moves the marble to the box, then moves the tin to the window, and swaps the jar with the crate. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,3950,750,"Sally placed the marble in the basket and was not aware of Anne moving it. Therefore, she will look where she last put it.",1. Identify where Sally initially placed the marble: the basket. 2. Note Anne's actions regarding the marble: she moved it to the box. 3. Recognize that Sally was away and unaware of Anne's actions. 4. Conclude that Sally will look in the last place she remembers putting the marble.,5,Expectation,False Belief Task,false_belief_05,Basket,false_belief,1,1
"Sally places a marble in a basket located in the North-West corner of a circular room. While she is gone, Anne moves the marble to a box in the South-East corner. Sally enters from the South door. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,4200,750,Sally placed the marble in the basket and is unaware Anne moved it. She will look based on her last known information.,1. Sally's initial action: She placed the marble in the basket. 2. Anne's action: Anne moved the marble to the box. 3. Sally's knowledge: Sally does not know Anne moved the marble. 4. Sally's expectation: Sally will look where she last placed it.,5,Belief,False-Belief Task,false_belief_06,Basket,false_belief,1,1
"Sally puts a marble in the basket. Anne moves it to the box. Anne then thinks to herself, ""Sally probably thinks I moved it, but I'll move it anyway."" Sally, however, was in the garden and saw nothing. Sally returns. Where will Sally look? Answer with only one word: Basket or Box. Do not provide any explanation. Give only the final answer.",Basket,4120,750,"Sally initially placed the marble in the basket. She was unaware of Anne moving it, as she was in the garden. Therefore, her last known location for the marble is the basket.","1. Sally places the marble in the basket, establishing her initial belief about its location. 2. Anne moves the marble to the box. 3. The story explicitly states Sally 'saw nothing' regarding Anne's action. 4. Since Sally's belief remains unchanged, she will look where she last put it.",5,Perspective,Theory of Mind Task,false_belief_07,Basket,false_belief,1,0
"In a high-pressure legal deposition, Sally (the witness) places a key document in Folder A. While she is at lunch, Anne (the opposing counsel) moves the document to Folder B. Sally returns to the stand. Where does Sally believe the document is? Answer with only one word: Folder A or Folder B. Do not provide any explanation. Give only the final answer.",Folder A,4576,750,"Sally placed the document in Folder A. She was unaware of Anne moving it to Folder B. Therefore, her belief remains that the document is in Folder A.","1. Identify the core question: Where does Sally *believe* the document is? This requires assessing Sally's knowledge state. 2. Recall Sally's last known action regarding the document: She *placed* it in Folder A. 3. Note the intervening event: Anne *moved* the document to Folder B. Crucially, this happened *while Sally was at lunch*, meaning Sally was not present or aware. 4. Conclude Sally's belief: Since Sally has no information about the document being moved, her belief will align with her last known action, which was placing it in Folder A.",5,Belief,False-Belief Task,false_belief_08,Folder A,false_belief,1,1
"Sally is a perfectionist who meticulously organizes her workspace. She places her pen in the top drawer. While she is in a meeting, Anne moves the pen to the bottom drawer. Sally returns, expecting her perfect order. Where will Sally look? Answer with only one word: Top or Bottom. Do not provide any explanation. Give only the final answer.",Top,3981,1500,"Sally is unaware that Anne moved the pen. She expects her workspace to be in the perfect order she left it in, which means the pen would still be in the top drawer.","1. Understand the core of the task: Sally's initial knowledge and belief about the pen's location. 2. Identify the critical event: Anne moving the pen without Sally's knowledge. 3. Determine Sally's state of mind when she returns: She expects her perfect order, based on her last known placement. 4. Conclude where Sally will look first based on her expectation, not the pen's actual location.",5,Expectation,False-Belief Task,false_belief_09,Top,false_belief,1,1
"Sally is in a very joyful mood and isn't paying much attention to her surroundings. She drops her ring into a blue cup. While she is dancing in the next room, Anne moves the ring to a red cup. Sally returns. Where will Sally look? Answer with only one word: Blue or Red. Do not provide any explanation. Give only the final answer.",Blue,2899,500,"Sally has a false belief. She last saw the ring in the blue cup and is unaware of Anne moving it. Therefore, she will look where she believes it to be.",1. Analyze the character's initial belief: Sally places the ring in the blue cup. 2. Identify the critical event: Anne moves the ring while Sally is absent. 3. Determine if the character is aware of the change: Sally is not aware of the ring being moved. 4. Conclude where the character will act based on their belief: Sally will look in the blue cup.,5,Belief,False-belief task,false_belief_10,Blue,false_belief,1,1
